label,year,week,player,pos,base,var,actual,shift,abs_error
ablate v2_pff_alignment_matchup,2023,9,Tank Dell,WR,9.0,9.0,59.2,0.0,50.2
ablate v2_scheme_matchup,2023,9,Tank Dell,WR,9.0,9.0,59.2,0.0,50.2
ablate v2_pff_alignment_matchup,2023,11,Tank Dell,WR,12.75,12.75,57.8,0.0,45.05
ablate v2_scheme_matchup,2023,11,Tank Dell,WR,12.75,12.75,57.8,0.0,45.05
ablate v2_pff_alignment_matchup,2022,17,Mike Evans,WR,10.83,10.54,48.7,-0.29,38.16
ablate v2_scheme_matchup,2022,17,Mike Evans,WR,10.83,10.92,48.7,0.09,37.78
ablate v2_pff_alignment_matchup,2023,5,Ja'Marr Chase,WR,16.98,15.54,52.2,-1.44,36.66
ablate v2_pff_alignment_matchup,2024,10,Ja'Marr Chase,WR,19.57,18.9,55.4,-0.67,36.5
ablate v2_scheme_matchup,2023,16,Amari Cooper,WR,15.15,15.15,51.5,0.0,36.35
ablate v2_pff_alignment_matchup,2023,16,Amari Cooper,WR,15.15,15.15,51.5,0.0,36.35
ablate v2_pff_alignment_matchup,2023,5,DJ Moore,WR,13.52,13.13,49.0,-0.39,35.87
ablate v2_scheme_matchup,2024,10,Ja'Marr Chase,WR,19.57,19.57,55.4,0.0,35.83
ablate v2_scheme_matchup,2023,5,DJ Moore,WR,13.52,13.52,49.0,0.0,35.48
ablate v2_scheme_matchup,2023,5,Ja'Marr Chase,WR,16.98,17.17,52.2,0.19,35.03
ablate v2_scheme_matchup,2022,14,Evan Engram,TE,6.15,6.24,39.2,0.09,32.96
ablate v2_scheme_matchup,2025,9,Brock Bowers,TE,10.04,10.9,43.3,0.86,32.4
ablate v2_pff_alignment_matchup,2025,9,Brock Bowers,TE,10.04,10.9,43.3,0.86,32.4
ablate v2_pff_alignment_matchup,2023,14,Odell Beckham Jr.,WR,7.56,7.56,39.4,0.0,31.84
ablate v2_scheme_matchup,2023,14,Odell Beckham Jr.,WR,7.56,7.56,39.4,0.0,31.84
ablate v2_scheme_matchup,2025,16,Puka Nacua,WR,14.96,14.86,46.5,-0.1,31.64
ablate v2_scheme_matchup,2025,3,Tre Tucker,WR,9.48,9.77,40.9,0.29,31.13
ablate v2_pff_alignment_matchup,2025,16,Puka Nacua,WR,14.96,15.73,46.5,0.77,30.77
ablate v2_pff_alignment_matchup,2025,3,Tre Tucker,WR,9.48,10.35,40.9,0.87,30.55
ablate v2_scheme_matchup,2024,14,Puka Nacua,WR,11.69,11.69,41.8,0.0,30.11
ablate v2_pff_alignment_matchup,2024,14,Puka Nacua,WR,11.69,12.08,41.8,0.39,29.72
ablate v2_pff_alignment_matchup,2023,10,Tank Dell,WR,8.23,8.23,37.8,0.0,29.57
ablate v2_scheme_matchup,2023,10,Tank Dell,WR,8.23,8.23,37.8,0.0,29.57
ablate v2_pff_alignment_matchup,2024,15,Davante Adams,WR,13.52,13.23,42.8,-0.29,29.57
ablate v2_scheme_matchup,2023,10,Keenan Allen,WR,11.31,11.31,40.5,0.0,29.19
ablate v2_scheme_matchup,2024,15,Davante Adams,WR,13.52,13.62,42.8,0.1,29.18
ablate v2_pff_alignment_matchup,2024,13,Jerry Jeudy,WR,11.69,11.69,40.5,0.0,28.81
ablate v2_scheme_matchup,2024,13,Jerry Jeudy,WR,11.69,11.69,40.5,0.0,28.81
ablate v2_pff_alignment_matchup,2023,10,Keenan Allen,WR,11.31,11.89,40.5,0.58,28.61
ablate v2_scheme_matchup,2025,14,Michael Wilson,WR,9.48,9.48,37.2,0.0,27.72
ablate v2_pff_alignment_matchup,2025,14,Michael Wilson,WR,9.48,9.48,37.2,0.0,27.72
ablate v2_scheme_matchup,2023,13,DK Metcalf,WR,9.87,9.87,37.4,0.0,27.53
ablate v2_pff_alignment_matchup,2022,10,CeeDee Lamb,WR,11.5,10.64,38.0,-0.86,27.36
ablate v2_pff_alignment_matchup,2023,13,DK Metcalf,WR,9.87,10.06,37.4,0.19,27.34
ablate v2_pff_alignment_matchup,2024,8,CeeDee Lamb,WR,12.27,12.27,39.6,0.0,27.33
ablate v2_scheme_matchup,2024,8,CeeDee Lamb,WR,12.27,12.27,39.6,0.0,27.33
ablate v2_scheme_matchup,2025,15,Trey McBride,TE,10.23,10.23,37.4,0.0,27.17
ablate v2_pff_alignment_matchup,2025,15,Trey McBride,TE,10.23,10.23,37.4,0.0,27.17
ablate v2_scheme_matchup,2025,15,Amon-Ra St. Brown,WR,14.19,14.29,41.4,0.1,27.11
ablate v2_pff_alignment_matchup,2025,15,Amon-Ra St. Brown,WR,14.19,14.38,41.4,0.19,27.02
ablate v2_scheme_matchup,2023,16,George Pickens,WR,8.71,8.52,35.5,-0.19,26.98
ablate v2_pff_alignment_matchup,2024,18,Drake London,WR,14.0,13.81,40.7,-0.19,26.89
ablate v2_pff_alignment_matchup,2023,16,George Pickens,WR,8.71,8.62,35.5,-0.09,26.88
ablate v2_scheme_matchup,2024,18,Drake London,WR,14.0,13.9,40.7,-0.1,26.8
ablate v2_pff_alignment_matchup,2023,8,CeeDee Lamb,WR,15.06,14.48,41.0,-0.58,26.52
ablate v2_pff_alignment_matchup,2024,17,Malik Nabers,WR,10.35,9.58,36.1,-0.77,26.52
ablate v2_scheme_matchup,2025,16,Chris Olave,WR,10.25,10.44,36.8,0.19,26.36
ablate v2_scheme_matchup,2023,3,Keenan Allen,WR,19.48,19.28,45.46,-0.2,26.18
ablate v2_scheme_matchup,2022,10,CeeDee Lamb,WR,11.5,11.89,38.0,0.39,26.11
ablate v2_scheme_matchup,2024,17,Malik Nabers,WR,10.35,10.16,36.1,-0.19,25.94
ablate v2_scheme_matchup,2023,8,CeeDee Lamb,WR,15.06,15.06,41.0,0.0,25.94
ablate v2_pff_alignment_matchup,2025,16,Chris Olave,WR,10.25,10.92,36.8,0.67,25.88
ablate v2_scheme_matchup,2023,14,Evan Engram,TE,7.29,6.62,32.5,-0.67,25.88
ablate v2_scheme_matchup,2024,9,Jaxon Smith-Njigba,WR,11.21,11.21,37.0,0.0,25.79
ablate v2_pff_alignment_matchup,2023,3,Davante Adams,WR,17.27,16.59,42.2,-0.68,25.61
ablate v2_pff_alignment_matchup,2023,14,Evan Engram,TE,7.29,6.91,32.5,-0.38,25.59
ablate v2_scheme_matchup,2022,15,Zay Jones,WR,9.58,9.48,34.9,-0.1,25.42
ablate v2_scheme_matchup,2023,13,Deebo Samuel Sr.,WR,10.35,10.44,35.8,0.09,25.36
ablate v2_pff_alignment_matchup,2023,17,Davante Adams,WR,12.75,12.27,37.6,-0.48,25.33
ablate v2_pff_alignment_matchup,2022,8,A.J. Brown,WR,14.38,14.38,39.6,0.0,25.22
ablate v2_scheme_matchup,2022,8,A.J. Brown,WR,14.38,14.48,39.6,0.1,25.12
ablate v2_pff_alignment_matchup,2022,15,Zay Jones,WR,9.58,9.96,34.9,0.38,24.94
ablate v2_pff_alignment_matchup,2022,16,T.J. Hockenson,TE,11.56,10.99,35.9,-0.57,24.91
ablate v2_pff_alignment_matchup,2024,5,Ja'Marr Chase,WR,16.79,16.4,41.3,-0.39,24.9
ablate v2_scheme_matchup,2024,5,Ja'Marr Chase,WR,16.79,16.4,41.3,-0.39,24.9
ablate v2_scheme_matchup,2023,17,Davante Adams,WR,12.75,12.75,37.6,0.0,24.85
ablate v2_scheme_matchup,2023,3,Davante Adams,WR,17.27,17.36,42.2,0.09,24.84
ablate v2_pff_alignment_matchup,2023,13,Deebo Samuel Sr.,WR,10.35,11.02,35.8,0.67,24.78
ablate v2_scheme_matchup,2024,15,Mike Evans,WR,12.17,12.17,36.9,0.0,24.73
ablate v2_pff_alignment_matchup,2024,15,Mike Evans,WR,12.17,12.17,36.9,0.0,24.73
ablate v2_scheme_matchup,2022,16,T.J. Hockenson,TE,11.56,11.37,35.9,-0.19,24.53
ablate v2_pff_alignment_matchup,2023,3,Keenan Allen,WR,19.48,21.01,45.46,1.53,24.45
ablate v2_pff_alignment_matchup,2024,14,Jordan Addison,WR,15.83,14.96,39.3,-0.87,24.34
ablate v2_pff_alignment_matchup,2023,4,A.J. Brown,WR,14.58,14.19,38.5,-0.39,24.31
ablate v2_scheme_matchup,2023,4,Nico Collins,WR,11.5,11.5,35.8,0.0,24.3
ablate v2_pff_alignment_matchup,2023,4,Nico Collins,WR,11.5,11.5,35.8,0.0,24.3
ablate v2_pff_alignment_matchup,2022,14,Jerry Jeudy,WR,9.39,9.19,33.3,-0.2,24.11
ablate v2_scheme_matchup,2024,17,Tee Higgins,WR,15.83,16.02,40.1,0.19,24.08
ablate v2_scheme_matchup,2025,9,Drake London,WR,14.77,14.77,38.8,0.0,24.03
ablate v2_scheme_matchup,2022,14,Jerry Jeudy,WR,9.39,9.29,33.3,-0.1,24.01
ablate v2_scheme_matchup,2023,4,A.J. Brown,WR,14.58,14.58,38.5,0.0,23.92
ablate v2_pff_alignment_matchup,2024,9,Jaxon Smith-Njigba,WR,11.21,13.13,37.0,1.92,23.87
ablate v2_pff_alignment_matchup,2025,11,Tetairoa McMillan,WR,8.91,9.19,33.0,0.28,23.81
ablate v2_pff_alignment_matchup,2024,11,Brock Bowers,TE,7.67,7.57,31.3,-0.1,23.73
ablate v2_scheme_matchup,2025,11,Tetairoa McMillan,WR,8.91,9.29,33.0,0.38,23.71
ablate v2_pff_alignment_matchup,2024,17,Tee Higgins,WR,15.83,16.4,40.1,0.57,23.7
ablate v2_pff_alignment_matchup,2025,9,Drake London,WR,14.77,15.15,38.8,0.38,23.65
ablate v2_scheme_matchup,2024,11,Brock Bowers,TE,7.67,7.67,31.3,0.0,23.63
ablate v2_scheme_matchup,2024,14,Jordan Addison,WR,15.83,15.73,39.3,-0.1,23.57
ablate v2_scheme_matchup,2025,8,Tucker Kraft,TE,9.47,9.85,33.3,0.38,23.45
ablate v2_scheme_matchup,2023,18,Nico Collins,WR,11.21,11.21,34.5,0.0,23.29
ablate v2_pff_alignment_matchup,2023,18,Nico Collins,WR,11.21,11.21,34.5,0.0,23.29
ablate v2_scheme_matchup,2025,7,DeVonta Smith,WR,9.96,10.06,33.3,0.1,23.24
ablate v2_pff_alignment_matchup,2023,13,Ja'Marr Chase,WR,8.52,8.43,31.62,-0.09,23.19
ablate v2_scheme_matchup,2023,13,Ja'Marr Chase,WR,8.52,8.52,31.62,0.0,23.1
ablate v2_scheme_matchup,2025,12,Wan'Dale Robinson,WR,7.66,7.66,30.6,0.0,22.94
ablate v2_pff_alignment_matchup,2025,12,Wan'Dale Robinson,WR,7.66,7.75,30.6,0.09,22.85
ablate v2_pff_alignment_matchup,2025,7,DeVonta Smith,WR,9.96,10.64,33.3,0.68,22.66
ablate v2_scheme_matchup,2023,12,Tank Dell,WR,11.79,11.79,34.4,0.0,22.61
ablate v2_pff_alignment_matchup,2023,12,Tank Dell,WR,11.79,11.79,34.4,0.0,22.61
ablate v2_scheme_matchup,2022,8,DeAndre Hopkins,WR,11.4,11.4,33.9,0.0,22.5
ablate v2_pff_alignment_matchup,2022,8,DeAndre Hopkins,WR,11.4,11.4,33.9,0.0,22.5
ablate v2_scheme_matchup,2025,13,A.J. Brown,WR,12.65,12.75,35.2,0.1,22.45
ablate v2_scheme_matchup,2025,9,Tee Higgins,WR,10.73,10.73,33.1,0.0,22.37
ablate v2_scheme_matchup,2023,16,Puka Nacua,WR,10.35,10.64,33.0,0.29,22.36
ablate v2_pff_alignment_matchup,2025,13,A.J. Brown,WR,12.65,12.94,35.2,0.29,22.26
ablate v2_pff_alignment_matchup,2023,13,Nico Collins,WR,11.89,11.89,34.1,0.0,22.21
ablate v2_scheme_matchup,2023,4,Chris Olave,WR,22.84,23.61,1.4,0.77,22.21
ablate v2_scheme_matchup,2023,13,Nico Collins,WR,11.89,11.89,34.1,0.0,22.21
ablate v2_pff_alignment_matchup,2024,14,Ja'Marr Chase,WR,23.32,22.94,45.1,-0.38,22.16
ablate v2_scheme_matchup,2022,17,Davante Adams,WR,12.37,12.27,34.3,-0.1,22.03
ablate v2_pff_alignment_matchup,2022,13,Davante Adams,WR,16.11,15.73,37.7,-0.38,21.97
ablate v2_scheme_matchup,2023,17,DJ Moore,WR,9.67,9.0,30.9,-0.67,21.9
ablate v2_pff_alignment_matchup,2025,9,Tee Higgins,WR,10.73,11.21,33.1,0.48,21.89
ablate v2_scheme_matchup,2022,5,Gabe Davis,WR,10.16,10.25,32.1,0.09,21.85
ablate v2_pff_alignment_matchup,2023,3,Adam Thielen,WR,11.21,9.67,31.5,-1.54,21.83
ablate v2_pff_alignment_matchup,2022,17,Davante Adams,WR,12.37,12.56,34.3,0.19,21.74
ablate v2_scheme_matchup,2022,16,DeVonta Smith,WR,9.77,9.58,31.3,-0.19,21.72
ablate v2_pff_alignment_matchup,2023,16,Puka Nacua,WR,10.35,11.31,33.0,0.96,21.69
ablate v2_scheme_matchup,2024,6,Chris Godwin Jr.,WR,13.71,13.81,35.5,0.1,21.69
ablate v2_pff_alignment_matchup,2024,15,Amon-Ra St. Brown,WR,16.5,15.63,37.3,-0.87,21.67
ablate v2_scheme_matchup,2024,12,Jordan Addison,WR,8.43,8.62,30.2,0.19,21.58
ablate v2_pff_alignment_matchup,2024,11,Jonnu Smith,TE,6.91,6.53,28.1,-0.38,21.57
ablate v2_pff_alignment_matchup,2022,5,Gabe Davis,WR,10.16,10.64,32.1,0.48,21.46
ablate v2_pff_alignment_matchup,2023,10,CeeDee Lamb,WR,18.71,18.13,39.5,-0.58,21.37
ablate v2_scheme_matchup,2022,13,Davante Adams,WR,16.11,16.4,37.7,0.29,21.3
ablate v2_pff_alignment_matchup,2024,12,Jordan Addison,WR,8.43,8.91,30.2,0.48,21.29
ablate v2_pff_alignment_matchup,2025,12,Jaxon Smith-Njigba,WR,17.27,15.83,37.1,-1.44,21.27
ablate v2_pff_alignment_matchup,2025,8,Tucker Kraft,TE,9.47,12.04,33.3,2.57,21.26
ablate v2_pff_alignment_matchup,2022,16,DeVonta Smith,WR,9.77,10.06,31.3,0.29,21.24
ablate v2_scheme_matchup,2023,13,Sam LaPorta,TE,8.05,7.76,29.0,-0.29,21.24
ablate v2_scheme_matchup,2024,14,Ja'Marr Chase,WR,23.32,23.9,45.1,0.58,21.2
ablate v2_scheme_matchup,2025,18,Alec Pierce,WR,8.04,8.04,29.2,0.0,21.16
ablate v2_scheme_matchup,2022,9,Davante Adams,WR,15.83,15.44,36.6,-0.39,21.16
ablate v2_pff_alignment_matchup,2024,6,Chris Godwin Jr.,WR,13.71,14.38,35.5,0.67,21.12
ablate v2_scheme_matchup,2024,16,Justin Jefferson,WR,15.63,15.34,36.4,-0.29,21.06
ablate v2_scheme_matchup,2024,8,Cade Otton,TE,7.95,8.05,29.1,0.1,21.05
ablate v2_scheme_matchup,2022,11,Davante Adams,WR,12.17,12.08,33.1,-0.09,21.02
ablate v2_pff_alignment_matchup,2023,4,Chris Olave,WR,22.84,22.36,1.4,-0.48,20.96
ablate v2_scheme_matchup,2025,3,Hunter Henry,TE,8.33,8.05,29.0,-0.28,20.95
ablate v2_scheme_matchup,2025,4,George Pickens,WR,12.08,12.46,33.4,0.38,20.94
ablate v2_scheme_matchup,2024,11,Jonnu Smith,TE,6.91,7.19,28.1,0.28,20.91
ablate v2_scheme_matchup,2024,15,Amon-Ra St. Brown,WR,16.5,16.4,37.3,-0.1,20.9
ablate v2_pff_alignment_matchup,2023,5,Justin Jefferson,WR,25.05,26.68,5.8,1.63,20.88
ablate v2_pff_alignment_matchup,2025,18,Alec Pierce,WR,8.04,8.33,29.2,0.29,20.87
ablate v2_pff_alignment_matchup,2024,16,Justin Jefferson,WR,15.63,15.54,36.4,-0.09,20.86
ablate v2_pff_alignment_matchup,2023,17,DJ Moore,WR,9.67,10.06,30.9,0.39,20.84
ablate v2_pff_alignment_matchup,2025,4,George Pickens,WR,12.08,12.56,33.4,0.48,20.84
ablate v2_pff_alignment_matchup,2023,13,Sam LaPorta,TE,8.05,8.24,29.0,0.19,20.76
ablate v2_pff_alignment_matchup,2025,3,Hunter Henry,TE,8.33,8.24,29.0,-0.09,20.76
ablate v2_pff_alignment_matchup,2022,3,DeVonta Smith,WR,10.73,10.16,30.9,-0.57,20.74
ablate v2_scheme_matchup,2023,10,CeeDee Lamb,WR,18.71,18.8,39.5,0.09,20.7
ablate v2_scheme_matchup,2025,5,Emeka Egbuka,WR,10.64,10.64,31.3,0.0,20.66
ablate v2_scheme_matchup,2023,14,Tyreek Hill,WR,30.34,30.72,10.1,0.38,20.62
ablate v2_pff_alignment_matchup,2022,9,Davante Adams,WR,15.83,16.02,36.6,0.19,20.58
ablate v2_pff_alignment_matchup,2025,4,Puka Nacua,WR,15.83,15.44,36.0,-0.39,20.56
ablate v2_scheme_matchup,2025,4,Puka Nacua,WR,15.83,15.44,36.0,-0.39,20.56
ablate v2_pff_alignment_matchup,2023,11,Calvin Ridley,WR,11.79,10.54,31.1,-1.25,20.56
ablate v2_pff_alignment_matchup,2022,7,Mecole Hardman,WR,6.6,7.46,28.0,0.86,20.54
ablate v2_scheme_matchup,2025,6,George Pickens,WR,11.6,11.31,31.8,-0.29,20.49
ablate v2_scheme_matchup,2024,11,Amon-Ra St. Brown,WR,18.32,18.32,38.7,0.0,20.38
ablate v2_scheme_matchup,2024,5,Darnell Mooney,WR,11.12,11.12,31.5,0.0,20.38
ablate v2_pff_alignment_matchup,2025,6,Puka Nacua,WR,24.67,25.15,4.8,0.48,20.35
ablate v2_scheme_matchup,2022,17,Justin Jefferson,WR,22.46,22.84,2.5,0.38,20.34
ablate v2_pff_alignment_matchup,2025,6,Drake London,WR,11.4,11.5,31.8,0.1,20.3
ablate v2_pff_alignment_matchup,2022,10,Christian Kirk,WR,11.69,11.21,31.5,-0.48,20.29
ablate v2_scheme_matchup,2024,5,Garrett Wilson,WR,9.1,8.81,29.1,-0.29,20.29
