season,team,hc,hc_prev,hc_changed,oc,dc,dc_prev,dc_source,oc_changed,dc_changed,dc_to_hc,def_staff_changed,coaching_cohort
2016,ARI,Bruce Arians,Bruce Arians,0.0,,James Bettcher,James Bettcher,wikipedia,,0.0,False,0.0,none
2016,ATL,Dan Quinn,Dan Quinn,0.0,Kyle Shanahan,,,,0.0,,False,0.0,unknown
2016,BAL,John Harbaugh,John Harbaugh,0.0,Marty Mornhinweg,Dean Pees,Dean Pees,wikipedia,1.0,0.0,False,0.0,none
2016,BUF,Rex Ryan,Rex Ryan,0.0,Anthony Lynn,Dennis Thurman,Dennis Thurman,wikipedia,1.0,0.0,False,0.0,none
2016,CAR,Ron Rivera,Ron Rivera,0.0,Mike Shula,Sean McDermott,Sean McDermott,wikipedia,0.0,0.0,False,0.0,none
2016,CHI,John Fox,John Fox,0.0,Dowell Loggains,Vic Fangio,Vic Fangio,wikipedia,1.0,0.0,False,0.0,none
2016,CIN,Marvin Lewis,Marvin Lewis,0.0,Ken Zampese,,,,1.0,,False,0.0,unknown
2016,CLE,Hue Jackson,Mike Pettine,1.0,Pep Hamilton,Ray Horton,,wikipedia,1.0,,False,1.0,unknown
2016,DAL,Jason Garrett,Jason Garrett,0.0,Scott Linehan,Rod Marinelli,Rod Marinelli,wikipedia,0.0,0.0,False,0.0,none
2016,DEN,Gary Kubiak,Gary Kubiak,0.0,Rick Dennison,Wade Phillips,Wade Phillips,wikipedia,0.0,0.0,False,0.0,none
2016,DET,Jim Caldwell,Jim Caldwell,0.0,Jim Bob Cooter,Teryl Austin,Teryl Austin,wikipedia,0.0,0.0,False,0.0,none
2016,GB,Mike McCarthy,Mike McCarthy,0.0,Edgar Bennett,Dom Capers,Dom Capers,wikipedia,1.0,0.0,False,0.0,none
2016,HOU,Bill O'Brien,Bill O'Brien,0.0,George Godsey,Romeo Crennel,Romeo Crennel,wikipedia,,0.0,False,0.0,none
2016,IND,Chuck Pagano,Chuck Pagano,0.0,Rob Chudzinski,Ted Monachino,Greg Manusky,wikipedia,0.0,1.0,False,1.0,dc_only
2016,JAX,Gus Bradley,Gus Bradley,0.0,Nathaniel Hackett,Todd Wash,,wikipedia,,,False,0.0,unknown
2016,KC,Andy Reid,Andy Reid,0.0,,,,,,,False,0.0,unknown
2016,LA,Jeff Fisher,Jeff Fisher,0.0,Rob Boras,Gregg Williams,Gregg Williams,wikipedia,,0.0,False,0.0,none
2016,LAC,Mike McCoy,Mike McCoy,0.0,Ken Whisenhunt,John Pagano,John Pagano,wikipedia,1.0,0.0,False,0.0,none
2016,LV,Jack Del Rio,Jack Del Rio,0.0,Bill Musgrave,,Ken Norton Jr,,0.0,,False,0.0,unknown
2016,MIA,Adam Gase,Joe Philbin,1.0,Clyde Christensen,Vance Joseph,Kevin Coyle,wikipedia,1.0,1.0,False,1.0,both
2016,MIN,Mike Zimmer,Mike Zimmer,0.0,Pat Shurmur,,,,1.0,,False,0.0,unknown
2016,NE,Bill Belichick,Bill Belichick,0.0,Josh McDaniels,Matt Patricia,Matt Patricia,wikipedia,0.0,0.0,False,0.0,none
2016,NO,Sean Payton,Sean Payton,0.0,,,,,,,False,0.0,unknown
2016,NYG,Ben McAdoo,Tom Coughlin,1.0,,Steve Spagnuolo,Steve Spagnuolo,wikipedia,,0.0,False,1.0,hc_only
2016,NYJ,Todd Bowles,Todd Bowles,0.0,Chan Gailey,Kacy Rodgers,Kacy Rodgers,wikipedia,,0.0,False,0.0,none
2016,PHI,Doug Pederson,Chip Kelly,1.0,Frank Reich,Jim Schwartz,,wikipedia,1.0,,False,1.0,unknown
2016,PIT,Mike Tomlin,Mike Tomlin,0.0,Todd Haley,,,,0.0,,False,0.0,unknown
2016,SEA,Pete Carroll,Pete Carroll,0.0,Darrell Bevell,Kris Richard,Kris Richard,wikipedia,0.0,0.0,False,0.0,none
2016,SF,Chip Kelly,Jim Tomsula,1.0,Curtis Modkins,,Eric Mangini,,1.0,,False,1.0,unknown
2016,TB,Dirk Koetter,Lovie Smith,1.0,Todd Monken,,Leslie Frazier,,1.0,,False,1.0,unknown
2016,TEN,Mike Mularkey,Ken Whisenhunt,1.0,Terry Robiskie,Dick LeBeau,Ray Horton,wikipedia,1.0,1.0,False,1.0,both
2016,WAS,Jay Gruden,Jay Gruden,0.0,Sean McVay,Joe Barry,Joe Barry,wikipedia,0.0,0.0,False,0.0,none
2017,ARI,Bruce Arians,Bruce Arians,0.0,,James Bettcher,James Bettcher,wikipedia,,0.0,False,0.0,none
2017,ATL,Dan Quinn,Dan Quinn,0.0,Steve Sarkisian,Marquand Manuel,,wikipedia,1.0,,False,0.0,unknown
2017,BAL,John Harbaugh,John Harbaugh,0.0,Marty Mornhinweg,Dean Pees,Dean Pees,wikipedia,0.0,0.0,False,0.0,none
2017,BUF,Sean McDermott,Rex Ryan,1.0,Rick Dennison,Leslie Frazier,Dennis Thurman,wikipedia,1.0,1.0,False,1.0,both
2017,CAR,Ron Rivera,Ron Rivera,0.0,Mike Shula,Steve Wilks,Sean McDermott,wikipedia,0.0,1.0,False,1.0,dc_only
2017,CHI,John Fox,John Fox,0.0,Dowell Loggains,Vic Fangio,Vic Fangio,wikipedia,0.0,0.0,False,0.0,none
2017,CIN,Marvin Lewis,Marvin Lewis,0.0,Bill Lazor,,,,1.0,,False,0.0,unknown
