pos,stat,channel,pair,n,r,slope,w_prior_neutral,w_prior_mean,partial_r
WR,targets,broad,2022->2023,32,0.3305,0.3951,0.3952,0.3951,
WR,targets,slot,2022->2023,32,0.2902,0.3648,0.3648,0.3648,0.1649
WR,targets,wide,2022->2023,32,0.2355,0.2688,0.2689,0.2688,0.1828
WR,targets,man,2022->2023,32,0.4203,0.4285,0.4285,0.4285,0.4578
WR,targets,zone,2022->2023,32,0.2564,0.3124,0.3124,0.3124,0.3249
WR,targets,broad,2023->2024,32,0.2048,0.1589,0.1589,0.1589,
WR,targets,slot,2023->2024,32,0.4504,0.3584,0.3584,0.3584,0.5067
WR,targets,wide,2023->2024,32,0.1738,0.1269,0.1269,0.1269,0.489
WR,targets,man,2023->2024,32,0.4531,0.4628,0.4628,0.4628,0.4977
WR,targets,zone,2023->2024,32,0.4037,0.3436,0.3436,0.3436,0.416
WR,targets,broad,2024->2025,32,0.0673,0.081,0.081,0.081,
WR,targets,slot,2024->2025,32,-0.1927,-0.185,-0.185,-0.1849,-0.0934
WR,targets,wide,2024->2025,32,0.1267,0.1799,0.18,0.1799,-0.1556
WR,targets,man,2024->2025,32,0.3269,0.2808,0.2808,0.2808,0.345
WR,targets,zone,2024->2025,32,0.227,0.1991,0.1991,0.1991,0.3272
WR,targets,broad,POOLED,96,0.2029,0.2103,0.2104,0.2103,
WR,targets,slot,POOLED,96,0.2106,0.2083,0.2083,0.2083,0.1948
WR,targets,wide,POOLED,96,0.1752,0.1865,0.1866,0.1865,0.1868
WR,targets,man,POOLED,96,0.4017,0.3886,0.3886,0.3886,0.4373
WR,targets,zone,POOLED,96,0.2985,0.2912,0.2912,0.2912,0.3547
WR,receptions,broad,2022->2023,32,0.3826,0.4175,0.4175,0.4175,
WR,receptions,slot,2022->2023,32,0.1149,0.1518,0.1518,0.1518,-0.0689
WR,receptions,wide,2022->2023,32,0.2553,0.2755,0.2756,0.2755,-0.0527
