pos,stat,n,poisson_beta,poisson_converged,wls_slope,ci_lo,ci_hi,ci_excludes_0,quad_coef,flat_elasticity,delta_vs_flat
QB,passing_yards,3891,0.1383,True,0.1467,0.0811,0.2055,True,-0.1477,0.42,-0.2817
QB,  bin:passing_yards,390,0.7343,,0.927,,,,,,
QB,  bin:passing_yards,390,0.8402,,0.9718,,,,,,
QB,  bin:passing_yards,390,0.8972,,0.9742,,,,,,
QB,  bin:passing_yards,390,0.9485,,0.9555,,,,,,
QB,  bin:passing_yards,393,0.9905,,0.9788,,,,,,
QB,  bin:passing_yards,391,1.0312,,1.0014,,,,,,
QB,  bin:passing_yards,390,1.0764,,0.9984,,,,,,
QB,  bin:passing_yards,392,1.1249,,0.9905,,,,,,
QB,  bin:passing_yards,390,1.1864,,1.0199,,,,,,
QB,  bin:passing_yards,390,1.3006,,1.0075,,,,,,
QB,passing_attempts,3891,0.0303,True,0.0291,-0.0244,0.0804,False,-0.1382,0.42,-0.3897
QB,  bin:passing_attempts,390,0.7343,,0.9642,,,,,,
QB,  bin:passing_attempts,390,0.8402,,0.9908,,,,,,
QB,  bin:passing_attempts,390,0.8972,,0.9828,,,,,,
QB,  bin:passing_attempts,390,0.9485,,0.9636,,,,,,
QB,  bin:passing_attempts,393,0.9905,,0.9788,,,,,,
QB,  bin:passing_attempts,391,1.0312,,1.0114,,,,,,
QB,  bin:passing_attempts,390,1.0764,,0.9911,,,,,,
QB,  bin:passing_attempts,392,1.1249,,0.9811,,,,,,
QB,  bin:passing_attempts,390,1.1864,,0.9848,,,,,,
QB,  bin:passing_attempts,390,1.3006,,0.9839,,,,,,
QB,passing_completions,3891,0.0833,True,0.0911,0.0266,0.1452,True,-0.1408,0.42,-0.3367
QB,  bin:passing_completions,390,0.7343,,0.9422,,,,,,
QB,  bin:passing_completions,390,0.8402,,0.9795,,,,,,
QB,  bin:passing_completions,390,0.8972,,0.9862,,,,,,
QB,  bin:passing_completions,390,0.9485,,0.9613,,,,,,
QB,  bin:passing_completions,393,0.9905,,0.9772,,,,,,
QB,  bin:passing_completions,391,1.0312,,1.0097,,,,,,
QB,  bin:passing_completions,390,1.0764,,0.9881,,,,,,
QB,  bin:passing_completions,392,1.1249,,0.9826,,,,,,
QB,  bin:passing_completions,390,1.1864,,1.0,,,,,,
QB,  bin:passing_completions,390,1.3006,,1.0015,,,,,,
QB,passing_tds,3891,0.2661,True,0.2613,0.1122,0.4034,True,-0.2211,0.42,-0.1539
QB,  bin:passing_tds,390,0.7343,,0.8655,,,,,,
QB,  bin:passing_tds,390,0.8402,,0.9863,,,,,,
QB,  bin:passing_tds,390,0.8972,,0.9809,,,,,,
QB,  bin:passing_tds,390,0.9485,,0.9159,,,,,,
QB,  bin:passing_tds,393,0.9905,,1.006,,,,,,
QB,  bin:passing_tds,391,1.0312,,0.9845,,,,,,
QB,  bin:passing_tds,390,1.0764,,0.9817,,,,,,
QB,  bin:passing_tds,392,1.1249,,0.9968,,,,,,
QB,  bin:passing_tds,390,1.1864,,1.0132,,,,,,
QB,  bin:passing_tds,390,1.3006,,1.0542,,,,,,
