label,year,week,player,pos,base,var,actual,shift,abs_error
WR added to scheme scoring,2023,9,Tank Dell,WR,9.0,9.0,59.2,0.0,50.2
WR added to scheme scoring,2023,11,Tank Dell,WR,12.75,12.75,57.8,0.0,45.05
WR added to scheme scoring,2022,17,Mike Evans,WR,10.83,10.44,48.7,-0.39,38.26
WR added to scheme scoring,2023,16,Amari Cooper,WR,15.15,15.15,51.5,0.0,36.35
WR added to scheme scoring,2024,10,Ja'Marr Chase,WR,19.57,19.19,55.4,-0.38,36.21
WR added to scheme scoring,2023,5,DJ Moore,WR,13.52,12.94,49.0,-0.58,36.06
WR added to scheme scoring,2023,5,Ja'Marr Chase,WR,16.98,16.5,52.2,-0.48,35.7
WR added to scheme scoring,2022,14,Evan Engram,TE,6.15,6.15,39.2,0.0,33.05
WR added to scheme scoring,2025,9,Brock Bowers,TE,10.04,10.33,43.3,0.29,32.97
WR added to scheme scoring,2023,14,Odell Beckham Jr.,WR,7.56,7.56,39.4,0.0,31.84
WR added to scheme scoring,2025,3,Tre Tucker,WR,9.48,10.06,40.9,0.58,30.84
WR added to scheme scoring,2025,16,Puka Nacua,WR,14.96,16.21,46.5,1.25,30.29
WR added to scheme scoring,2024,14,Puka Nacua,WR,11.69,12.17,41.8,0.48,29.63
WR added to scheme scoring,2023,10,Tank Dell,WR,8.23,8.23,37.8,0.0,29.57
WR added to scheme scoring,2024,15,Davante Adams,WR,13.52,13.23,42.8,-0.29,29.57
WR added to scheme scoring,2023,10,Keenan Allen,WR,11.31,11.5,40.5,0.19,29.0
WR added to scheme scoring,2024,13,Jerry Jeudy,WR,11.69,11.69,40.5,0.0,28.81
WR added to scheme scoring,2025,14,Michael Wilson,WR,9.48,9.48,37.2,0.0,27.72
WR added to scheme scoring,2023,13,DK Metcalf,WR,9.87,9.77,37.4,-0.1,27.63
WR added to scheme scoring,2024,8,CeeDee Lamb,WR,12.27,12.37,39.6,0.1,27.23
WR added to scheme scoring,2025,15,Trey McBride,TE,10.23,10.23,37.4,0.0,27.17
WR added to scheme scoring,2024,18,Drake London,WR,14.0,13.71,40.7,-0.29,26.99
WR added to scheme scoring,2023,16,George Pickens,WR,8.71,8.62,35.5,-0.09,26.88
WR added to scheme scoring,2022,10,CeeDee Lamb,WR,11.5,11.21,38.0,-0.29,26.79
WR added to scheme scoring,2025,15,Amon-Ra St. Brown,WR,14.19,14.67,41.4,0.48,26.73
WR added to scheme scoring,2025,11,Michael Wilson,WR,6.98,6.98,33.5,0.0,26.52
WR added to scheme scoring,2023,8,CeeDee Lamb,WR,15.06,14.48,41.0,-0.58,26.52
WR added to scheme scoring,2025,16,Chris Olave,WR,10.25,10.35,36.8,0.1,26.45
WR added to scheme scoring,2023,17,Davante Adams,WR,12.75,11.6,37.6,-1.15,26.0
WR added to scheme scoring,2024,17,Malik Nabers,WR,10.35,10.35,36.1,0.0,25.75
WR added to scheme scoring,2022,8,A.J. Brown,WR,14.38,14.1,39.6,-0.28,25.5
WR added to scheme scoring,2022,15,Zay Jones,WR,9.58,9.67,34.9,0.09,25.23
WR added to scheme scoring,2023,14,Evan Engram,TE,7.29,7.29,32.5,0.0,25.21
WR added to scheme scoring,2023,3,Davante Adams,WR,17.27,17.27,42.2,0.0,24.93
WR added to scheme scoring,2024,15,Mike Evans,WR,12.17,11.98,36.9,-0.19,24.92
WR added to scheme scoring,2023,13,Deebo Samuel Sr.,WR,10.35,10.92,35.8,0.57,24.88
WR added to scheme scoring,2023,10,Brandin Cooks,WR,6.98,7.46,32.3,0.48,24.84
WR added to scheme scoring,2024,17,Tee Higgins,WR,15.83,15.44,40.1,-0.39,24.66
WR added to scheme scoring,2023,3,Keenan Allen,WR,19.48,20.92,45.46,1.44,24.54
WR added to scheme scoring,2024,5,Ja'Marr Chase,WR,16.79,16.79,41.3,0.0,24.51
WR added to scheme scoring,2023,4,A.J. Brown,WR,14.58,14.1,38.5,-0.48,24.4
WR added to scheme scoring,2023,4,Nico Collins,WR,11.5,11.5,35.8,0.0,24.3
WR added to scheme scoring,2025,11,Tetairoa McMillan,WR,8.91,8.91,33.0,0.0,24.09
WR added to scheme scoring,2022,16,T.J. Hockenson,TE,11.56,11.85,35.9,0.29,24.05
WR added to scheme scoring,2025,9,Drake London,WR,14.77,14.77,38.8,0.0,24.03
WR added to scheme scoring,2022,14,Jerry Jeudy,WR,9.39,9.39,33.3,0.0,23.91
