player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Marquise Brown,61568,WR,KC,1,14,0,16,3.0,0,66.7,,0,0,0.0,0,0.36,1,0,68.3,65.3,0,13,0.0,0,10,50.0,2,100.0,10,77.1,3,30.0,0,14,11,5.5,7.0,1.4,0,9.2,0,77.8,,0,0,12.5,1,0.37,3,0,52.1,64.5,0,49,0.0,0,28,59.3,7,96.4,27,106.0,9,33.3,0,85,22,3.1,12.1,3.15
Drake London,86519,WR,ATL,1,14,0,2,11.0,0,50.0,,0,0,0.0,0,0.41,0,0,64.7,54.4,0,-2,0.0,0,14,54.5,1,78.6,11,56.3,2,18.2,0,-2,1,1.0,-2.0,-0.18,0,6.2,1,77.8,0.0,0,1,0.0,0,0.26,2,0,75.6,84.3,0,12,0.0,0,21,52.4,7,100.0,21,93.1,9,42.9,0,57,14,2.0,8.1,2.71
Chris Olave,84355,WR,NO,1,13,0,20,12.3,0,50.0,66.7,2,3,0.0,0,-0.38,1,0,68.3,64.7,0,13,0.0,0,11,18.2,2,100.0,11,66.7,4,36.4,0,22,0,0.0,11.0,2.0,0,5.6,0,55.6,0.0,0,3,0.0,0,0.15,1,0,73.4,62.6,0,10,0.0,0,32,53.6,5,87.5,28,63.2,9,32.1,0,32,16,3.2,6.4,1.14
CeeDee Lamb,61570,WR,DAL,1,13,0,9,11.3,0,57.1,50.0,1,2,33.3,2,0.12,4,0,28.7,78.5,0,26,0.0,0,10,62.5,4,80.0,8,87.2,7,87.5,0,63,28,7.0,15.8,7.88,0,11.5,1,75.0,,0,0,0.0,0,0.37,2,0,70.5,74.7,0,32,0.0,0,16,50.0,3,87.5,14,113.5,4,28.6,0,47,15,5.0,15.7,3.36
Jaxon Smith-Njigba,129758,WR,SEA,1,13,0,29,26.0,0,33.3,0.0,0,1,0.0,0,-0.31,1,0,64.7,77.5,0,40,0.0,0,7,16.7,1,85.7,6,81.9,3,50.0,0,40,9,9.0,40.0,6.67,0,9.1,0,77.8,,0,0,0.0,0,-0.22,4,2,75.6,66.2,0,21,0.0,0,13,46.2,7,100.0,13,95.4,9,69.2,0,62,14,2.0,8.9,4.77
Keon Coleman,144949,WR,BUF,1,11,0,4,17.8,0,60.0,,0,0,0.0,0,0.98,3,0,70.5,83.1,0,25,0.0,0,20,66.7,3,75.0,15,135.0,5,33.3,1,52,13,4.3,17.3,3.47,0,5.3,0,66.7,,0,0,33.3,1,0.17,1,0,29.9,53.5,0,15,0.0,0,22,42.9,2,95.5,21,88.2,3,14.3,0,22,3,1.5,11.0,1.05
Juwan Johnson,28305,TE,NO,1,11,0,20,18.0,0,0.0,0.0,0,2,100.0,1,-0.19,0,0,28.0,41.4,0,0,0.0,0,13,30.8,0,100.0,13,39.6,2,15.4,0,0,0,,,0.0,0,6.0,1,88.9,0.0,0,1,0.0,0,0.21,4,0,76.5,73.3,0,21,0.0,0,35,58.1,8,88.6,31,101.9,9,29.0,0,76,30,3.8,9.5,2.45
Puka Nacua,100632,WR,LA,1,11,0,26,13.0,0,50.0,100.0,1,1,0.0,0,0.61,1,0,64.7,70.8,0,19,0.0,0,4,75.0,1,100.0,4,83.3,2,50.0,0,19,2,2.0,19.0,4.75,0,7.0,3,100.0,,0,0,0.0,0,0.35,5,0,76.5,91.8,0,25,0.0,0,18,52.9,8,94.4,17,118.8,8,47.1,0,101,45,5.6,12.6,5.94
Jahmyr Gibbs,122474,HB,DET,1,10,0,11,-3.0,0,100.0,,0,0,0.0,0,-0.06,0,0,64.7,61.8,0,5,0.0,0,3,66.7,1,100.0,3,87.5,1,33.3,0,5,8,8.0,5.0,1.67,0,0.6,3,100.0,,0,0,0.0,0,-0.02,0,0,75.6,65.5,0,7,7.7,2,26,48.0,7,88.5,23,79.2,7,30.4,0,20,16,2.3,2.9,0.87
Jakobi Meyers,47468,WR,LV,1,10,0,23,11.0,0,50.0,,0,0,0.0,0,0.37,0,0,64.7,49.4,0,8,0.0,0,14,42.9,1,100.0,14,60.4,2,14.3,0,8,1,1.0,8.0,0.57,0,6.9,6,85.7,,0,0,14.3,1,0.48,4,0,49.2,82.8,0,24,0.0,0,19,63.2,6,100.0,19,113.1,7,36.8,0,78,40,6.7,13.0,4.11
