year,week,team,player,status,plays_probability,workload_if_active,note
2026,1,SEA,Zach Charbonnet,out,,,
2026,1,NO,Jordyn Tyson,out,,,injured
2026,1,ARI,James Conner,out,,,injured
2026,1,HOU,Tank Dell,out,,,
2026,1,SF,Christian Kirk,out,,,
2026,1,BAL,Adam Randall,out,,,injured
2026,1,NO,Devin Neal,out,,,
2026,1,CAR,Trevor Etienne,out,,,injured
2026,1,WAS,Jerome Ford,out,,,
2026,1,ARI,Trey Benson,out,,,
2026,1,SF,Isaac Guerendo,out,,,
2026,1,CAR,Chris Brazzell II,out,,,
2026,1,GB,Savion Williams,out,,,
2026,1,LV,Dont'e Thornton Jr.,out,,,
2026,1,GB,Luke Musgrave,out,,,
2026,1,WAS,Jeremy McNichols,out,,,injured
2026,1,TB,David Sills V,out,,,injured
2026,1,NO,Moliki Matavao,out,,,
2026,1,DEN,Michael Woods II,out,,,
2026,1,SEA,Jake Bobo,out,,,
2026,1,IND,Coleman Owen,out,,,
2026,1,ATL,Beaux Collins,out,,,
2026,1,CLE,Joe Royer,out,,,
2026,1,NE,Julian Hill,out,,,
2026,1,PHI,Grant Calcaterra,out,,,
2026,1,ARI,Tip Reiman,out,,,
2026,1,NO,Mason Tipton,out,,,
2026,1,BUF,Tyrell Shavers,out,,,
2026,1,DET,Kendrick Law,out,,,
2026,1,CHI,Ray-Ray McCloud III,out,,,
2026,1,IND,Will Mallory,out,,,injured
2026,1,MIA,Cole Turner,out,,,
2026,1,KC,John Michael Gyllenborg,out,,,
2026,1,ARI,Xavier Weaver,out,,,
2026,1,DAL,Princeton Fant,out,,,
2026,1,NYG,Gunner Olszewski,out,,,
2026,1,CHI,Brittain Brown,out,,,
2026,1,CLE,Jamari Thrash,out,,,
2026,1,IND,Carson Towt,out,,,
2026,1,ARI,Jameson Geers,out,,,
2026,1,TEN,Jaren Kanak,out,,,
2026,1,NYJ,Chip Trayanum,out,,,
2026,1,IND,Sean McKeon,out,,,
2026,1,KC,Jimmy Holiday,out,,,
2026,1,GB,RJ Maryland,out,,,
2026,1,PHI,Ja'Quinden Jackson,out,,,
2026,1,CHI,Nikola Kalinic,out,,,
2026,1,CLE,Dillon Gabriel,out,,,injured
2026,1,LV,Chris Collier,out,,,
2026,1,DEN,Caleb Lohner,out,,,injured
2026,1,KC,Jeff Caldwell,out,,,
2026,1,HOU,Graham Mertz,out,,,
2026,1,BAL,Skylar Thompson,out,,,
2026,1,LAR,Matthew Caldwell,out,,,
2026,1,TB,Dennis Houston,out,,,
2026,1,ATL,Trey Sermon,out,,,
2026,1,PHI,Johnny Wilson,out,,,
2026,1,SEA,Irv Charles,out,,,injured
2026,1,NE,Jeremiah Webb,out,,,
2026,1,NE,Jimmy Kibble,out,,,
2026,1,LV,Justin Shorter,out,,,
2026,1,DET,Brian Branch,out,,,
2026,1,GB,Micah Parsons,out,,,
2026,1,PHI,Jonathan Greenard,out,,,
2026,1,NE,Harold Landry III,out,,,
2026,1,WAS,Trey Amos,out,,,injured
2026,1,DET,Kerby Joseph,out,,,
2026,1,CAR,Tershawn Wharton,out,,,
2026,1,MIA,Kenneth Grant,out,,,injured
2026,1,ATL,Billy Bowman Jr.,out,,,
2026,1,MIA,Trey Moore,out,,,injured
2026,1,CHI,Kyler Gordon,out,,,
2026,1,SF,Mykel Williams,out,,,
2026,1,ATL,JD Bertrand,out,,,
2026,1,SEA,Bud Clark,out,,,
2026,1,DET,Damone Clark,out,,,
2026,1,CAR,Bam Martin-Scott,out,,,injured
2026,1,BUF,Zane Durant,out,,,
2026,1,TEN,Tanoh Kpassagnon,out,,,
2026,1,PHI,Jakorian Bennett,out,,,injured
2026,1,HOU,Dylan Horton,out,,,
2026,1,TEN,Dorian Mausi,out,,,injured
2026,1,KC,Omarr Norman-Lott,out,,,
2026,1,MIN,Tyler Batty,out,,,
2026,1,SF,Victor Dimukeje,out,,,
2026,1,MIA,Darrell Baker Jr.,out,,,
2026,1,DAL,Marist Liufau,out,,,injured
2026,1,HOU,M.J. Stewart Jr.,out,,,
2026,1,HOU,Ali Gaye,out,,,
2026,1,TB,Josh Hayes,out,,,injured
2026,1,DET,Payton Turner,out,,,
2026,1,LV,Keyron Crawford,out,,,
2026,1,ATL,Darren Hall,out,,,
2026,1,TB,Deshawn McKnight,out,,,
2026,1,TEN,Joshua Williams,out,,,injured
2026,1,NYJ,Mykal Walker,out,,,
2026,1,BUF,Phidarian Mathis,out,,,
2026,1,MIN,Dwight McGlothern Jr.,out,,,
2026,1,WAS,Deatrich Wise Jr.,out,,,
2026,1,NO,Jaylan Ford,out,,,injured
2026,1,CHI,Shemar Turner,out,,,
2026,1,CHI,Noah Sewell,out,,,
2026,1,GB,Jordon Riley,out,,,
2026,1,ATL,Anterio Thompson,out,,,
2026,1,WAS,Drake Jackson,out,,,
2026,1,CHI,Jaylon Jones,out,,,
2026,1,ATL,DeAngelo Malone,out,,,
2026,1,CHI,Nephi Sewell,out,,,
2026,1,GB,Collin Oliver,out,,,injured
2026,1,NYJ,Tyler Baron,out,,,
2026,1,BAL,Bilhal Kone,out,,,injured
2026,1,HOU,Ja'Marcus Ingram,out,,,injured
2026,1,NYJ,Tre Brown,out,,,
2026,1,CIN,Ja'Sir Taylor,out,,,injured
2026,1,NE,Brenden Schooler,out,,,
2026,1,MIA,Storm Duck,out,,,
2026,1,CAR,Tyrek Funderburk,out,,,
2026,1,NYG,Korie Black,out,,,injured
2026,1,PIT,Donte Kent,out,,,
2026,1,NYJ,VJ Payne,out,,,injured
2026,1,FA,Russell Wilson,out,,,retired
2026,1,FA,Teddy Bridgewater,out,,,retired
2026,1,FA,Adam Thielen,out,,,retired
2026,1,FA,C.J. Uzomah,out,,,retired
2026,1,NYG,Roy Robertson-Harris,out,,,
2026,1,MIN,Jamal Adams,out,,,
2026,1,FA,Nick Chubb,out,,,retired
2026,1,FA,Parris Campbell,out,,,retired
2026,1,NO,David Long Jr.,out,,,
2026,1,HOU,E.J. Speed,out,,,
2026,1,BUF,Demetrius Flannigan-Fowles,out,,,
2026,1,IND,D.J. Montgomery,out,,,
2026,1,GB,Matt Orzech,out,,,
2026,1,CHI,Jonathan Garvin,out,,,
2026,1,NO,Ty Chandler,out,,,
2026,1,LV,Seth Williams,out,,,
2026,1,CLE,Jeremiah Owusu-Koramoah,out,,,
2026,1,PIT,Israel Mukuamu,out,,,
