season,team,role,coach,year_hired,rev
2019,LV,dc,Paul Guenther,,pro-football-history.com
2020,LV,dc,Paul Guenther,,pro-football-history.com
2020,CLE,dc,Joe Woods,,pro-football-history.com
2019,NO,dc,Dennis Allen,,pro-football-history.com
2020,NO,dc,Dennis Allen,,pro-football-history.com
2019,MIA,dc,Patrick Graham,,pro-football-history.com
2020,NYG,dc,Patrick Graham,,pro-football-history.com
2019,PIT,dc,Keith Butler,,pro-football-history.com
2020,PIT,dc,Keith Butler,,pro-football-history.com
2020,TEN,dc,Vacant,,pro-football-history.com
2021,NE,dc,Bill Belichick,,pro-football-history.com
