season,team,role,coach,year_hired,rev
2015,ARI,dc,James Bettcher,,2015-11-18
2015,BAL,dc,Dean Pees,,2015-11-18
2015,BUF,dc,Dennis Thurman,,2015-11-18
2015,CAR,dc,Sean McDermott,,2015-11-18
2015,CHI,dc,Vic Fangio,,2015-11-18
2015,DAL,dc,Rod Marinelli,,2015-11-18
2015,DEN,dc,Wade Phillips,,2015-11-18
2015,DET,dc,Teryl Austin,,2015-11-18
2015,GB,dc,Dom Capers,,2015-11-18
2015,HOU,dc,Romeo Crennel,,2015-11-18
2015,IND,dc,Greg Manusky,,2015-11-18
2015,LA,dc,Gregg Williams,,2015-11-18
2015,LAC,dc,John Pagano,,2015-11-18
2015,LV,dc,Ken Norton Jr,,2015-11-18
2015,MIA,dc,Kevin Coyle,,2015-11-18
2015,NE,dc,Matt Patricia,,2015-11-18
2015,NO,dc,Dennis Allen,,2015-11-18
2015,NYG,dc,Steve Spagnuolo,,2015-11-18
2015,NYJ,dc,Kacy Rodgers,,2015-11-18
2015,SEA,dc,Kris Richard,,2015-11-18
2015,SF,dc,Eric Mangini,,2015-11-18
2015,TB,dc,Leslie Frazier,,2015-11-18
2015,TEN,dc,Ray Horton,,2015-11-18
2015,WAS,dc,Joe Barry,,2015-11-18
2016,ARI,dc,James Bettcher,,2016-01-27
2016,BAL,dc,Dean Pees,,2016-01-27
2016,BUF,dc,Dennis Thurman,,2016-01-27
2016,CAR,dc,Sean McDermott,,2016-01-27
2016,CHI,dc,Vic Fangio,,2016-01-27
2016,CLE,dc,Ray Horton,,2016-01-27
2016,DAL,dc,Rod Marinelli,,2016-01-27
2016,DEN,dc,Wade Phillips,,2016-01-27
2016,DET,dc,Teryl Austin,,2016-01-27
2016,GB,dc,Dom Capers,,2016-01-27
2016,HOU,dc,Romeo Crennel,,2016-01-27
2016,IND,dc,Ted Monachino,,2016-01-27
2016,JAX,dc,Todd Wash,,2016-01-27
2016,LA,dc,Gregg Williams,,2016-01-27
2016,LAC,dc,John Pagano,,2016-01-27
2016,MIA,dc,Vance Joseph,,2016-01-27
2016,NE,dc,Matt Patricia,,2016-01-27
2016,NYG,dc,Steve Spagnuolo,,2016-01-27
2016,NYJ,dc,Kacy Rodgers,,2016-01-27
2016,PHI,dc,Jim Schwartz,,2016-01-27
2016,SEA,dc,Kris Richard,,2016-01-27
2016,TEN,dc,Dick LeBeau,,2016-01-27
2016,WAS,dc,Joe Barry,,2016-01-27
2017,ARI,dc,James Bettcher,,2017-11-25
2017,ATL,dc,Marquand Manuel,,2017-11-25
2017,BAL,dc,Dean Pees,,2017-11-25
2017,BUF,dc,Leslie Frazier,,2017-11-25
2017,CAR,dc,Steve Wilks,,2017-11-25
2017,CHI,dc,Vic Fangio,,2017-11-25
2017,CLE,dc,Gregg Williams,,2017-11-25
2017,DAL,dc,Rod Marinelli,,2017-11-25
2017,DET,dc,Teryl Austin,,2017-11-25
2017,GB,dc,Dom Capers,,2017-11-25
2017,HOU,dc,Mike Vrabel,,2017-11-25
2017,IND,dc,Ted Monachino,,2017-11-25
2017,JAX,dc,Todd Wash,,2017-11-25
2017,LA,dc,Wade Phillips,,2017-11-25
2017,LAC,dc,Gus Bradley,,2017-11-25
2017,LV,dc,John Pagano,,2017-11-25
2017,NE,dc,Matt Patricia,,2017-11-25
2017,NYG,dc,Steve Spagnuolo,,2017-11-25
2017,NYJ,dc,Kacy Rodgers,,2017-11-25
2017,PHI,dc,Jim Schwartz,,2017-11-25
2017,SEA,dc,Kris Richard,,2017-11-25
2017,SF,dc,Robert Saleh,,2017-11-25
2017,TEN,dc,Dick LeBeau,,2017-11-25
2017,WAS,dc,Greg Manusky,,2017-11-25
2018,ARI,dc,Al Holcomb,,2018-11-12
2018,ATL,dc,Marquand Manuel,,2018-11-12
2018,BAL,dc,Don Martindale,,2018-11-12
2018,BUF,dc,Leslie Frazier,,2018-11-12
2018,CHI,dc,Vic Fangio,,2018-11-12
2018,CIN,dc,Marvin Lewis,,2018-11-12
2018,CLE,dc,Gregg Williams,,2018-11-12
2018,DAL,dc,Rod Marinelli,,2018-11-12
2018,DET,dc,Paul Pasqualoni,,2018-11-12
2018,GB,dc,Mike Pettine,,2018-11-12
2018,HOU,dc,Romeo Crennel,,2018-11-12
2018,IND,dc,Matt Eberflus,,2018-11-12
2018,JAX,dc,Todd Wash,,2018-11-12
2018,LA,dc,Wade Phillips,,2018-11-12
2018,LAC,dc,Gus Bradley,,2018-11-12
2018,NE,dc,Brian Flores,,2018-11-12
2018,NYG,dc,James Bettcher,,2018-11-12
2018,NYJ,dc,Kacy Rodgers,,2018-11-12
2018,PHI,dc,Jim Schwartz,,2018-11-12
