year,archive_date,last_updated,team,team_name,hc,oc,dc,st
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,Arizona Cardinals,Kliff Kingsbury,Sean Kugler,Vance Joseph,Jeff Rodgers
2023,09/01/2023,08/31/2023 5:34PM ET,ARI,Arizona Cardinals,Jonathan Gannon,Drew Petzing,Nick Rallis,Jeff Rodgers
2024,09/02/2024,08/30/2024 6:57PM ET,ARI,Arizona Cardinals,Jonathan Gannon,Drew Petzing,Nick Rallis,Jeff Rodgers
2025,09/01/2025,08/29/2025 3:04PM ET,ARI,Arizona Cardinals,Jonathan Gannon,Drew Petzing,Nick Rallis,Jeff Rodgers
2022,09/01/2022,09/01/2022 9:52PM ET,ATL,Atlanta Falcons,Arthur Smith,Dave Ragone,Dean Pees,Marquice Williams
2023,09/01/2023,08/31/2023 3:49PM ET,ATL,Atlanta Falcons,Arthur Smith,Dave Ragone,Ryan Nielsen,Marquice Williams
2024,09/02/2024,08/29/2024 4:39PM ET,ATL,Atlanta Falcons,Raheem Morris,Zac Robinson,Jimmy Lake,Marquice Williams
2025,09/01/2025,08/28/2025 11:34PM ET,ATL,Atlanta Falcons,Raheem Morris,Zac Robinson,Jeff Ulbrich,Marquice Williams
2022,09/01/2022,09/01/2022 6:59PM ET,BAL,Baltimore Ravens,John Harbaugh,Greg Roman,Mike Macdonald,Chris Horton
2023,09/01/2023,08/31/2023 5:53PM ET,BAL,Baltimore Ravens,John Harbaugh,Todd Monken,Mike Macdonald,Chris Horton
2024,09/02/2024,08/30/2024 7:00PM ET,BAL,Baltimore Ravens,John Harbaugh,Todd Monken,Zach Orr,Chris Horton
2025,09/01/2025,08/28/2025 1:17PM ET,BAL,Baltimore Ravens,John Harbaugh,Todd Monken,Zach Orr,Chris Horton
2022,09/01/2022,09/01/2022 5:46PM ET,BUF,Buffalo Bills,Sean McDermott,Ken Dorsey,Leslie Frazier,Matthew Smiley
2023,09/01/2023,08/31/2023 11:45AM ET,BUF,Buffalo Bills,Sean McDermott,Ken Dorsey,Vacant,Matthew Smiley
2024,09/02/2024,08/29/2024 4:51PM ET,BUF,Buffalo Bills,Sean McDermott,Joe Brady,Bobby Babich,Matthew Smiley
2025,09/01/2025,08/28/2025 2:59PM ET,BUF,Buffalo Bills,Sean McDermott,Joe Brady,Bobby Babich,Chris Tabor
2022,09/01/2022,09/01/2022 9:57PM ET,CAR,Carolina Panthers,Matt Rhule,Ben McAdoo,Phil Snow,Chris Tabor
2023,09/01/2023,08/31/2023 11:32AM ET,CAR,Carolina Panthers,Frank Reich,Thomas Brown,Ejiro Evero,Chris Tabor
2024,09/02/2024,08/30/2024 4:27PM ET,CAR,Carolina Panthers,Dave Canales,Brad Idzik,Ejiro Evero,Tracy Smith
2025,09/01/2025,08/30/2025 12:07PM ET,CAR,Carolina Panthers,Dave Canales,Brad Idzik,Ejiro Evero,Tracy Smith
2022,09/01/2022,09/01/2022 5:50PM ET,CHI,Chicago Bears,Matt Eberflus,Luke Getsy,Alan Williams,Richard Hightower
2023,09/01/2023,08/31/2023 6:13PM ET,CHI,Chicago Bears,Matt Eberflus,Luke Getsy,Alan Williams,Richard Hightower
