year,archive_date,last_updated,team,team_ourlads,team_name,unit,slot,slot_rank,jersey,player_raw,player_last,player_first,acq_tag,caps_name
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,LWR,1,18,"GREEN, A.J. U/Cin",Green,A.J.,U/Cin,1
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,RWR,1,2,"Brown, Marquise T/Bal",Brown,Marquise,T/Bal,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,RWR,2,17,"Isabella, Andy 19/2",Isabella,Andy,19/2,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,SWR,1,4,"Moore, Rondale 21/2",Moore,Rondale,21/2,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,SWR,2,83,"Dortch, Greg SF21",Dortch,Greg,SF21,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,LT,1,74,"Humphries, D.J. 15/1",Humphries,D.J.,15/1,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,LT,2,79,"Jones, Josh 20/3",Jones,Josh,20/3,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,LG,1,67,"PUGH, JUSTIN U/NYG",Pugh,Justin,U/NYG,1
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,LG,2,72,"Ford, Cody T/Buf",Ford,Cody,T/Buf,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,C,1,61,"HUDSON, RODNEY T/LV",Hudson,Rodney,T/LV,1
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,C,2,64,"Harlow, Sean SF21",Harlow,Sean,SF21,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,RG,1,76,"Hernandez, Will U/NYG",Hernandez,Will,U/NYG,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,RG,2,54,"Smith, Lecitus 22/6",Smith,Lecitus,22/6,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,RT,1,68,"BEACHUM, KELVIN U/NYJ",Beachum,Kelvin,U/NYJ,1
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,TE,1,86,"ERTZ, ZACH T/Phi",Ertz,Zach,T/Phi,1
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,TE,2,85,"McBride, Trey 22/2",McBride,Trey,22/2,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,TE,3,87,"Williams, Maxx U/Bal",Williams,Maxx,U/Bal,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,TE,4,89,"Anderson, Stephen U/LAC",Anderson,Stephen,U/LAC,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,QB,1,1,"Murray, Kyler 19/1",Murray,Kyler,19/1,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,QB,2,12,"MCCOY, COLT U/NYG",Mccoy,Colt,U/NYG,1
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,RB,1,6,"Conner, James U/Pit",Conner,James,U/Pit,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,RB,2,26,"Benjamin, Eno 20/7",Benjamin,Eno,20/7,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,RB,3,24,"Williams, Darrel U/KC",Williams,Darrel,U/KC,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,RB,4,30,"Ingram, Keaontay 22/6",Ingram,Keaontay,22/6,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,OFF,RB,5,29,"Ward, Jonathan CF20",Ward,Jonathan,CF20,0
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,DEF,DE,1,99,"WATT, J.J. 11/1",Watt,J.J.,11/1,1
2022,09/01/2022,09/01/2022 8:56PM ET,ARI,ARZ,Arizona Cardinals,DEF,DE,2,93,"Ledbetter, Jonathan SF21",Ledbetter,Jonathan,SF21,0
