team,ypt_allowed_wr,ypt_allowed_te,ypt_allowed_rb,ypt_allowed_outside,ypt_allowed_slot
Seahawks,6.2,7.5,5.0,6.1,7.3
Broncos,6.6,7.1,5.0,6.7,7.4
Jaguars,6.6,6.8,5.3,7.3,6.0
Chargers,7.2,7.5,5.1,7.7,7.1
Eagles,7.3,4.8,7.1,8.1,6.4
Chiefs,7.3,8.0,5.8,8.3,5.9
Bills,7.4,6.6,4.6,8.6,6.4
Browns,7.4,7.4,5.1,8.3,6.6
Texans,7.5,6.3,5.9,7.8,8.0
Patriots,7.7,7.2,5.0,8.4,6.9
Saints,7.7,7.0,5.7,8.1,7.8
Panthers,7.8,8.9,5.2,7.9,8.3
Buccaneers,7.8,7.5,9.2,8.6,7.0
Cardinals,7.8,8.2,6.3,8.6,7.4
Rams,7.9,6.1,5.9,9.3,5.9
Ravens,7.9,7.1,6.3,8.0,8.9
Falcons,7.9,7.7,5.4,8.5,7.6
Colts,7.9,8.4,4.3,7.9,8.8
Packers,8.1,5.9,4.8,8.6,7.5
Vikings,8.1,6.5,4.7,10.5,6.7
Raiders,8.1,6.8,5.0,8.5,8.5
Steelers,8.2,7.8,5.4,8.0,9.5
Lions,8.2,7.1,5.3,8.7,8.2
Bengals,8.2,8.8,7.1,8.0,8.8
Giants,8.2,7.1,5.4,8.6,8.3
Jets,8.2,7.4,7.3,7.9,8.9
Dolphins,8.2,8.0,6.6,8.5,8.3
49ers,8.4,6.7,5.3,8.6,8.4
Commanders,8.8,9.1,6.9,8.4,9.9
Bears,9.2,7.0,5.3,10.2,9.0
Titans,9.5,7.9,6.2,10.3,9.1
Cowboys,9.6,7.6,7.3,10.8,8.4
