team,season,formation,plays,pers_plays,rate_pct,epa,epa_rank,epa_pass,epa_rush,pass_rate_pct,league_avg_usage_pct,league_avg_epa
Carolina Panthers,2025,2X2,1016,508,50.00,38.32,7,0.18,-0.04,53.74,40.39,0.01
Chicago Bears,2025,2X2,1025,482,47.02,16.83,14,0.06,0,55.81,40.39,0.01
Denver Broncos,2025,2X2,1061,477,44.96,-57.50,31,-0.13,-0.11,63.10,40.39,0.01
Indianapolis Colts,2025,2X2,1114,487,43.72,7.37,16,0.13,-0.16,60.37,40.39,0.01
Atlanta Falcons,2025,2X2,1052,449,42.68,16.26,15,0.02,0.06,59.02,40.39,0.01
Tampa Bay Buccaneers,2025,2X2,1001,420,41.96,23.86,11,0.08,0.01,62.86,40.39,0.01
Seattle Seahawks,2025,2X2,1065,445,41.78,-19.69,21,0.03,-0.18,65.84,40.39,0.01
Jacksonville Jaguars,2025,2X2,1036,431,41.60,-27.36,26,-0.07,-0.05,64.50,40.39,0.01
Los Angeles Rams,2025,2X2,1072,444,41.42,-18.68,20,-0.02,-0.08,64.86,40.39,0.01
Miami Dolphins,2025,2X2,1023,423,41.35,39.29,6,0.12,0.06,59.34,40.39,0.01
San Francisco 49ers,2025,2X2,1028,420,40.86,17.56,13,0.02,0.08,63.57,40.39,0.01
New York Giants,2025,2X2,1054,429,40.70,22.71,12,0.04,0.07,58.74,40.39,0.01
New England Patriots,2025,2X2,973,395,40.60,-45.43,29,-0.20,0,59.49,40.39,0.01
Cincinnati Bengals,2025,2X2,1048,423,40.36,72.87,1,0.22,0.10,57.21,40.39,0.01
Los Angeles Chargers,2025,2X2,966,388,40.17,-5.90,18,-0.01,-0.02,57.99,40.39,0.01
Washington Commanders,2025,2X2,1086,436,40.15,44.11,5,0.13,0.06,56.88,40.39,0.01
Tennessee Titans,2025,2X2,1009,402,39.84,64.41,2,0.19,0.12,60.45,40.39,0.01
Baltimore Ravens,2025,2X2,1089,433,39.76,-21.97,23,0.04,-0.21,63.05,40.39,0.01
Dallas Cowboys,2025,2X2,1043,412,39.50,30.97,8,0.05,0.11,56.07,40.39,0.01
Philadelphia Eagles,2025,2X2,1080,426,39.44,-24.99,24,-0.02,-0.11,58.22,40.39,0.01
Cleveland Browns,2025,2X2,1015,396,39.01,-29.41,27,-0.08,-0.07,52.02,40.39,0.01
Arizona Cardinals,2025,2X2,1091,424,38.86,61.61,3,0.26,-0.04,60.61,40.39,0.01
New York Jets,2025,2X2,1080,416,38.52,54.68,4,0.22,0.04,50.96,40.39,0.01
Green Bay Packers,2025,2X2,1061,407,38.36,29.18,10,0.15,-0.07,62.90,40.39,0.01
Kansas City Chiefs,2025,2X2,992,378,38.10,-27.02,25,-0.09,-0.05,62.96,40.39,0.01
New Orleans Saints,2025,2X2,1053,401,38.08,-43.23,28,-0.15,-0.05,58.35,40.39,0.01
Las Vegas Raiders,2025,2X2,1072,407,37.97,30.16,9,0.21,-0.07,50.12,40.39,0.01
Houston Texans,2025,2X2,985,367,37.26,-55.46,30,-0.17,-0.12,59.67,40.39,0.01
Buffalo Bills,2025,2X2,950,352,37.05,-1.31,17,0,-0.01,54.55,40.39,0.01
Minnesota Vikings,2025,2X2,1025,379,36.98,-60.94,32,-0.25,-0.04,57.52,40.39,0.01
Pittsburgh Steelers,2025,2X2,1112,398,35.79,-19.83,22,-0.07,-0.01,64.07,40.39,0.01
Detroit Lions,2025,2X2,1050,371,35.33,-14.13,19,0,-0.11,64.42,40.39,0.01
