team,season,epa_play,total_epa,success_pct,epa_pass,epa_rush,pass_yards,comp_pct,pass_td,rush_yards,rush_td,adot,sack_pct,scramble_pct,int_pct
Houston Texans,2025,-0.13,-130.69,37.97,-0.19,-0.05,3486,59.29,20,1593,13,8.55,7.58,5.65,3.06
Seattle Seahawks,2025,-0.12,-129.62,39.25,-0.10,-0.15,3619,62.50,20,1563,9,6.94,6.81,6.23,2.61
Jacksonville Jaguars,2025,-0.11,-112.38,40.83,-0.14,-0.05,3933,62.36,25,1455,13,8.29,4.56,4.99,3.13
Minnesota Vikings,2025,-0.11,-111.09,40.59,-0.15,-0.07,3021,62.42,15,2110,13,7.10,9.30,5.88,1.52
Cleveland Browns,2025,-0.10,-101.58,39.51,-0.13,-0.07,3220,63.24,25,1979,14,7.86,9.40,4.26,1.95
Los Angeles Chargers,2025,-0.09,-84.28,40.89,-0.09,-0.08,3314,60.79,16,1791,16,7.90,7.61,6.94,3.21
Denver Broncos,2025,-0.09,-92.09,36.48,-0.11,-0.04,3606,57.84,18,1548,11,9.30,9.74,5.30,1.43
Philadelphia Eagles,2025,-0.08,-91.24,41.30,-0.12,-0.04,3476,56.80,14,2115,20,8.81,6.65,7.28,1.90
New Orleans Saints,2025,-0.07,-77.71,40.84,-0.05,-0.10,3336,63.54,25,2050,12,8.40,7.88,6.13,1.75
Los Angeles Rams,2025,-0.06,-66.60,41.60,-0.08,-0.04,3988,64.01,26,1884,8,8.10,7.10,3.93,2.42
New England Patriots,2025,-0.05,-47.97,44.30,-0.06,-0.04,3512,66.41,25,1729,11,7.69,5.93,4.75,1.69
Kansas City Chiefs,2025,-0.03,-27.83,42.94,0,-0.06,3487,66.80,18,1797,14,7.05,6.01,6.53,1.72
Detroit Lions,2025,-0.02,-16.42,41.05,-0.01,-0.03,4027,61.62,31,1947,16,10.23,7.70,5.03,2.04
Buffalo Bills,2025,-0.01,-14.20,42.21,-0.11,0.09,2894,59.70,19,2315,24,8.06,6.79,5.66,2.45
Atlanta Falcons,2025,-0.01,-9.13,44.11,-0.03,0.02,3773,62.57,27,2146,12,9.01,9.09,6.54,2.55
Indianapolis Colts,2025,0,-4.37,44.88,0.04,-0.06,4462,63.32,24,1732,16,8.21,5.60,4.31,2.01
Las Vegas Raiders,2025,0.01,8.49,44.22,0.08,-0.08,3644,68.51,23,1986,22,7.80,6.24,5.40,1.35
Tampa Bay Buccaneers,2025,0.01,13.27,44.66,0.08,-0.08,4332,66.73,30,1684,16,8.18,5.74,6.20,2.02
Pittsburgh Steelers,2025,0.01,16.18,43.08,0.03,-0.01,4437,64.60,30,1922,10,7.14,6.97,4.06,2.18
Baltimore Ravens,2025,0.01,16.06,43.80,0.08,-0.08,4403,63.84,23,1813,18,8.65,4.32,5.76,1.58
Chicago Bears,2025,0.02,16.90,46.24,0.03,0,4067,66.60,32,2287,15,8.70,5.87,4.70,3.86
Green Bay Packers,2025,0.03,32.14,44.58,0.08,-0.03,3516,65.57,24,2001,15,7.68,5.86,4.72,1.14
Carolina Panthers,2025,0.05,55.56,43.50,0.10,0,3657,66.27,20,2096,20,7.77,5.31,4.96,2.65
San Francisco 49ers,2025,0.06,66.26,48.05,0.12,-0.01,4110,68.15,29,1833,13,7.99,3.15,4.73,0.95
New York Giants,2025,0.07,72.45,45.73,0.02,0.13,3908,65.09,25,2470,21,8.15,6.25,5.61,1.44
Arizona Cardinals,2025,0.08,86.68,47.20,0.15,-0.01,4128,65.56,31,2158,19,8.19,4.79,3.83,1.60
Miami Dolphins,2025,0.08,82.14,47.90,0.13,0.02,3920,72.04,29,2251,18,7.56,6.59,6.42,1.52
Tennessee Titans,2025,0.08,83.23,44.30,0.17,-0.03,4221,68.87,30,1948,21,8.11,7.05,6.71,1.01
Cincinnati Bengals,2025,0.12,123.49,46.95,0.16,0.06,4175,65.17,33,2500,18,7.83,5.76,6.41,2.14
New York Jets,2025,0.13,140.49,44.44,0.25,0.01,3849,65.24,36,2371,20,7.63,4.49,6.56,0
Washington Commanders,2025,0.13,141.75,46.78,0.20,0.05,4371,64.81,33,2411,18,8.34,6.81,5.67,1.30
Dallas Cowboys,2025,0.16,162.32,47.84,0.22,0.08,4521,68.53,35,2133,24,8.31,5.54,6.49,0.95
