team,season,personnel,plays,pers_plays,rate_pct,epa,epa_rank,epa_pass,epa_rush,pass_rate_pct,league_avg_usage_pct,league_avg_epa
Philadelphia Eagles,2025,11,1080,741,68.61,-69.26,29,-0.16,0.02,63.43,56.44,0.01
Indianapolis Colts,2025,11,1114,760,68.22,17.18,14,0.04,-0.01,67.89,56.44,0.01
Los Angeles Chargers,2025,11,966,631,65.32,-30.27,25,-0.09,0.02,66.09,56.44,0.01
Jacksonville Jaguars,2025,11,1036,664,64.09,-104.05,32,-0.21,0,72.44,56.44,0.01
Tennessee Titans,2025,11,1009,620,61.45,97.78,4,0.19,0.10,65.16,56.44,0.01
San Francisco 49ers,2025,11,1028,631,61.38,55.34,9,0.12,0.02,69.73,56.44,0.01
Washington Commanders,2025,11,1086,666,61.33,110.20,2,0.20,0.12,60.36,56.44,0.01
Seattle Seahawks,2025,11,1065,649,60.94,-28.62,23,-0.05,-0.03,72.42,56.44,0.01
Carolina Panthers,2025,11,1016,613,60.33,41.31,11,0.13,-0.04,62.48,56.44,0.01
New York Giants,2025,11,1054,634,60.15,29.04,12,-0.06,0.25,65.62,56.44,0.01
Dallas Cowboys,2025,11,1043,619,59.35,150.25,1,0.28,0.17,65.75,56.44,0.01
Baltimore Ravens,2025,11,1089,644,59.14,62.92,6,0.15,-0.03,71.27,56.44,0.01
Denver Broncos,2025,11,1061,621,58.53,-15.13,19,-0.05,0.05,70.21,56.44,0.01
Chicago Bears,2025,11,1025,597,58.24,43.90,10,0.11,0,65.66,56.44,0.01
Houston Texans,2025,11,985,570,57.87,-103.80,31,-0.29,0.04,67.54,56.44,0.01
Atlanta Falcons,2025,11,1052,603,57.32,-21.79,21,-0.07,0.03,65.01,56.44,0.01
Green Bay Packers,2025,11,1061,605,57.02,14.52,15,0.07,-0.07,64.79,56.44,0.01
Miami Dolphins,2025,11,1023,582,56.89,57.94,7,0.11,0.08,65.29,56.44,0.01
Tampa Bay Buccaneers,2025,11,1001,568,56.74,-5.55,17,-0.01,-0.01,71.83,56.44,0.01
New England Patriots,2025,11,973,552,56.73,-29.75,24,-0.16,0.15,66.30,56.44,0.01
Los Angeles Rams,2025,11,1072,603,56.25,-90.38,30,-0.16,-0.13,66.33,56.44,0.01
Kansas City Chiefs,2025,11,992,546,55.04,-19.54,20,-0.03,-0.05,69.23,56.44,0.01
New Orleans Saints,2025,11,1053,572,54.32,-44.87,27,-0.07,-0.10,65.03,56.44,0.01
Buffalo Bills,2025,11,950,513,54.00,-41.09,26,-0.17,0.09,65.30,56.44,0.01
Las Vegas Raiders,2025,11,1072,561,52.33,18.66,13,0.04,0.02,68.09,56.44,0.01
Pittsburgh Steelers,2025,11,1112,565,50.81,2.11,16,0.02,-0.03,68.14,56.44,0.01
New York Jets,2025,11,1080,532,49.26,101.79,3,0.24,0.12,59.59,56.44,0.01
Cleveland Browns,2025,11,1015,494,48.67,-50.50,28,-0.07,-0.16,66.19,56.44,0.01
Cincinnati Bengals,2025,11,1048,495,47.23,68.94,5,0.14,0.15,61.21,56.44,0.01
Arizona Cardinals,2025,11,1091,495,45.37,55.64,8,0.11,0.11,72.93,56.44,0.01
Detroit Lions,2025,11,1050,449,42.76,-10.18,18,-0.04,0.03,77.51,56.44,0.01
Minnesota Vikings,2025,11,1025,365,35.61,-27.96,22,-0.05,-0.15,73.42,56.44,0.01
