team,season,formation,plays,pers_plays,rate_pct,epa,epa_rank,epa_pass,epa_rush,pass_rate_pct,league_avg_usage_pct,league_avg_epa
New Orleans Saints,2025,2X2,1075,517,48.09,-41.20,29,0.01,-0.22,62.67,40.39,0.01
Indianapolis Colts,2025,2X2,1018,479,47.05,20.03,10,-0.02,0.13,58.46,40.39,0.01
Jacksonville Jaguars,2025,2X2,1093,505,46.20,-4.15,18,0.03,-0.05,54.06,40.39,0.01
Cincinnati Bengals,2025,2X2,1057,488,46.17,-20.32,23,-0.09,0.05,63.11,40.39,0.01
New York Jets,2025,2X2,1010,463,45.84,-53.38,31,-0.14,-0.07,61.99,40.39,0.01
Philadelphia Eagles,2025,2X2,1010,463,45.84,-10.47,22,-0.04,0,55.94,40.39,0.01
Atlanta Falcons,2025,2X2,1048,479,45.71,17.64,12,0.05,0.01,63.47,40.39,0.01
Arizona Cardinals,2025,2X2,1074,488,45.44,-31.69,26,-0.06,-0.08,71.11,40.39,0.01
Chicago Bears,2025,2X2,1103,491,44.51,68.69,2,0.18,0.09,55.19,40.39,0.01
San Francisco 49ers,2025,2X2,1082,475,43.90,40.63,7,0.18,-0.07,62.11,40.39,0.01
Dallas Cowboys,2025,2X2,1120,490,43.75,15.85,13,0.10,-0.07,62.45,40.39,0.01
Los Angeles Rams,2025,2X2,1086,475,43.74,71.98,1,0.21,0.04,67.16,40.39,0.01
Green Bay Packers,2025,2X2,1010,421,41.68,54.55,4,0.27,-0.02,51.78,40.39,0.01
Las Vegas Raiders,2025,2X2,948,393,41.46,-96.82,32,-0.23,-0.27,62.60,40.39,0.01
Kansas City Chiefs,2025,2X2,1061,434,40.90,-4.18,19,0.03,-0.05,52.53,40.39,0.01
Buffalo Bills,2025,2X2,1082,440,40.67,54.93,3,0.15,0.10,44.77,40.39,0.01
Carolina Panthers,2025,2X2,1011,411,40.65,18.78,11,0.10,-0.01,50.36,40.39,0.01
Tampa Bay Buccaneers,2025,2X2,1068,428,40.07,3.87,16,0.01,0.01,59.58,40.39,0.01
Detroit Lions,2025,2X2,1063,417,39.23,38.86,8,0.19,-0.12,68.35,40.39,0.01
Houston Texans,2025,2X2,1088,426,39.15,47.33,6,0.18,-0.01,62.44,40.39,0.01
New York Giants,2025,2X2,1085,401,36.96,-39.95,28,-0.15,-0.04,53.87,40.39,0.01
Cleveland Browns,2025,2X2,1030,379,36.80,-46.04,30,-0.20,-0.01,59.89,40.39,0.01
Minnesota Vikings,2025,2X2,954,351,36.79,-37.26,27,-0.12,-0.08,62.39,40.39,0.01
Los Angeles Chargers,2025,2X2,1095,396,36.16,-8.88,21,-0.04,0.01,65.91,40.39,0.01
Washington Commanders,2025,2X2,990,356,35.96,8.16,15,-0.05,0.10,51.12,40.39,0.01
Seattle Seahawks,2025,2X2,1015,364,35.86,-26.83,25,-0.01,-0.15,53.30,40.39,0.01
Tennessee Titans,2025,2X2,1004,355,35.36,-8.37,20,-0.02,-0.03,58.59,40.39,0.01
Denver Broncos,2025,2X2,1092,374,34.25,28.29,9,0.10,0.03,67.11,40.39,0.01
Baltimore Ravens,2025,2X2,974,322,33.06,2.92,17,-0.07,0.11,56.21,40.39,0.01
New England Patriots,2025,2X2,1044,345,33.05,49.93,5,0.30,-0.07,58.84,40.39,0.01
Pittsburgh Steelers,2025,2X2,988,318,32.19,10.25,14,0.10,-0.06,57.23,40.39,0.01
Miami Dolphins,2025,2X2,949,282,29.72,-25.84,24,-0.02,-0.20,60.64,40.39,0.01
