team,season,epa_play,total_epa,success_pct,epa_pass,epa_rush,pass_yards,comp_pct,pass_td,rush_yards,rush_td,adot,sack_pct,scramble_pct,int_pct
New England Patriots,2025,0.13,140.69,46.93,0.29,-0.03,4459,71.91,31,2191,22,9.57,7.82,10.42,1.30
Los Angeles Rams,2025,0.13,136.87,50.46,0.23,-0.01,4707,64.88,46,2152,17,9.51,3.66,1.11,1.27
Buffalo Bills,2025,0.12,132.57,47.69,0.17,0.08,3981,69.49,29,2714,30,7.54,6.80,9.01,1.70
Green Bay Packers,2025,0.10,101.44,46.73,0.23,-0.03,3845,67.08,26,2037,18,9.31,5.23,6.50,1.26
Dallas Cowboys,2025,0.08,94.83,45.98,0.16,-0.02,4735,67.15,31,2136,18,8.35,4.53,4.24,1.75
Detroit Lions,2025,0.07,78.79,44.68,0.17,-0.06,4567,67.70,35,2041,21,6.79,6.23,0.80,1.28
Chicago Bears,2025,0.07,80.50,45.24,0.08,0.06,3991,58.19,28,2456,19,9.29,3.74,6.71,1.09
San Francisco 49ers,2025,0.07,77.67,47.41,0.16,-0.04,4318,69.34,33,1817,15,7.81,4.31,4.15,2.55
Indianapolis Colts,2025,0.07,69.55,45.97,0.06,0.07,4085,65.81,25,2007,27,8.26,4.82,4.32,2.33
Denver Broncos,2025,0.04,42.38,43.41,0.08,-0.02,3931,63.30,25,2018,18,7.68,3.42,5.36,1.64
Kansas City Chiefs,2025,0.03,32.20,43.73,0.04,0.02,3947,62.16,23,1812,15,8.26,6.82,8.42,1.74
Jacksonville Jaguars,2025,0.03,30.46,43.73,0.06,-0.01,4026,61.10,29,1956,22,8.92,6.34,6.65,1.85
Baltimore Ravens,2025,0.03,25.36,43.74,-0.04,0.08,3278,65.88,23,2662,23,8.41,8.91,7.52,2.18
Pittsburgh Steelers,2025,0.02,20.22,43.42,0.03,0.01,3632,66.36,26,1756,16,6.28,5.22,2.19,1.52
Seattle Seahawks,2025,0.02,16.57,45.32,0.11,-0.07,4063,67.57,25,2096,19,8.27,5.17,2.68,2.87
Philadelphia Eagles,2025,0.01,12.98,42.38,0.05,-0.02,3498,63.98,26,1988,17,9.66,6.09,7.48,1.22
New York Giants,2025,0.01,7.44,41.57,-0.01,0.03,3703,61.41,21,2195,22,8.89,7.67,8.31,1.60
Washington Commanders,2025,0,-0.01,45.05,-0.01,0.01,3329,61.19,19,2290,20,9.25,6.49,11.23,2.11
Cincinnati Bengals,2025,-0.01,-10.46,45.13,-0.03,0.02,4244,64.38,36,1591,11,7.74,5.22,2.03,2.46
Tampa Bay Buccaneers,2025,-0.01,-11.61,42.13,-0.02,0.01,3755,62.90,26,1947,13,8.33,5.94,6.88,1.72
Arizona Cardinals,2025,-0.02,-17.75,43.02,0,-0.06,4354,65.79,29,1583,9,7.55,7.91,5.09,1.47
Miami Dolphins,2025,-0.02,-16.04,41.73,-0.01,-0.03,3322,67.22,23,2044,14,7.28,7.13,3.00,3.38
Houston Texans,2025,-0.02,-19.33,40.90,0.04,-0.09,3956,62.54,24,1852,9,8.62,4.81,4.96,1.40
Atlanta Falcons,2025,-0.02,-26.02,43.23,-0.01,-0.04,3703,60.92,19,2138,17,8.03,4.44,2.56,1.37
Los Angeles Chargers,2025,-0.04,-42.33,42.47,-0.06,-0.02,3953,64.50,26,2067,10,8.36,8.76,8.18,2.04
Carolina Panthers,2025,-0.04,-44.31,42.43,-0.05,-0.04,3304,63.88,24,1977,9,7.19,5.99,5.82,2.05
New Orleans Saints,2025,-0.09,-98.53,41.49,-0.08,-0.12,4027,67.17,19,1603,9,8.47,7.25,5.33,1.78
Minnesota Vikings,2025,-0.12,-116.28,41.93,-0.19,-0.03,3208,61.57,18,1841,15,8.03,10.47,5.06,3.66
New York Jets,2025,-0.13,-136.22,40.10,-0.19,-0.07,2784,60.32,15,2096,11,7.21,9.82,9.33,2.13
Tennessee Titans,2025,-0.16,-162.39,37.15,-0.22,-0.07,3241,59.65,15,1589,9,7.57,8.63,3.54,1.23
Cleveland Browns,2025,-0.19,-195.47,34.47,-0.28,-0.05,3152,57.89,16,1649,10,7.25,7.97,4.84,2.81
Las Vegas Raiders,2025,-0.21,-203.57,37.34,-0.19,-0.26,3315,66.02,20,1317,5,6.49,10.65,3.66,3.16
