team,season,personnel,plays,pers_plays,rate_pct,epa,epa_rank,epa_pass,epa_rush,pass_rate_pct,league_avg_usage_pct,league_avg_epa
Tennessee Titans,2025,11,1004,701,69.82,-123.64,32,-0.25,0.02,71.61,56.44,0.01
Tampa Bay Buccaneers,2025,11,1068,734,68.73,6.74,18,-0.03,0.09,66.89,56.44,0.01
New York Jets,2025,11,1010,678,67.13,-121.24,31,-0.25,-0.05,62.98,56.44,0.01
New Orleans Saints,2025,11,1075,717,66.70,-43.36,26,-0.04,-0.11,70.01,56.44,0.01
Dallas Cowboys,2025,11,1120,744,66.43,95.34,2,0.16,0.05,67.20,56.44,0.01
Houston Texans,2025,11,1088,718,65.99,22.94,14,0.06,-0.03,70.06,56.44,0.01
Carolina Panthers,2025,11,1011,661,65.38,-12.08,24,-0.05,0.04,65.20,56.44,0.01
Jacksonville Jaguars,2025,11,1093,713,65.23,46.91,10,0.07,0.07,66.34,56.44,0.01
Cincinnati Bengals,2025,11,1057,678,64.14,60.62,6,0.10,0.07,68.14,56.44,0.01
Minnesota Vikings,2025,11,954,609,63.84,-87.05,29,-0.22,0.03,68.31,56.44,0.01
Denver Broncos,2025,11,1092,688,63.00,40.42,12,0.05,0.08,69.48,56.44,0.01
Indianapolis Colts,2025,11,1018,638,62.67,13.05,16,-0.01,0.07,62.23,56.44,0.01
Buffalo Bills,2025,11,1082,658,60.81,86.31,3,0.10,0.18,62.01,56.44,0.01
New York Giants,2025,11,1085,656,60.46,-0.42,20,-0.07,0.12,62.20,56.44,0.01
Philadelphia Eagles,2025,11,1010,599,59.31,-10.50,23,-0.01,-0.04,65.61,56.44,0.01
Los Angeles Rams,2025,11,1086,637,58.66,78.41,5,0.17,0.01,70.49,56.44,0.01
Detroit Lions,2025,11,1063,618,58.14,50.36,9,0.13,-0.03,70.71,56.44,0.01
Las Vegas Raiders,2025,11,948,540,56.96,-78.24,28,-0.14,-0.16,66.48,56.44,0.01
Los Angeles Chargers,2025,11,1095,622,56.80,-3.39,22,-0.07,0.15,70.26,56.44,0.01
Washington Commanders,2025,11,990,562,56.77,13.91,15,-0.04,0.14,62.10,56.44,0.01
Kansas City Chiefs,2025,11,1061,596,56.17,25.16,13,0.05,0.03,66.61,56.44,0.01
Green Bay Packers,2025,11,1010,562,55.64,80.93,4,0.20,0.05,61.57,56.44,0.01
Chicago Bears,2025,11,1103,569,51.59,51.38,8,0.05,0.15,62.04,56.44,0.01
New England Patriots,2025,11,1044,511,48.95,108.33,1,0.35,-0.06,66.14,56.44,0.01
Arizona Cardinals,2025,11,1074,498,46.37,9.06,17,0,0.08,75.50,56.44,0.01
Atlanta Falcons,2025,11,1048,473,45.13,-47.81,27,-0.11,-0.08,70.40,56.44,0.01
Cleveland Browns,2025,11,1030,453,43.98,-88.07,30,-0.25,-0.07,68.21,56.44,0.01
San Francisco 49ers,2025,11,1082,461,42.61,54.34,7,0.17,-0.01,70.50,56.44,0.01
Seattle Seahawks,2025,11,1015,420,41.38,-1.30,21,0.04,-0.08,65.48,56.44,0.01
Miami Dolphins,2025,11,949,373,39.30,-42.27,25,-0.14,-0.06,68.90,56.44,0.01
Pittsburgh Steelers,2025,11,988,382,38.66,44.01,11,0.17,-0.03,72.51,56.44,0.01
Baltimore Ravens,2025,11,974,291,29.88,5.90,19,-0.01,0.07,63.23,56.44,0.01
