player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Mike Nugent,2264,K,ARZ,4,0,0,0,,2,2,100.0,1,71.1,0,0,,7,7,100.0,0,5,4,80.0,8,7,87.5,1,1,100.0
Robbie Gould,2607,K,SF,15,0,4,2,50.0,10,9,90.0,28,66.0,0,0,,38,36,94.7,0,6,5,83.3,23,19,82.6,3,3,100.0
Stephen Gostkowski,3063,K,TEN,16,0,8,7,87.5,11,6,54.5,31,61.4,0,0,,49,47,95.9,0,5,4,80.0,28,20,71.4,4,3,75.0
Matt Prater,3471,K,DET,16,0,10,6,60.0,7,4,57.1,11,64.2,0,0,,41,38,92.7,0,7,7,100.0,28,21,75.0,4,4,100.0
Nick Folk,3794,K,NE,16,0,3,2,66.7,12,11,91.7,19,69.4,0,0,,33,30,90.9,0,7,7,100.0,28,26,92.9,6,6,100.0
Mason Crosby,3809,K,GB,18,0,4,4,100.0,5,5,100.0,12,75.4,1,1,100.0,67,63,94.0,0,6,6,100.0,20,20,100.0,4,4,100.0
Stephen Hauschka,4655,K,JAX,1,0,0,0,,1,0,0.0,15,28.9,0,0,,2,2,100.0,0,0,0,,2,0,0.0,1,0,0.0
Ryan Succop,5180,K,TB,20,0,3,2,66.7,10,8,80.0,30,73.2,1,1,100.0,70,64,91.4,0,13,13,100.0,40,37,92.5,13,13,100.0
Graham Gano,5443,K,NYG,16,0,6,5,83.3,9,9,100.0,21,75.4,0,0,,23,21,91.3,0,13,13,100.0,32,31,96.9,4,4,100.0
Dan Bailey,6796,K,MIN,16,0,5,2,40.0,7,4,57.1,18,29.3,0,0,,43,37,86.0,0,4,3,75.0,22,15,68.2,6,6,100.0
Kai Forbath,6860,K,LA,2,0,0,0,,1,0,0.0,26,41.5,0,0,,5,4,80.0,0,0,0,,3,2,66.7,2,2,100.0
Randy Bullock,7154,K,CIN,12,0,5,3,60.0,8,7,87.5,7,48.7,0,0,,25,24,96.0,0,10,8,80.0,26,21,80.8,3,3,100.0
Greg Zuerlein,7163,K,DAL,16,0,9,3,33.3,13,12,92.3,9,76.1,1,1,100.0,36,33,91.7,0,13,13,100.0,41,34,82.9,5,5,100.0
Justin Tucker,7604,K,BLT,18,0,7,4,57.1,11,9,81.8,3,81.4,0,0,,55,54,98.2,0,9,8,88.9,35,29,82.9,8,8,100.0
Dustin Hopkins,7958,K,WAS,17,0,4,2,50.0,17,13,76.5,32,58.9,0,0,,34,32,94.1,0,9,8,88.9,35,28,80.0,5,5,100.0
Brandon McManus,8437,K,DEN,15,0,15,10,66.7,8,8,100.0,10,70.1,0,0,,27,24,88.9,0,5,4,80.0,34,28,82.4,6,6,100.0
Sergio Castillo,8894,K,NYJ,6,0,2,2,100.0,5,2,40.0,22,29.6,0,0,,7,6,85.7,0,4,3,75.0,13,8,61.5,2,1,50.0
Cairo Santos,8932,K,CHI,17,0,3,2,66.7,10,9,90.0,6,85.2,0,0,,37,36,97.3,0,11,11,100.0,33,31,93.9,9,9,100.0
Chris Boswell,8990,K,PIT,14,0,1,1,100.0,9,8,88.9,25,66.1,0,0,,40,36,90.0,0,6,6,100.0,21,20,95.2,5,5,100.0
Cody Parkey,9030,K,CLV,17,0,0,0,,12,11,91.7,8,61.7,0,0,,56,51,91.1,0,7,5,71.4,25,22,88.0,6,6,100.0
Josh Lambo,10133,K,JAX,4,0,2,2,100.0,1,1,100.0,15,63.5,0,0,,10,8,80.0,0,2,2,100.0,5,5,100.0,0,0,
Jason Myers,10207,K,SEA,17,0,4,4,100.0,13,13,100.0,29,79.3,0,0,,55,51,92.7,0,7,7,100.0,26,26,100.0,2,2,100.0
Wil Lutz,11096,K,NO,18,0,4,1,25.0,10,8,80.0,20,69.1,0,0,,63,62,98.4,0,10,10,100.0,31,25,80.6,7,6,85.7
Ka'imi Fairbairn,11161,K,HST,16,0,6,4,66.7,8,6,75.0,13,62.3,0,0,,40,37,92.5,0,9,9,100.0,31,27,87.1,8,8,100.0
Jonathan Brown,11297,K,JAX,1,0,0,0,,0,0,,15,45.2,0,0,,1,1,100.0,0,2,1,50.0,2,1,50.0,0,0,
Aldrick Rosas,11331,K,JAX,6,0,5,3,60.0,1,0,0.0,15,63.8,0,0,,9,9,100.0,0,2,2,100.0,11,8,72.7,3,3,100.0
Sam Ficken,11437,K,NYJ,9,0,3,1,33.3,1,1,100.0,22,47.0,0,0,,15,12,80.0,0,6,6,100.0,15,13,86.7,5,5,100.0
Jake Elliott,11908,K,PHI,16,0,5,2,40.0,5,5,100.0,24,41.0,0,0,,26,24,92.3,0,6,6,100.0,19,14,73.7,3,1,33.3
Zane Gonzalez,11979,K,ARZ,12,0,3,2,66.7,13,8,61.5,1,59.3,0,0,,39,38,97.4,0,2,2,100.0,22,16,72.7,4,4,100.0
Harrison Butker,11988,K,KC,19,0,6,6,100.0,7,5,71.4,16,74.6,2,2,100.0,61,54,88.5,0,12,11,91.7,35,32,91.4,8,8,100.0
Younghoe Koo,12042,K,ATL,15,0,8,8,100.0,9,8,88.9,2,67.6,0,0,,36,33,91.7,0,12,11,91.7,39,37,94.9,10,10,100.0
Tristan Vizcaino,13076,K,SF,1,0,0,0,,1,1,100.0,28,68.2,0,0,,2,2,100.0,0,2,2,100.0,3,3,100.0,0,0,
Brandon Wright,13421,K,JAX,1,0,0,0,,0,0,,15,44.5,0,0,,2,1,50.0,0,0,0,,0,0,,0,0,
Austin Seibert,13701,K,CIN,5,0,1,0,0.0,3,1,33.3,7,42.5,0,0,,9,8,88.9,0,5,5,100.0,9,6,66.7,0,0,
Elliott Fry,21473,K,ATL,1,0,0,0,,0,0,,2,35.6,0,0,,2,1,50.0,0,0,0,,1,1,100.0,1,1,100.0
Daniel Carlson,28121,K,LV,16,0,4,4,100.0,5,3,60.0,23,72.6,0,0,,47,45,95.7,0,8,8,100.0,35,33,94.3,18,18,100.0
Jason Sanders,29578,K,MIA,16,0,9,8,88.9,14,12,85.7,17,90.1,1,1,100.0,36,36,100.0,0,7,7,100.0,39,36,92.3,8,8,100.0
Tyler Bass,33010,K,BUF,19,0,9,7,77.8,12,9,75.0,4,67.1,1,1,100.0,65,62,95.4,0,9,6,66.7,43,35,81.4,12,12,100.0
Chase McLaughlin,33285,K,NYJ,4,0,2,1,50.0,1,1,100.0,22,58.5,0,0,,6,5,83.3,0,1,1,100.0,5,4,80.0,1,1,100.0
Rodrigo Blankenship,34038,K,IND,17,0,3,1,33.3,11,9,81.8,14,57.9,0,0,,46,44,95.7,0,15,13,86.7,39,33,84.6,10,10,100.0
Joey Slye,39235,K,CAR,16,0,6,1,16.7,8,7,87.5,5,56.7,0,0,,36,33,91.7,0,10,10,100.0,36,29,80.6,12,11,91.7
Michael Badgley,39417,K,LAC,16,0,6,2,33.3,13,8,61.5,27,41.3,0,0,,39,36,92.3,0,6,6,100.0,33,24,72.7,8,8,100.0
Matthew Wright,39675,K,PIT,3,0,0,0,,2,2,100.0,25,72.0,0,0,,7,7,100.0,0,1,1,100.0,4,4,100.0,1,1,100.0
Samuel Sloman,44982,K,TEN,8,0,1,0,0.0,3,2,66.7,31,52.6,0,0,,26,23,88.5,0,6,6,100.0,13,10,76.9,3,2,66.7
Matt Gay,57643,K,LA,9,0,1,1,100.0,8,7,87.5,26,70.9,0,0,,20,20,100.0,0,9,8,88.9,20,18,90.0,2,2,100.0
Jamie Gillan,63303,P,CLV,1,0,1,0,0.0,0,0,,8,58.8,0,0,,0,0,,0,0,0,,1,0,0.0,0,0,
Taylor Russolino,101280,K,DEN,1,0,1,0,0.0,0,0,,10,27.6,0,0,,3,1,33.3,0,0,0,,1,0,0.0,0,0,
