player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Stefon Diggs,9579,WR,BUF,19,193,0,4,11.1,13,73.6,55.6,5,9,8.2,6,0.32,45,0,63.4,91.1,1,55,0.0,0,306,54.1,67,91.2,279,123.7,91,32.6,6,937,309,4.6,14.0,3.36,0,11.5,7,79.6,60.0,9,15,5.1,4,0.23,41,0,71.0,82.7,1,49,0.0,0,432,58.7,74,95.8,414,105.0,93,22.5,1,875,221,3.0,11.8,2.11
Travis Kelce,7844,TE,KC,18,178,0,16,8.8,4,68.0,22.2,2,9,2.9,1,0.42,26,0,79.9,90.5,0,45,7.1,17,239,53.6,34,85.8,205,125.2,50,24.4,4,477,229,6.7,14.0,2.33,0,9.1,12,81.0,40.0,4,10,3.1,3,0.25,65,1,88.9,93.6,3,33,7.1,34,477,56.8,94,88.5,422,115.2,116,27.5,5,1251,488,5.2,13.3,2.96
Davante Adams,8688,WR,GB,16,170,0,12,7.7,3,81.5,50.0,6,12,1.9,1,0.32,43,0,87.6,94.5,1,56,0.0,0,175,56.0,53,94.9,166,141.2,65,39.2,12,645,311,5.9,12.2,3.89,0,9.7,2,76.6,46.2,6,13,1.4,1,0.31,35,1,87.3,80.4,2,49,0.0,0,364,53.9,72,94.8,345,107.0,94,27.2,4,808,322,4.5,11.2,2.34
Tyreek Hill,10799,WR,KC,18,162,0,16,14.5,6,66.7,62.5,5,8,10.5,4,0.46,32,0,53.7,90.6,1,71,0.4,1,230,55.2,34,91.7,211,139.5,51,24.2,8,617,266,7.8,18.1,2.92,0,12.2,15,69.4,40.0,4,10,9.3,7,0.28,36,0,58.0,76.2,1,75,0.0,0,471,58.2,68,95.5,450,108.0,98,21.8,4,911,308,4.5,13.4,2.02
Allen Robinson II,8696,WR,CHI,17,157,0,6,9.6,6,62.9,37.9,11,29,2.2,1,-0.04,29,0,84.0,90.1,2,35,0.0,0,215,43.5,44,96.3,207,93.9,70,33.8,4,543,155,3.5,12.3,2.62,0,10.2,6,75.9,57.9,11,19,0.0,0,-0.05,37,0,90.8,81.5,3,42,0.3,1,385,47.9,60,97.9,377,91.1,79,21.0,1,708,184,3.1,11.8,1.88
Diontae Johnson,33441,WR,PIT,16,155,0,25,7.2,5,66.1,50.0,3,6,13.3,6,0.1,23,0,41.3,72.2,1,28,0.0,0,212,47.9,39,91.5,194,108.7,59,30.4,6,349,132,3.4,8.9,1.8,0,10.1,8,64.8,40.0,2,5,11.9,8,0.08,30,1,46.5,68.9,2,47,0.0,0,365,46.9,59,96.4,352,82.3,91,25.9,1,691,299,5.1,11.7,1.96
DeAndre Hopkins,7808,WR,ARZ,16,154,0,1,8.0,3,76.5,62.5,5,8,0.0,0,0.09,20,0,86.1,90.0,2,60,0.0,0,138,52.9,26,86.2,119,116.7,34,28.6,3,375,195,7.5,14.4,3.15,0,9.0,17,76.6,46.7,7,15,1.2,1,0.04,52,2,90.8,83.5,0,45,0.0,0,479,49.0,85,96.7,463,105.3,111,24.0,1,971,321,3.8,11.4,2.1
JuJu Smith-Schuster,11817,WR,PIT,17,143,0,25,5.3,1,73.5,66.7,8,12,5.3,2,0.16,23,1,73.7,71.0,1,26,0.0,0,261,49.2,36,90.4,236,116.8,49,20.8,6,264,140,3.9,7.3,1.12,0,7.2,4,77.8,36.8,7,19,1.4,1,0.04,28,1,90.3,66.9,4,33,0.2,1,450,45.6,70,95.8,431,86.2,90,20.9,2,662,280,4.0,9.5,1.54
Darren Waller,9637,TE,LV,16,140,0,23,8.8,6,67.3,75.0,9,12,0.0,0,0.02,28,1,89.7,93.4,1,38,12.1,24,199,43.1,35,80.9,161,104.8,52,32.3,2,522,259,7.4,14.9,3.24,0,7.5,3,82.3,66.7,8,12,3.0,2,0.14,35,1,84.6,78.4,2,35,10.3,39,379,53.6,65,85.0,322,97.9,79,24.5,2,632,326,5.0,9.7,1.96
Keenan Allen,7857,WR,LAC,14,138,0,27,7.7,3,67.3,69.2,9,13,2.9,1,0.05,24,1,70.8,82.2,2,26,0.0,0,193,41.1,33,93.3,180,83.6,49,27.2,2,339,128,3.9,10.3,1.88,0,7.0,8,75.6,43.8,7,16,1.6,1,0.12,32,1,90.0,80.8,3,27,0.6,2,324,49.4,62,96.0,311,96.2,82,26.4,4,593,291,4.7,9.6,1.91
