player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Joe Thuney,10712,G,KC,20,2,16,90.5,2,14,898,100.0,100.0,99.0,5,17,1,956,956,82.9,1,12,369,100.0,100.0,98.0,14,1,406,406
Creed Humphrey,59996,C,KC,20,2,16,79.8,1,8,898,100.0,100.0,99.2,4,12,3,956,956,74.2,0,5,369,100.0,100.0,98.8,7,2,406,406
Trey Smith,62960,G,KC,20,1,16,61.5,10,42,898,100.0,100.0,96.5,5,57,5,956,956,46.9,4,34,369,100.0,100.0,93.8,42,4,406,406
Orlando Brown Jr.,46227,T,KC,19,3,16,74.4,13,26,861,100.0,100.0,97.0,5,45,6,916,916,63.8,9,17,351,100.0,100.0,94.9,31,5,387,387
Alex Cappa,66578,G,TB,19,0,30,67.5,7,23,860,100.0,100.0,97.7,0,35,5,896,896,52.6,3,23,381,100.0,100.0,95.5,30,4,398,398
Ryan Jensen,7985,C,TB,19,2,30,61.8,5,18,852,100.0,100.0,98.2,4,27,4,886,886,46.6,3,15,377,100.0,100.0,96.6,22,4,394,394
Donovan Smith,9467,T,TB,19,2,30,80.1,4,35,850,100.0,100.0,97.2,4,43,4,884,884,66.3,4,29,376,100.0,100.0,95.1,35,2,393,393
Mitch Morse,9482,C,BUF,19,1,4,74.1,2,22,800,100.0,100.0,98.2,4,26,2,851,851,63.6,1,16,339,100.0,100.0,96.9,19,2,363,363
Daryl Williams,9535,G,BUF,19,0,4,72.3,9,31,800,100.0,100.0,97.0,3,44,4,850,850,62.3,5,22,338,100.0,100.0,95.1,30,3,361,361
David Edwards,35941,G,LA,21,1,26,70.7,4,30,799,100.0,100.0,97.0,1,41,7,838,838,60.7,4,22,376,100.0,100.0,94.9,32,6,398,398
Austin Corbett,46290,G,LA,21,0,26,63.1,10,28,798,100.0,100.0,97.2,3,41,3,838,838,51.5,8,20,375,100.0,100.0,95.5,31,3,397,397
Tyler Biadasz,41178,C,DAL,18,0,9,70.9,4,17,755,100.0,100.0,98.5,1,22,1,819,819,59.8,3,13,333,100.0,100.0,97.3,17,1,368,368
Ali Marpet,9494,G,TB,18,0,30,75.6,2,20,784,100.0,100.0,98.2,1,25,3,812,812,65.6,1,17,345,100.0,100.0,96.5,21,3,358,358
Jonah Williams,41651,T,CIN,20,0,7,67.5,7,34,762,100.0,100.0,96.0,2,51,10,808,808,60.9,6,26,351,100.0,100.0,93.7,38,6,376,376
