player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Cooper Kupp,11824,WR,LA,21,230,0,26,0,-2.4,7,96.0,,0,0,0.0,0,0.02,10,0,93.7,91.4,0,43,0.0,0,86,48.1,24,94.2,81,116.7,25,30.9,1,220,278,11.6,9.2,2.72,8.4,21,81.3,47.1,8,17,4.9,6,0.31,69,1,90.7,94.5,1,59,1.5,8,545,52.5,117,93.8,511,140.2,144,28.2,12,1680,771,6.6,14.4,3.29
Tyreek Hill,10799,WR,KC,20,182,0,16,0,-1.8,4,100.0,,0,0,0.0,0,0.42,6,1,92.8,64.2,0,19,0.0,0,86,63.1,17,97.7,84,89.5,17,20.2,0,93,124,7.3,5.5,1.11,10.6,7,78.7,25.0,3,12,2.6,2,0.19,45,2,80.6,88.4,1,75,0.0,0,407,50.4,74,94.1,383,122.8,94,24.5,7,807,274,3.7,10.9,2.11
Davante Adams,8688,WR,GB,17,177,0,12,0,0.0,4,100.0,,0,0,0.0,0,0.28,11,0,93.8,92.2,0,15,0.0,0,78,58.4,26,98.7,77,94.4,26,33.8,0,173,172,6.6,6.7,2.25,7.1,7,78.2,53.8,7,13,0.0,0,0.17,36,0,91.3,92.8,2,43,0.0,0,204,47.9,61,93.1,190,121.4,78,41.1,7,664,323,5.3,10.9,3.49
Diontae Johnson,33441,WR,PIT,17,176,0,25,0,-2.4,2,93.3,,0,0,0.0,0,-0.17,6,0,92.7,67.3,0,14,0.0,0,62,34.5,14,93.5,58,86.9,15,25.9,0,73,106,7.6,5.2,1.26,3.1,1,83.3,,0,0,0.0,0,-0.22,6,0,64.6,71.7,0,14,0.0,0,49,32.6,10,93.9,46,83.7,12,26.1,0,49,46,4.6,4.9,1.07
Stefon Diggs,9579,WR,BUF,19,168,0,4,0,-2.0,2,91.7,,0,0,8.3,1,0.14,4,1,61.5,55.5,0,12,0.0,0,62,47.5,11,98.4,61,88.9,12,19.7,0,64,87,7.9,5.8,1.05,11.8,2,63.0,66.7,2,3,10.5,2,0.08,10,1,79.4,82.6,1,61,0.0,0,156,46.3,17,94.2,147,98.4,27,18.4,2,224,73,4.3,13.2,1.52
Justin Jefferson,61398,WR,MIN,17,163,0,18,0,-1.9,3,81.3,0.0,0,1,13.3,2,-0.12,1,1,29.7,42.8,0,17,0.0,0,67,43.1,13,95.5,64,86.5,16,25.0,0,76,98,7.5,5.8,1.19,11.9,3,69.0,20.0,1,5,9.4,3,-0.04,21,0,78.7,91.1,1,56,0.0,0,205,42.3,29,94.1,193,107.3,42,21.8,2,421,146,5.0,14.5,2.18
Ja'Marr Chase,84270,WR,CIN,21,158,0,7,0,-1.7,6,93.3,,0,0,0.0,0,-0.14,4,0,92.4,72.0,1,24,0.0,0,65,35.4,14,100.0,65,68.6,15,23.1,0,107,129,9.2,7.6,1.65,7.3,4,85.2,60.0,3,5,8.0,2,0.02,11,1,43.0,89.2,1,72,0.0,0,145,47.9,23,96.6,140,128.0,27,19.3,2,348,221,9.6,15.1,2.49
Travis Kelce,7844,TE,KC,19,158,0,16,0,-1.7,1,100.0,,0,0,0.0,0,0.45,6,0,92.1,74.5,0,12,2.3,2,87,65.9,11,95.4,83,120.1,11,13.3,1,61,80,7.3,5.5,0.73,8.6,11,72.6,85.7,6,7,10.2,6,0.23,38,1,74.9,89.9,2,69,0.5,2,368,52.2,53,93.2,343,129.9,73,21.3,8,739,308,5.8,13.9,2.15
DJ Moore,48267,WR,CAR,17,156,0,5,0,-1.5,1,88.2,,0,0,0.0,0,-0.2,5,0,76.0,62.5,0,16,0.0,0,74,34.7,15,97.3,72,86.3,17,23.6,0,80,101,6.7,5.3,1.11,7.2,0,65.7,12.5,1,8,0.0,0,-0.31,12,0,55.0,78.7,1,20,0.8,1,120,38.1,23,97.5,117,69.3,35,29.9,0,205,104,4.5,8.9,1.75
Keenan Allen,7857,WR,LAC,16,150,0,27,0,-1.6,0,100.0,,0,0,0.0,0,-0.05,1,0,91.6,55.6,0,7,0.0,0,42,31.7,9,97.6,41,79.2,9,22.0,0,26,40,4.4,2.9,0.63,9.0,2,75.3,55.6,5,9,4.9,3,0.14,36,1,63.0,77.5,2,37,0.0,0,431,50.1,58,94.9,409,100.0,77,18.8,3,610,178,3.1,10.5,1.49
