player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Mykal Walker,57834,LB,ATL,3,7,,7.0,2,0,39.6,0,1,0,0,0,0.0
Khari Willis,51304,S,IND,9,30,,10.0,14,0,39.6,0,3,0,0,0,0.0
Terrance Mitchell,8888,CB,HST,7,10,,10.0,13,0,39.6,0,1,0,0,0,0.0
Anthony Nelson,48405,ED,TB,6,4,,4.0,30,0,39.6,0,1,0,0,0,0.0
Marcus Allen,49263,LB,PIT,3,6,,6.0,25,0,39.6,0,1,0,0,0,0.0
Breon Borders,39398,CB,ARZ,3,6,,6.0,1,0,39.6,0,1,0,0,0,0.0
Jason McCourty,5127,S,MIA,6,22,,11.0,17,0,39.6,0,2,0,0,0,0.0
Markus Golden,9491,ED,ARZ,7,12,,12.0,1,0,39.6,0,1,0,0,0,0.0
Anthony Chesley,54369,CB,IND,3,7,,7.0,14,0,39.6,0,1,0,0,0,0.0
Karl Joseph,10648,S,PIT,1,6,,6.0,25,0,39.6,0,1,0,0,0,0.0
Terrence Brooks,8714,S,HST,5,6,,6.0,13,0,39.6,0,1,0,0,0,0.0
Robert Jackson,28990,CB,BLT,1,4,,4.0,3,0,39.6,0,1,0,0,0,0.0
Robert Quinn,6166,ED,CHI,8,9,,9.0,6,0,39.6,0,1,0,0,0,0.0
Ogbo Okoronkwo,50130,ED,LA,2,2,,2.0,26,0,39.6,0,1,0,0,0,0.0
Tre Brown,55677,CB,SEA,2,4,,4.0,29,0,39.6,0,1,0,0,0,0.0
Matthias Farley,10953,S,TEN,2,4,,4.0,31,0,39.6,0,1,0,0,0,0.0
Jaycee Horn,83375,CB,CAR,3,28,,14.0,5,1,0.0,0,2,0,0,0,0.0
Greedy Williams,43254,CB,CLV,3,6,,3.0,8,0,39.6,0,2,0,0,0,0.0
Jermaine Carter,28838,LB,CAR,8,20,,20.0,5,0,39.6,0,1,0,0,0,0.0
Damar Hamlin,43291,S,BUF,4,7,,3.5,4,0,39.6,0,2,0,0,0,0.0
Sharrod Neasman,11050,S,NYJ,4,18,,18.0,22,0,39.6,0,1,0,0,0,0.0
Rashaan Melvin,8334,CB,CAR,6,13,,13.0,5,0,39.6,0,1,0,0,0,0.0
Zaven Collins,77190,LB,ARZ,3,5,,2.5,1,0,39.6,0,2,0,0,0,0.0
Janoris Jenkins,7043,CB,TEN,12,27,,9.0,31,0,39.6,0,3,0,0,0,0.0
Ifeatu Melifonwu,56203,CB,DET,2,4,,4.0,11,0,39.6,0,1,0,0,0,0.0
Teez Tabor,11808,S,CHI,2,3,,3.0,6,0,39.6,0,1,0,0,0,0.0
JaCoby Stevens,61402,LB,PHI,1,1,,1.0,24,0,39.6,0,1,0,0,0,0.0
Jaylinn Hawkins,51423,S,ATL,12,55,55.0,27.5,2,0,135.4,1,2,1,27,17,0.49
Devin McCourty,5552,S,NE,14,43,43.0,10.8,19,0,40.6,1,4,0,13,3,0.3
Sean Chandler,51315,S,CAR,13,42,42.0,42.0,5,0,104.2,1,1,0,9,5,0.21
K.J. Wright,6251,LB,LV,15,37,37.0,37.0,23,0,95.8,1,1,0,7,15,0.19
Budda Baker,11791,S,ARZ,17,67,33.5,16.8,1,0,78.1,2,4,0,33,4,0.49
Juston Burris,10752,S,CAR,9,60,30.0,20.0,5,0,99.3,2,3,0,30,12,0.5
Tracy Walker III,51266,S,DET,15,57,28.5,14.3,11,0,84.4,2,4,0,39,22,0.68
Dean Marlowe,9966,S,DET,10,57,28.5,14.3,11,0,56.3,2,4,0,10,7,0.18
Damontae Kazee,11904,S,DAL,11,26,26.0,13.0,9,0,77.1,1,2,0,16,8,0.62
Tre'von Moehrig,77847,S,LV,11,25,25.0,12.5,23,0,58.3,1,2,0,7,1,0.28
Jordan Poyer,8000,S,BUF,18,72,24.0,10.3,4,1,10.7,3,7,0,12,9,0.17
Cameron Dantzler,42472,CB,MIN,9,24,24.0,4.8,18,1,0.0,1,5,0,2,0,0.08
Alec Ogletree,7811,LB,CHI,10,24,24.0,8.0,6,0,54.9,1,3,0,18,0,0.75
