player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Tyreek Hill,10799,WR,MIA,1,14,0,17,0,-1.5,0,100.0,,0,0,0.0,0,-0.24,0,0,84.5,64.1,0,10,0.0,0,3,33.3,2,100.0,3,83.3,2,66.7,0,8,11,5.5,4.0,2.67,11.8,0,100.0,100.0,1,1,0.0,0,1.38,4,0,70.5,90.4,0,36,0.0,0,14,76.9,6,92.9,13,118.8,6,46.2,0,89,18,3.0,14.8,6.85
DeAndre Hopkins,7808,WR,ARZ,1,13,0,1,0,,0,,,0,0,,0,0.13,0,0,,44.4,0,0,0.0,0,13,50.0,0,76.9,10,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.28,0,0,82.2,79.5,0,0,0.0,0,9,55.6,0,100.0,9,0.0,0,0.0,0,0,0,,,0.0
DJ Moore,48267,WR,CAR,1,11,0,5,0,0.0,1,100.0,,0,0,0.0,0,-1.0,0,0,78.7,48.4,0,5,0.0,0,10,22.2,1,90.0,9,87.5,1,11.1,0,5,5,5.0,5.0,0.56,12.3,1,66.7,0.0,0,1,0.0,0,0.06,1,0,54.5,79.1,0,29,0.0,0,17,28.6,2,82.4,14,104.9,3,21.4,0,34,24,12.0,17.0,2.43
Tyler Conklin,47124,TE,NYJ,1,11,0,22,0,,0,,,0,0,,0,0.75,0,0,,36.1,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,20.6,1,60.0,,0,0,0.0,0,0.1,3,0,78.0,92.9,0,27,0.0,0,8,50.0,3,100.0,8,135.0,5,62.5,1,52,17,5.7,17.3,6.5
Mike Evans,8642,WR,TB,1,11,0,30,0,-1.0,0,0.0,,0,0,,0,0.07,0,0,,45.7,0,0,0.0,0,6,50.0,0,100.0,6,39.6,1,16.7,0,0,0,,,0.0,21.8,0,50.0,,0,0,0.0,0,-0.2,2,0,78.0,66.8,0,28,0.0,0,15,35.7,2,93.3,14,95.8,4,28.6,0,51,7,3.5,25.5,3.64
Jakobi Meyers,47468,WR,NE,1,11,0,19,0,-1.0,1,100.0,,0,0,0.0,0,0.18,1,0,88.7,92.5,0,13,0.0,0,8,37.5,3,100.0,8,100.0,3,37.5,0,24,27,9.0,8.0,3.0,2.9,1,100.0,,0,0,0.0,0,0.14,4,0,81.1,76.1,0,16,0.0,0,33,50.0,7,97.0,32,140.8,7,21.9,1,58,38,5.4,8.3,1.81
Cooper Kupp,11824,WR,LA,1,11,0,26,0,-0.5,0,100.0,,0,0,0.0,0,0.08,2,0,84.5,91.3,0,6,11.1,1,9,66.7,2,88.9,8,85.4,2,25.0,0,9,10,5.0,4.5,1.13,6.3,0,83.3,0.0,0,1,0.0,0,0.06,3,0,80.0,78.1,0,16,0.0,0,27,56.0,5,92.6,25,128.5,6,24.0,1,32,15,3.0,6.4,1.28
D.K. Metcalf,47864,WR,SEA,1,10,0,29,0,,0,,,0,0,,0,0.33,0,0,,52.3,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,26.5,0,0.0,0.0,0,1,,0,-0.71,0,0,76.5,78.8,0,0,0.0,0,6,33.3,0,100.0,6,39.6,2,33.3,0,0,0,,,0.0
A.J. Brown,48327,WR,PHI,1,10,0,24,0,,0,,,0,0,,0,-0.5,0,0,,49.0,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,43.0,0,100.0,100.0,1,1,0.0,0,0.86,1,0,77.3,94.0,0,39,0.0,0,9,50.0,1,88.9,8,158.3,1,12.5,1,39,0,0.0,39.0,4.88
Terrace Marshall Jr.,84271,WR,CAR,1,9,0,5,0,-2.0,0,100.0,,0,0,0.0,0,-1.0,1,0,78.7,69.4,0,8,0.0,0,10,22.2,1,90.0,9,100.0,1,11.1,0,8,10,10.0,8.0,0.89,,0,,,0,0,,0,-0.66,0,0,73.4,76.1,0,0,0.0,0,3,0.0,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
