player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Tyreek Hill,10799,WR,MIA,1,15,0,17,0,-3.0,0,100.0,,0,0,0.0,0,-0.59,0,0,84.5,63.8,0,4,0.0,0,2,0.0,2,100.0,2,79.2,2,100.0,0,-1,5,2.5,-0.5,-0.5,13.2,0,83.3,,0,0,16.7,1,1.23,4,0,60.3,94.2,0,47,0.0,0,14,64.3,5,100.0,14,118.8,6,42.9,0,104,32,6.4,20.8,7.43
Puka Nacua,100632,WR,LA,1,14,0,26,0,1.0,0,100.0,,0,0,0.0,0,-0.01,0,0,78.7,60.1,0,1,0.0,0,2,50.0,1,100.0,2,79.2,1,50.0,0,1,0,0.0,1.0,0.5,2.0,0,100.0,,0,0,0.0,0,0.69,0,0,32.2,81.5,0,16,0.0,0,11,44.4,2,81.8,9,102.1,2,22.2,0,17,13,6.5,8.5,1.89
Stefon Diggs,9579,WR,BUF,1,13,0,4,0,-1.0,0,100.0,,0,0,0.0,0,-0.17,0,0,78.7,54.6,0,3,0.0,0,4,25.0,1,100.0,4,79.2,1,25.0,0,3,4,4.0,3.0,0.75,18.0,0,50.0,,0,0,0.0,0,-0.03,2,0,84.9,79.2,1,15,0.0,0,22,54.5,2,100.0,22,64.6,4,18.2,1,20,3,1.5,10.0,0.91
DeAndre Hopkins,7808,WR,TEN,1,12,0,31,0,,0,,,0,0,,0,-0.01,0,0,,49.6,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,6.2,0,80.0,0.0,0,1,0.0,0,-0.41,1,0,48.3,65.6,0,12,0.0,0,15,25.0,4,80.0,12,87.5,5,41.7,0,25,1,0.3,6.3,2.08
Justin Jefferson,61398,WR,MIN,1,11,0,18,0,,0,,,0,0,,0,0.11,0,0,,50.0,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,10.3,0,66.7,,0,0,0.0,0,0.81,1,0,78.7,79.6,0,30,0.0,0,12,54.5,2,91.7,11,109.0,3,27.3,0,37,13,6.5,18.5,3.36
Kendrick Bourne,12270,WR,NE,1,11,0,19,0,-3.0,0,100.0,,0,0,0.0,0,-0.74,0,0,78.7,48.2,0,1,0.0,0,12,25.0,1,100.0,12,79.2,1,8.3,0,1,4,4.0,1.0,0.08,6.5,0,0.0,0.0,0,1,,0,-1.61,0,0,79.4,67.9,1,0,0.0,0,14,28.6,0,100.0,14,0.0,2,14.3,0,0,0,,,0.0
Nico Collins,61441,WR,HST,1,11,0,13,0,,0,,,0,0,,0,-0.33,0,0,,48.1,0,0,0.0,0,7,28.6,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,14.0,0,50.0,,0,0,0.0,0,-0.14,1,0,76.5,62.9,0,14,0.0,0,10,40.0,1,100.0,10,72.9,2,20.0,0,14,5,5.0,14.0,1.4
Calvin Ridley,48262,WR,JAX,1,11,0,15,0,-2.0,1,100.0,,0,0,0.0,0,-0.69,0,0,84.5,55.2,0,5,0.0,0,6,50.0,2,100.0,6,83.3,2,33.3,0,8,12,6.0,4.0,1.33,17.0,0,100.0,,0,0,0.0,0,1.2,1,0,78.7,73.6,0,9,0.0,0,5,80.0,1,100.0,5,143.8,1,20.0,1,9,0,0.0,9.0,1.8
Zach Ertz,7816,TE,ARZ,1,10,0,1,0,-5.0,0,100.0,,0,0,0.0,0,-0.54,0,0,78.7,47.9,0,-3,0.0,0,7,14.3,1,100.0,7,79.2,1,14.3,0,-3,2,2.0,-3.0,-0.43,4.3,0,75.0,,0,0,25.0,1,-0.52,0,0,43.5,49.2,0,6,5.0,1,20,33.3,3,90.0,18,80.2,4,22.2,0,15,6,2.0,5.0,0.83
Chris Olave,84355,WR,NO,1,10,0,20,0,-3.0,0,100.0,,0,0,0.0,0,-0.21,0,0,84.5,60.4,0,6,0.0,0,3,33.3,2,100.0,3,83.3,2,66.7,0,8,14,7.0,4.0,2.67,17.3,0,75.0,0.0,0,1,0.0,0,0.36,2,0,79.4,84.9,0,15,0.0,0,14,53.8,3,92.9,13,93.8,4,30.8,0,28,12,4.0,9.3,2.15
DeVonta Smith,61100,WR,PHI,1,10,0,24,0,-1.0,0,100.0,,0,0,0.0,0,-0.8,0,0,78.7,59.2,0,2,0.0,0,2,0.0,1,50.0,1,79.2,1,100.0,0,2,3,3.0,2.0,2.0,5.3,0,100.0,,0,0,0.0,0,-0.31,1,0,78.7,66.1,0,5,0.0,0,9,25.0,3,88.9,8,120.1,3,37.5,1,10,-3,-1.0,3.3,1.25
Zay Flowers,97268,WR,BLT,1,10,0,3,0,-3.0,2,100.0,,0,0,0.0,0,-0.67,2,0,90.6,91.2,0,17,0.0,0,8,37.5,5,100.0,8,81.7,5,62.5,0,18,33,6.6,3.6,2.25,2.8,0,100.0,,0,0,0.0,0,-0.1,1,0,79.4,78.1,0,21,0.0,0,14,41.7,4,85.7,12,87.5,4,33.3,0,20,9,2.3,5.0,1.67
Robert Woods,7822,WR,HST,1,10,0,13,0,-1.5,0,50.0,,0,0,50.0,1,-0.56,0,0,24.1,28.8,0,6,0.0,0,5,0.0,1,100.0,5,56.3,2,40.0,0,6,8,8.0,6.0,1.2,5.3,0,100.0,,0,0,0.0,0,-0.09,2,0,29.8,68.9,0,13,0.0,0,9,55.6,4,100.0,9,101.0,4,44.4,0,33,12,3.0,8.3,3.67
