player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Amon-Ra St. Brown,84470,WR,DET,1,13,0,11,8.9,0,42.9,100.0,1,1,0.0,0,0.14,3,0,70.5,81.0,0,11,0.0,0,17,43.8,3,94.1,16,92.3,7,43.8,1,25,10,3.3,8.3,1.56,0,6.4,0,80.0,,0,0,20.0,1,0.25,2,0,41.6,69.4,0,16,0.0,0,26,60.0,4,96.2,25,105.8,5,20.0,0,47,25,6.3,11.8,1.88
Mike Evans,8642,WR,TB,1,12,0,30,18.2,0,80.0,100.0,1,1,0.0,0,0.84,3,0,72.1,81.8,0,29,0.0,0,15,58.3,4,80.0,12,118.8,5,41.7,0,76,11,2.8,19.0,6.33,0,11.5,0,50.0,50.0,1,2,40.0,2,-0.13,2,0,28.0,59.6,1,23,0.0,0,21,40.0,3,95.2,20,74.3,6,30.0,1,44,2,0.7,14.7,2.2
Christian McCaffrey,11763,HB,SF,1,12,0,28,,0,,,0,0,,0,0.87,0,0,,56.8,0,0,20.0,1,5,60.0,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,0,0.2,2,60.0,,0,0,0.0,0,-0.01,0,0,74.6,60.8,0,8,3.2,1,31,48.4,6,96.8,30,64.6,10,33.3,0,21,24,4.0,3.5,0.7
Sam LaPorta,101690,TE,DET,1,11,0,11,-0.5,0,100.0,,0,0,0.0,0,0.26,1,0,68.3,63.7,0,7,13.3,2,15,50.0,2,80.0,12,85.4,2,16.7,0,9,10,5.0,4.5,0.75,0,5.0,1,100.0,100.0,1,1,0.0,0,0.23,4,0,75.6,78.7,0,15,12.5,3,24,60.9,7,83.3,20,100.0,7,35.0,0,56,21,3.0,8.0,2.8
Nico Collins,61441,WR,HST,1,10,0,13,4.0,0,0.0,0.0,0,1,,0,-0.76,0,0,,55.1,0,0,0.0,0,7,33.3,0,85.7,6,39.6,1,16.7,0,0,0,,,0.0,0,8.2,1,55.6,0.0,0,2,0.0,0,-0.04,4,0,73.4,84.1,0,29,0.0,0,22,33.3,5,95.5,21,79.9,9,42.9,0,68,47,9.4,13.6,3.24
Cade Otton,61071,TE,TB,1,8,0,30,4.5,0,100.0,,0,0,0.0,0,0.84,2,0,68.3,72.5,0,9,6.7,1,15,58.3,2,73.3,11,129.2,2,18.2,1,11,8,4.0,5.5,1.0,0,11.0,0,75.0,50.0,1,2,0.0,0,0.02,3,0,70.5,81.7,0,27,0.0,0,25,45.8,3,96.0,24,116.7,4,16.7,0,54,19,6.3,18.0,2.25
Khalil Shakir,84140,WR,BUF,1,8,0,4,-2.5,0,100.0,,0,0,0.0,0,0.96,1,0,68.3,56.9,0,6,0.0,0,7,100.0,2,100.0,7,89.6,2,28.6,0,11,16,8.0,5.5,1.57,0,5.5,0,75.0,,0,0,0.0,0,0.06,1,0,70.5,67.3,0,13,0.0,0,18,44.4,3,100.0,18,122.9,4,22.2,1,18,3,1.0,6.0,1.0
Chris Godwin,11839,WR,TB,1,7,0,30,7.0,0,0.0,,0,0,,0,0.84,0,0,,51.3,0,0,0.0,0,15,58.3,0,80.0,12,39.6,1,8.3,0,0,0,,,0.0,0,7.3,0,75.0,,0,0,0.0,0,-0.18,2,0,70.5,67.1,0,17,0.0,0,22,38.1,3,95.5,21,94.8,4,19.0,0,29,8,2.7,9.7,1.38
Dalton Schultz,47304,TE,HST,1,7,0,13,13.8,0,50.0,,0,0,33.3,1,-0.68,2,0,29.9,70.9,0,21,0.0,0,7,33.3,2,85.7,6,72.9,4,66.7,0,28,0,0.0,14.0,4.67,0,2.0,0,100.0,,0,0,0.0,0,0.11,0,0,68.3,53.5,0,5,19.0,4,21,35.0,2,76.2,16,79.2,2,12.5,0,6,2,1.0,3.0,0.38
Stefon Diggs,9579,WR,BUF,1,7,0,4,,0,,,0,0,,0,0.9,0,0,,53.3,0,0,0.0,0,8,100.0,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0,0,15.5,0,50.0,,0,0,33.3,1,0.0,1,1,29.9,41.4,0,15,0.0,0,23,43.5,2,100.0,23,62.5,4,17.4,0,18,15,7.5,9.0,0.78
