player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Thomas Morstead,5088,P,NYJ,16,63,63,4.24,40.89,47.17,8.8,0,0,6,15,22,62.2,20,75,6,0,46.0,256,29,63,267.43,2576,7,2972
Bryan Anger,7072,P,DAL,17,62,62,4.41,42.0,48.47,10.3,0,0,5,20,9,76.4,25,62,1,0,53.2,341,33,62,273.42,2604,3,3005
Johnny Hekker,7252,P,CAR,17,73,73,4.11,42.47,45.73,6.8,1,0,20,20,5,53.3,24,65,4,0,35.6,178,26,74,300.32,3100,3,3338
Sam Martin,7947,P,BUF,20,60,60,4.26,40.48,46.98,10.4,1,0,8,15,4,67.8,30,65,5,0,43.3,270,26,61,255.31,2429,6,2819
Tress Way,8358,P,WAS,17,52,52,4.2,43.04,46.85,6.3,0,0,8,12,32,52.3,25,74,5,0,48.1,158,25,52,218.39,2238,2,2436
Pat O'Donnell,8826,P,SF,7,24,24,4.16,40.04,45.08,10.1,0,0,3,8,28,57.2,9,56,2,0,41.7,101,10,24,99.83,961,1,1082
Chris Boswell,8990,K,PIT,1,1,1,3.73,43.0,43.0,0.0,0,0,0,0,25,60.0,0,43,0,0,100.0,0,1,1,3.73,43,0,43
Michael Palardy,9277,P,ARZ,4,13,13,4.12,39.08,43.0,6.2,0,0,1,5,1,48.6,2,54,1,0,38.5,31,5,13,53.55,508,1,559
Bradley Pinion,9598,P,ATL,16,47,47,4.49,38.74,46.94,13.9,0,0,4,14,2,83.0,14,65,3,0,46.8,305,22,47,211.01,1821,4,2206
Riley Dixon,10862,P,DEN,18,81,81,4.43,42.07,46.78,9.1,0,0,11,26,10,75.2,36,65,8,0,38.3,281,31,81,359.1,3408,5,3789
Rigoberto Sanchez,12130,P,IND,17,68,68,4.42,42.6,49.74,12.7,0,0,2,25,14,78.4,27,65,5,0,47.1,405,32,68,300.62,2897,4,3382
Matt Haack,12212,P,NYG,4,21,21,4.29,39.48,47.05,15.4,0,0,0,9,21,61.7,9,66,2,0,42.9,139,9,21,90.11,829,1,988
Cameron Johnston,12255,P,PIT,1,2,2,4.65,37.5,51.5,28.0,0,0,0,1,25,61.6,1,58,0,0,50.0,28,1,2,9.3,75,0,103
Corey Bojorquez,27626,P,CLV,17,89,89,4.38,41.74,49.29,13.3,0,0,11,17,8,83.7,38,84,14,0,44.9,532,40,89,389.52,3715,7,4387
Logan Cooke,29214,P,JAX,17,68,68,4.33,44.76,49.34,9.0,0,0,1,19,15,90.2,36,73,17,0,41.2,251,28,68,294.72,3044,3,3355
