player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Cooper Kupp,11824,WR,LA,1,21,0,26,0,-2.0,1,100.0,,0,0,0.0,0,0.19,1,0,84.5,91.5,0,13,0.0,0,3,33.3,2,100.0,3,89.6,2,66.7,0,11,15,7.5,5.5,3.67,7.0,1,78.6,33.3,1,3,0.0,0,-0.06,5,0,73.5,84.7,0,21,0.0,0,38,41.7,11,94.7,36,118.5,14,38.9,1,94,27,2.5,8.5,2.61
Isaiah Likely,83955,TE,BLT,1,12,0,3,0,-4.0,1,100.0,,0,0,0.0,0,-0.14,1,0,78.7,90.5,0,4,0.0,0,5,60.0,1,100.0,5,83.3,1,20.0,0,4,8,8.0,4.0,0.8,14.3,2,57.1,0.0,0,1,0.0,0,0.22,3,0,79.4,90.8,0,49,0.0,0,16,43.8,4,100.0,16,131.5,7,43.8,1,71,45,11.3,17.8,4.44
Tyreek Hill,10799,WR,MIA,1,12,0,17,0,-3.0,0,100.0,,0,0,0.0,0,0.17,0,0,78.7,49.7,0,10,0.0,0,9,55.6,1,100.0,9,108.3,1,11.1,0,10,13,13.0,10.0,1.11,15.8,2,50.0,100.0,1,1,0.0,0,0.17,2,0,78.7,81.9,0,21,0.0,0,17,56.3,3,94.1,16,72.2,6,37.5,0,41,17,5.7,13.7,2.56
Courtland Sutton,48164,WR,DEN,1,11,0,10,0,,0,,,0,0,,0,-0.46,0,0,,46.7,0,0,0.0,0,8,12.5,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0,12.0,0,50.0,,0,0,0.0,0,-0.36,0,0,46.3,53.0,1,4,0.0,0,7,28.6,1,100.0,7,16.7,2,28.6,0,4,2,2.0,4.0,0.57
Wan'Dale Robinson,101735,WR,NYG,1,11,0,21,0,-5.0,0,0.0,,0,0,,0,-0.96,0,0,,79.5,1,0,0.0,0,7,42.9,0,100.0,7,0.0,1,14.3,0,0,0,,,0.0,6.3,1,75.0,66.7,2,3,0.0,0,-0.25,2,0,80.0,77.0,0,15,0.0,0,33,34.4,6,97.0,32,87.5,8,25.0,0,44,10,1.7,7.3,1.38
Garrett Wilson,97405,WR,NYJ,1,11,0,22,0,-2.5,1,100.0,,0,0,0.0,0,-0.52,0,0,84.5,86.1,0,8,0.0,0,5,80.0,2,100.0,5,95.8,2,40.0,0,14,19,9.5,7.0,2.8,8.0,1,100.0,100.0,1,1,0.0,0,0.31,2,0,80.0,75.3,0,16,0.0,0,8,57.1,3,87.5,7,118.8,3,42.9,0,38,14,4.7,12.7,5.43
A.J. Brown,48327,WR,PHI,1,9,0,24,0,,0,,,0,0,,0,-0.03,0,0,,48.5,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,13.0,0,50.0,,0,0,0.0,0,0.17,1,0,78.7,90.1,1,11,0.0,0,13,58.3,1,92.3,12,27.1,2,16.7,0,11,3,3.0,11.0,0.92
Rashee Rice,97605,WR,KC,1,9,0,16,0,-3.0,0,100.0,,0,0,0.0,0,-0.92,0,0,78.7,63.8,0,1,0.0,0,1,0.0,1,100.0,1,79.2,1,100.0,0,1,4,4.0,1.0,1.0,7.2,2,66.7,,0,0,0.0,0,0.1,3,0,81.1,91.2,1,33,0.0,0,16,50.0,4,87.5,14,70.1,6,42.9,0,75,50,12.5,18.8,5.36
CeeDee Lamb,61570,WR,DAL,1,9,0,9,0,-4.0,3,100.0,,0,0,0.0,0,-0.36,0,0,84.5,90.1,0,8,0.0,0,4,25.0,2,100.0,4,89.6,2,50.0,0,11,19,9.5,5.5,2.75,10.6,3,42.9,0.0,0,4,25.0,1,-0.23,1,0,36.0,73.5,0,11,0.0,0,20,31.6,3,95.0,19,50.9,7,36.8,0,22,22,7.3,7.3,1.16
Deebo Samuel,48274,WR,SF,1,9,0,28,0,-1.0,0,100.0,,0,0,0.0,0,-0.54,0,0,78.7,61.6,0,0,0.0,0,2,0.0,1,100.0,2,79.2,1,50.0,0,0,1,1.0,0.0,0.0,11.8,1,66.7,,0,0,0.0,0,-0.02,3,0,75.6,83.0,0,25,0.0,0,9,55.6,4,100.0,9,95.1,6,66.7,0,54,34,8.5,13.5,6.0
Trey McBride,75916,TE,ARZ,1,9,0,1,0,-3.0,0,0.0,,0,0,,0,0.79,0,0,,44.9,0,0,0.0,0,2,50.0,0,100.0,2,39.6,1,50.0,0,0,0,,,0.0,4.8,0,75.0,50.0,1,2,0.0,0,0.27,0,0,76.5,54.2,0,6,0.0,0,19,52.6,3,100.0,19,80.2,4,21.1,0,15,0,0.0,5.0,0.79
Allen Lazard,48135,WR,NYJ,1,9,0,22,0,,0,,,0,0,,0,-0.52,0,0,,48.8,0,0,0.0,0,5,80.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,13.3,0,66.7,,0,0,33.3,1,0.2,2,0,43.5,78.9,0,36,0.0,0,8,42.9,2,87.5,7,149.3,3,42.9,1,50,15,7.5,25.0,7.14
Josh Reynolds,11872,WR,DEN,1,8,0,10,0,-4.0,0,100.0,,0,0,0.0,0,-0.43,0,0,78.7,52.7,0,3,0.0,0,6,16.7,1,100.0,6,79.2,1,16.7,0,3,7,7.0,3.0,0.5,4.0,0,50.0,0.0,0,1,0.0,0,-0.35,0,0,74.6,61.7,0,3,0.0,0,9,11.1,1,100.0,9,56.3,2,22.2,0,3,7,7.0,3.0,0.33
Nico Collins,61441,WR,HST,1,8,0,13,0,,0,,,0,0,,0,-0.36,0,0,,49.3,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.12,0,0,52.1,78.1,0,0,0.0,0,5,25.0,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0
