player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Abraham Lucas,60218,T,SEA,20,0,29,68.8,100.0,191,32.4,191,84.1,0,100.0,589,589,90.1,100.0,343,58.2,343
Grey Zabel,125314,G,SEA,20,1,29,56.4,100.0,192,32.7,192,61.1,4,100.0,588,588,64.0,100.0,340,57.8,340
Anthony Bradford,99103,G,SEA,20,0,29,48.3,100.0,181,32.2,181,55.5,1,100.0,562,562,59.3,100.0,327,58.2,327
O'Cyrus Torrence,102821,G,BUF,19,0,4,46.4,100.0,230,41.5,230,53.7,0,100.0,554,554,63.3,100.0,247,44.6,247
Coleman Shelton,39316,C,LA,20,0,26,66.8,100.0,244,45.4,244,77.2,1,100.0,537,537,82.1,100.0,238,44.3,238
Mike Onwenu,27357,G,NE,21,0,19,65.6,100.0,275,51.3,275,72.1,0,100.0,536,536,82.6,100.0,161,30.0,161
Garrett Bradbury,46013,C,NE,21,0,19,61.3,100.0,274,51.5,274,55.9,0,100.0,532,532,59.6,100.0,158,29.7,158
Sam Darnold,29048,QB,SEA,20,0,29,60.2,99.4,179,34.0,180,60.7,0,95.6,526,550,60.3,99.1,315,59.9,318
Drew Dalman,52270,C,CHI,19,0,6,65.2,100.0,159,30.3,159,74.0,0,100.0,524,524,79.1,100.0,315,60.1,315
Jonah Jackson,37070,G,CHI,19,1,6,63.1,100.0,157,30.2,157,72.3,2,100.0,520,520,74.5,100.0,314,60.4,314
Joe Thuney,10712,G,CHI,19,0,6,58.1,100.0,159,30.6,159,68.6,0,100.0,520,520,75.8,100.0,312,60.0,312
Alaric Jackson,40972,T,LA,19,0,26,73.4,100.0,234,45.6,234,86.1,1,100.0,513,513,88.0,100.0,230,44.8,230
Morgan Moses,8701,T,NE,21,0,19,68.6,100.0,266,51.9,266,78.7,1,100.0,513,513,90.1,100.0,157,30.6,157
Matthew Stafford,4924,QB,LA,20,0,26,60.0,99.6,243,47.8,244,60.0,0,95.1,508,534,60.0,100.0,238,46.9,238
David Edwards,35941,G,BUF,18,0,4,59.1,100.0,209,42.1,209,66.3,0,100.0,497,497,73.6,100.0,223,44.9,223
Dominick Puni,163815,G,SF,19,0,28,55.4,100.0,123,24.8,123,67.9,1,100.0,496,496,73.5,100.0,303,61.1,303
Connor McGovern,41714,C,BUF,18,0,4,71.9,100.0,208,41.9,208,68.7,1,100.0,496,496,62.1,100.0,221,44.6,221
Colton McKivitz,29314,T,SF,19,0,28,83.9,100.0,123,24.8,123,90.4,0,100.0,495,495,90.1,100.0,308,62.2,308
Darnell Wright,98480,T,CHI,18,0,6,80.9,100.0,150,30.4,150,82.7,2,100.0,493,493,82.8,100.0,300,60.9,300
Jake Andrews,81868,C,HST,18,1,13,72.3,100.0,228,46.4,228,60.0,3,100.0,491,491,57.1,100.0,202,41.1,202
Caleb Williams,144622,QB,CHI,19,0,6,60.0,96.8,153,31.9,158,60.2,0,92.6,479,517,60.2,97.7,304,63.5,311
