player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Puka Nacua,100632,WR,LA,19,200,0,26,11.5,3,71.4,68.4,13,19,5.4,2,0.3,26,0,71.4,91.8,0,44,2.6,4,152,48.6,35,93.4,142,128.7,49,34.5,4,469,161,4.6,13.4,3.3,0,9.2,22,79.4,54.5,12,22,2.9,3,0.15,59,1,90.1,95.7,1,58,1.7,6,362,54.3,100,94.8,343,123.2,126,36.7,6,1329,521,5.2,13.3,3.87
Jaxon Smith-Njigba,129758,WR,SEA,20,182,0,29,14.0,5,82.4,77.8,7,9,3.4,1,0.2,23,1,76.1,91.9,1,63,0.0,0,129,53.0,28,90.7,117,146.1,34,29.1,5,449,104,3.7,16.0,3.84,0,11.6,15,73.0,44.4,8,18,3.2,3,0.09,58,2,87.8,92.5,4,61,0.0,0,382,49.9,92,96.1,367,113.3,126,34.3,7,1363,442,4.8,14.8,3.71
Ja'Marr Chase,84270,WR,CIN,16,182,0,7,8.2,1,53.8,53.8,7,13,12.5,3,0.1,14,0,50.4,73.6,1,21,0.0,0,161,41.6,21,92.5,149,72.6,39,26.2,2,180,74,3.5,8.6,1.21,0,7.8,16,76.0,53.8,7,13,2.5,2,-0.05,40,1,89.2,87.1,3,64,0.0,0,372,48.3,79,96.2,358,99.1,104,29.1,3,902,465,5.9,11.4,2.52
Trey McBride,75916,TE,ARZ,17,163,0,1,9.5,1,69.2,63.6,7,11,0.0,0,-0.21,10,0,69.0,66.2,0,26,1.4,2,138,41.1,18,88.4,122,83.7,26,21.3,0,149,36,2.0,8.3,1.22,0,6.4,20,79.3,47.4,9,19,1.1,1,0.04,41,0,90.9,84.7,0,29,1.5,7,479,46.8,88,94.4,452,115.4,111,24.6,5,898,479,5.4,10.2,1.99
Amon-Ra St. Brown,84470,WR,DET,17,162,0,11,6.9,9,64.8,20.0,1,5,10.3,4,0.08,26,0,54.3,90.2,0,34,1.8,3,166,45.8,35,92.2,153,126.7,54,35.3,7,402,210,6.0,11.5,2.63,0,9.6,4,78.7,50.0,8,16,1.4,1,0.14,40,1,90.3,90.0,4,52,0.0,0,355,49.7,70,96.9,344,94.7,89,25.9,1,919,350,5.0,13.1,2.67
Chris Olave,84355,WR,NO,16,151,0,20,10.3,1,65.6,53.3,8,15,4.5,1,-0.04,13,0,72.1,76.9,0,23,0.0,0,111,46.1,21,91.9,102,116.1,32,31.4,3,216,50,2.4,10.3,2.12,0,11.9,4,67.0,42.1,8,19,3.8,3,-0.04,37,0,83.4,78.3,4,62,0.0,0,444,46.1,75,94.8,421,92.6,112,26.6,6,852,225,3.0,11.4,2.02
Justin Jefferson,61398,WR,MIN,17,140,0,18,16.1,2,42.9,42.9,3,7,11.8,2,-0.38,10,0,53.1,66.3,4,21,0.6,1,154,36.9,15,90.9,140,28.9,35,25.0,1,178,31,2.1,11.9,1.27,0,8.2,11,70.8,54.5,6,11,3.1,2,-0.08,33,0,84.6,87.8,5,50,0.0,0,326,47.9,63,95.1,310,74.4,89,28.7,0,784,398,6.3,12.4,2.53
Davante Adams,8688,WR,LA,17,135,0,26,12.8,0,46.0,27.8,5,18,0.0,0,0.27,21,0,85.3,89.9,1,29,0.0,0,166,49.0,23,94.6,157,91.9,50,31.8,9,243,49,2.1,10.6,1.55,0,13.8,2,54.5,25.0,3,12,20.0,9,0.09,28,0,28.0,68.8,1,35,0.0,0,288,52.9,36,96.5,278,83.3,66,23.7,2,506,74,2.1,14.1,1.82
Christian McCaffrey,11763,HB,SF,19,135,0,28,4.7,1,76.2,50.0,1,2,0.0,0,-0.01,10,0,81.7,88.4,0,29,12.3,15,122,42.2,16,84.4,103,132.9,21,20.4,4,140,95,5.9,8.8,1.36,0,2.8,19,87.3,75.0,6,8,2.8,2,0.16,35,1,86.4,91.2,0,39,8.6,34,394,55.8,69,88.3,348,103.2,79,22.7,0,693,535,7.8,10.0,1.99
Courtland Sutton,48164,WR,DEN,19,134,0,10,12.8,3,58.6,40.0,4,10,5.6,1,0.07,14,0,69.6,83.2,0,39,0.0,0,146,43.0,17,87.7,128,101.7,29,22.7,1,273,55,3.2,16.1,2.13,0,13.4,5,61.4,54.2,13,24,8.5,5,0.05,35,0,60.7,70.0,3,52,0.0,0,471,46.3,54,97.0,457,91.4,88,19.3,5,707,134,2.5,13.1,1.55
Wan'Dale Robinson,101735,WR,NYG,16,131,0,21,9.9,2,53.3,11.1,1,9,0.0,0,-0.13,12,1,82.7,63.3,0,35,0.0,0,153,42.1,16,86.9,133,95.6,30,22.6,2,193,78,4.9,12.1,1.45,0,9.1,10,76.5,54.5,6,11,4.6,3,0.1,24,0,78.1,72.2,1,50,0.0,0,351,45.8,62,94.0,330,105.3,81,24.5,2,706,272,4.4,11.4,2.14
George Pickens,99229,WR,DAL,17,131,0,9,11.0,7,73.7,57.1,4,7,6.7,2,0.19,24,1,66.6,90.4,0,45,0.0,0,170,49.0,28,87.6,149,141.9,38,25.5,3,510,212,7.6,18.2,3.42,0,12.6,10,73.3,54.2,13,24,3.5,2,0.23,42,2,82.0,86.3,3,44,0.0,0,349,52.7,55,94.6,330,118.5,75,22.7,6,816,239,4.3,14.8,2.47
A.J. Brown,48327,WR,PHI,16,127,0,24,12.6,5,59.0,46.2,6,13,8.0,2,0.03,17,0,62.5,89.9,1,45,0.0,0,135,46.7,23,88.9,120,110.8,39,32.5,4,338,93,4.0,14.7,2.82,0,12.6,5,65.0,50.0,10,20,1.9,1,0.02,29,0,87.6,78.7,2,38,0.0,0,361,44.5,52,96.4,348,92.4,80,23.0,3,654,163,3.1,12.6,1.88
Tetairoa McMillan,158735,WR,CAR,18,126,0,5,13.2,2,43.2,23.1,3,13,5.9,1,-0.19,14,0,52.8,77.3,2,40,0.0,0,146,42.6,16,88.4,129,61.8,37,28.7,2,250,87,5.4,15.6,1.94,0,11.9,5,66.2,45.5,5,11,10.5,6,-0.11,39,0,52.9,77.1,4,43,0.0,0,400,44.1,51,95.8,383,89.0,77,20.1,3,746,192,3.8,14.6,1.95
Keenan Allen,7857,WR,LAC,18,126,0,27,7.1,3,59.1,41.7,5,12,13.3,4,0.03,19,0,34.9,70.8,0,29,0.0,0,169,45.9,26,94.1,159,73.7,44,27.7,0,236,82,3.2,9.1,1.48,0,8.9,6,72.3,75.0,6,8,4.1,2,0.02,24,2,77.8,74.8,1,31,0.4,1,267,51.2,47,94.0,251,95.7,65,25.9,2,460,139,3.0,9.8,1.83
Emeka Egbuka,145055,WR,TB,17,126,0,30,11.3,1,25.9,0.0,0,6,12.5,1,-0.22,5,0,54.5,57.7,1,24,0.0,0,131,36.2,7,88.5,116,40.2,27,23.3,1,105,35,5.0,15.0,0.91,0,12.0,6,64.6,47.1,8,17,8.6,5,-0.02,27,0,60.7,72.9,1,77,0.3,1,378,46.3,53,93.4,353,108.2,82,23.2,5,728,278,5.2,13.7,2.06
Nico Collins,61441,WR,HST,16,124,0,13,11.4,2,57.6,36.4,4,11,0.0,0,-0.13,13,0,72.1,85.4,0,57,0.0,0,139,38.7,19,85.6,119,104.5,33,27.7,1,351,145,7.6,18.5,2.95,0,14.3,3,53.6,60.0,9,15,0.0,0,-0.04,23,1,90.0,79.0,1,50,0.3,1,293,43.3,37,93.5,274,84.0,69,25.2,2,556,144,3.9,15.0,2.03
Michael Wilson,84423,WR,ARZ,17,124,0,1,15.0,0,53.3,58.3,7,12,5.9,1,-0.1,14,0,68.7,79.7,2,34,0.0,0,128,45.6,16,89.1,114,53.5,30,26.3,0,250,33,2.1,15.6,2.19,0,11.2,5,64.9,64.7,11,17,5.7,3,-0.01,28,0,73.5,70.0,3,50,0.2,1,429,44.9,50,94.9,407,90.9,77,18.9,4,621,203,4.1,12.4,1.53
DeVonta Smith,61100,WR,PHI,18,122,0,24,9.9,1,57.1,12.5,1,8,4.8,1,0.05,8,0,71.3,67.5,0,28,0.0,0,145,46.2,20,89.7,130,79.6,35,26.9,1,171,44,2.2,8.6,1.32,0,12.4,6,75.3,57.1,8,14,3.3,2,0.0,33,0,76.9,79.2,1,79,0.0,0,387,43.6,58,96.6,374,111.5,77,20.6,2,802,252,4.3,13.8,2.14
Stefon Diggs,9579,WR,NE,21,120,0,19,8.4,2,78.1,57.1,4,7,0.0,0,0.16,23,0,85.7,87.1,1,33,1.2,2,167,51.0,25,88.0,147,135.7,32,21.8,4,326,142,5.7,13.0,2.22,0,8.5,10,85.3,100.0,6,6,4.9,3,0.32,26,0,75.7,74.4,1,34,0.0,0,294,56.8,58,96.9,285,99.3,68,23.9,0,632,208,3.6,10.9,2.22
