player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Montaric Brown,55797,CB,JAX,4,5,,5.0,15,0,39.6,0,1,0,0,0,0.0
Zyon McCollum,66769,CB,TB,11,38,,9.5,30,0,39.6,0,4,0,0,0,0.0
Jordan Poyer,8000,S,BUF,8,17,,8.5,4,0,39.6,0,2,0,0,0,0.0
Julian Blackmon,49434,S,NO,1,5,,5.0,20,0,39.6,0,1,0,0,0,0.0
Keidron Smith,83310,S,NYJ,1,4,,4.0,22,0,39.6,0,1,0,0,0,0.0
JL Skinner,101311,S,DEN,3,5,,5.0,10,0,39.6,0,1,0,0,0,0.0
Jeffrey Bassa,146552,LB,KC,2,2,,2.0,16,0,39.6,0,1,0,0,0,0.0
Francisco Mauigoa,146521,LB,NYJ,8,16,,8.0,22,0,39.6,0,2,0,0,0,0.0
Antonio Hamilton Sr.,11353,CB,WAS,1,1,,1.0,32,0,39.6,0,1,0,0,0,0.0
Andre Cisco,76641,S,NYJ,8,23,,23.0,22,0,39.6,0,1,0,0,0,0.0
Isaac Yiadom,49355,CB,NO,1,1,,1.0,20,0,39.6,0,1,0,0,0,0.0
Marcus Maye,11794,S,LAC,1,2,,2.0,27,0,39.6,0,1,0,0,0,0.0
D'Marco Jackson,57691,LB,CHI,6,13,,13.0,6,0,39.6,0,1,0,0,0,0.0
Nick Whiteside,169772,CB,DET,1,3,,3.0,11,0,39.6,0,1,0,0,0,0.0
Fabian Moreau,11836,CB,MIN,5,17,,5.7,18,0,39.6,0,3,0,0,0,0.0
Owen Pappoe,99006,LB,ARZ,3,6,,6.0,1,0,39.6,0,1,0,0,0,0.0
Christian Harris,98996,LB,HST,4,6,,6.0,13,0,39.6,0,1,0,0,0,0.0
Michael Davis,12040,CB,NO,1,4,,4.0,20,0,39.6,0,1,0,0,0,0.0
Micah Robinson,139042,CB,TEN,2,3,,3.0,31,0,39.6,0,1,0,0,0,0.0
Jalyx Hunt,105989,ED,PHI,10,13,,4.3,24,0,39.6,0,3,0,0,0,0.0
Miles Battle,84301,CB,NE,1,2,,2.0,19,0,39.6,0,1,0,0,0,0.0
Cooper McDonald,131903,ED,KC,3,3,,3.0,16,0,39.6,0,1,0,0,0,0.0
Renardo Green,99773,CB,SF,8,9,,4.5,28,0,39.6,0,2,0,0,0,0.0
Terrell Burgess,45255,S,NO,5,10,,10.0,20,0,39.6,0,1,0,0,0,0.0
R.J. Mickens,122153,S,LAC,8,21,,10.5,27,0,39.6,0,2,0,0,0,0.0
Mike Hughes,34057,CB,ATL,7,8,,8.0,2,0,39.6,0,1,0,0,0,0.0
Jaylon Jones,124328,CB,IND,5,9,,9.0,14,0,39.6,0,1,0,0,0,0.0
Kaiir Elam,98693,CB,TEN,4,10,,5.0,31,0,39.6,0,2,0,0,0,0.0
Deommodore Lenoir,55686,CB,SF,5,7,,7.0,28,0,39.6,0,1,0,0,0,0.0
Kelee Ringo,124035,CB,PHI,3,3,,3.0,24,0,39.6,0,1,0,0,0,0.0
