player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Terry McLaurin,48229,WR,WAS,1,14,0,32,12.4,0,20.0,,0,0,50.0,1,0.11,1,0,28.9,53.0,0,3,0.0,0,14,38.5,1,92.9,13,79.2,5,38.5,1,3,0,0.0,3.0,0.23,0,14.8,0,80.0,0.0,0,1,0.0,0,0.46,4,0,73.4,92.2,0,16,0.0,0,12,70.0,4,83.3,10,111.7,5,50.0,0,54,5,1.3,13.5,5.4
Ja'Marr Chase,84270,WR,CIN,1,14,0,7,6.3,0,50.0,100.0,1,1,0.0,0,-0.13,1,0,68.3,65.3,0,10,0.0,0,20,35.0,2,100.0,20,60.4,4,20.0,0,16,0,0.0,8.0,0.8,0,16.6,1,42.9,0.0,0,1,0.0,0,0.15,2,0,70.5,76.2,0,43,0.0,0,23,31.8,3,95.7,22,77.1,7,31.8,0,66,7,2.3,22.0,3.0
Zach Ertz,7816,TE,WAS,1,14,0,32,10.0,0,100.0,100.0,1,1,0.0,0,0.11,2,0,68.3,67.9,0,18,0.0,0,16,46.7,2,93.8,15,118.8,2,13.3,0,26,6,3.0,13.0,1.73,0,9.3,1,77.8,50.0,1,2,0.0,0,0.28,3,0,75.6,70.9,0,21,0.0,0,17,53.3,7,88.2,15,98.1,9,60.0,0,68,27,3.9,9.7,4.53
A.J. Brown,48327,WR,PHI,1,12,0,24,9.5,0,100.0,,0,0,0.0,0,0.19,2,0,68.3,73.7,0,17,0.0,0,10,33.3,2,90.0,9,150.0,2,22.2,1,21,2,1.0,10.5,2.33,0,12.8,0,80.0,100.0,2,2,0.0,0,0.08,5,0,77.3,91.1,1,33,0.0,0,23,50.0,8,95.7,22,106.7,10,45.5,1,111,21,2.6,13.9,5.05
Rashee Rice,97605,WR,KC,1,12,0,16,10.0,0,33.3,,0,0,0.0,0,0.31,0,0,64.7,54.7,0,5,0.0,0,13,63.6,1,84.6,11,42.4,3,27.3,0,5,0,0.0,5.0,0.45,0,3.6,2,85.7,100.0,1,1,14.3,1,0.05,4,0,49.2,76.6,0,28,0.0,0,24,36.4,6,91.7,22,156.3,7,31.8,1,84,70,11.7,14.0,3.82
George Pickens,99229,WR,DAL,1,12,0,9,7.2,2,66.7,,0,0,20.0,1,0.22,2,1,41.6,63.6,0,39,0.0,0,12,40.0,4,83.3,10,102.8,6,60.0,0,65,37,9.3,16.3,6.5,0,13.2,0,40.0,,0,0,0.0,0,0.33,1,0,70.5,70.4,1,13,0.0,0,25,57.1,2,84.0,21,15.0,5,23.8,0,23,10,5.0,11.5,1.1
Adonai Mitchell,146712,WR,NYJ,1,11,0,22,10.0,0,33.3,,0,0,0.0,0,-0.1,0,0,64.7,64.4,0,10,0.0,0,10,50.0,1,100.0,10,43.8,3,30.0,0,10,0,0.0,10.0,1.0,0,16.6,0,87.5,100.0,1,1,0.0,0,0.02,4,0,75.6,78.3,0,52,0.0,0,28,38.5,7,92.9,26,154.2,8,30.8,1,92,1,0.1,13.1,3.54
Jameson Williams,101701,WR,DET,1,10,0,11,5.0,1,75.0,,0,0,25.0,1,0.93,3,0,36.8,91.5,0,25,0.0,0,5,80.0,3,100.0,5,156.3,4,80.0,1,54,36,12.0,18.0,10.8,0,9.4,2,60.0,,0,0,0.0,0,0.19,2,0,70.5,80.0,0,22,0.0,0,20,52.6,3,95.0,19,90.4,5,26.3,0,46,21,7.0,15.3,2.42
Jordan Addison,123000,WR,MIN,1,10,0,18,10.0,0,50.0,,0,0,0.0,0,-0.84,0,0,64.7,58.7,0,5,0.0,0,3,33.3,1,100.0,3,56.3,2,66.7,0,5,0,0.0,5.0,1.67,0,10.2,0,50.0,,0,0,25.0,1,-0.85,2,0,36.2,60.2,1,11,0.0,0,23,36.4,3,95.7,22,22.2,6,27.3,0,26,6,2.0,8.7,1.18
Christian Watson,66581,WR,GB,1,10,0,12,17.0,0,14.3,0.0,0,4,0.0,0,0.46,1,0,64.7,58.6,0,8,0.0,0,19,52.9,1,89.5,17,39.6,7,41.2,0,8,-1,-1.0,8.0,0.47,0,22.0,0,100.0,100.0,2,2,0.0,0,1.06,3,0,70.5,92.7,0,51,0.0,0,9,77.8,3,100.0,9,158.3,3,33.3,1,72,6,2.0,24.0,8.0
