week,regular_season,schema_valid,source_confidence,export_date
1,True,True,in_app_upload_regular_season_export,2026-08-22
2,True,True,in_app_upload_regular_season_export,2026-08-23
3,True,True,in_app_upload_regular_season_export,2026-08-23
4,True,True,in_app_upload_regular_season_export,2026-08-23
5,True,True,in_app_upload_regular_season_export,2026-08-23
6,True,True,in_app_upload_regular_season_export,2026-08-23
7,True,True,in_app_upload_regular_season_export,2026-08-23
8,True,True,in_app_upload_regular_season_export,2026-08-23
9,True,True,in_app_upload_regular_season_export,2026-08-23
10,True,True,in_app_upload_regular_season_export,2026-08-23
11,True,True,in_app_upload_regular_season_export,2026-08-23
12,True,True,in_app_upload_regular_season_export,2026-08-23
13,True,True,in_app_upload_regular_season_export,2026-08-23
14,True,True,in_app_upload_regular_season_export,2026-08-23
15,True,True,in_app_upload_regular_season_export,2026-08-23
16,True,True,in_app_upload_regular_season_export,2026-08-23
17,True,True,in_app_upload_regular_season_export,2026-08-23
18,True,True,in_app_upload_regular_season_export,2026-08-23
19,False,True,in_app_upload_postseason_wild_card_export,2026-08-25
20,False,True,in_app_upload_postseason_divisional_export,2026-08-25
21,False,True,in_app_upload_postseason_conference_championship_export,2026-08-25
22,False,True,in_app_upload_postseason_super_bowl_export,2026-08-25
