player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Von Miller,6154,ED,DAL,1,0,,,20.0,,,0,0,0,,9,60.0,57.8,73.8,54.5,60.3,,0,,,0,0,0,0.0,0,1,5,0,0,0,0,0,0,0.0,
Demario Davis,7079,LB,NYJ,1,0,7.7,33.3,92.5,36.0,12.0,0,0,1,33.3,22,64.9,65.5,75.0,54.5,63.8,80.4,0,8,0.0,0,1,0,42.4,1,37,40,0,4,3,0,8,8,0.2,8.0
Harrison Smith,7641,S,MIN,1,0,9.3,66.7,79.2,9.5,6.3,0,1,0,0.0,18,49.4,48.0,76.6,54.1,60.0,73.0,0,20,0.0,0,0,0,95.1,2,19,24,0,1,3,0,27,8,1.4,13.5
Tony Jefferson,8361,S,LAC,1,0,3.0,0.0,93.3,,14.0,0,0,1,100.0,27,83.0,82.3,72.4,66.0,57.5,28.8,0,,0.0,0,1,0,39.6,0,14,15,1,1,1,0,0,0,0.0,
DeMarcus Lawrence,8669,ED,SEA,1,0,,,17.2,,,0,0,0,,29,53.5,60.1,79.3,51.6,76.6,73.1,0,,,0,0,0,0.0,0,5,29,0,0,0,0,0,0,0.0,
Kyle Van Noy,8675,ED,MIN,1,0,,,5.6,,,0,0,0,,18,60.0,69.5,75.7,60.0,70.6,70.5,0,,,0,0,0,0.0,0,1,18,0,0,0,0,0,0,0.0,
Dante Fowler Jr.,9436,ED,SEA,1,0,,,20.0,,,0,0,0,,29,74.4,49.8,74.4,52.1,42.7,,0,,,0,0,0,0.0,0,2,10,0,0,0,0,0,0,0.0,
Arik Armstead,9450,DI,JAX,1,0,,,4.0,,,0,0,0,,15,55.7,29.4,75.9,48.2,37.4,69.2,0,,,0,0,0,0.0,0,1,25,0,0,0,0,0,0,0.0,
Bud Dupree,9455,ED,LAC,1,0,,,15.4,,,0,0,0,,27,60.5,60.0,74.7,57.3,60.7,70.5,0,,,0,0,0,0.0,0,2,13,0,0,0,0,0,0,0.0,
Za'Darius Smith,9555,ED,ATL,1,0,4.0,0.0,6.7,,1.0,0,0,0,0.0,2,60.0,83.9,76.0,65.1,64.8,73.0,0,,,0,0,0,39.6,0,1,15,2,0,1,0,0,0,0.0,
