player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,1,1,0,,0,0,3,0,0,,53.2,76.3,49.7,61.7,68.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,29,29,2,27,0,0,0,0,23,6,0,1,1,0,0,0,0,0,0,
Von Miller,6154,ED,DAL,1,0,0,,0,0,9,0,0,60.0,57.8,73.8,54.5,60.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,11,10,0,0,10,0,0,1,4,6,1,0,0,0,0,0,0,0,0,
Cameron Heyward,6183,DI,PIT,1,1,3,,0,0,25,0,0,,81.5,74.8,83.0,66.9,71.0,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,32,32,0,16,0,16,0,0,15,17,0,2,2,0,0,1,0,0,0,
Demario Davis,7079,LB,NYJ,1,1,0,33.3,0,0,22,0,0,64.9,65.5,75.0,54.5,63.8,80.4,0,0,0,0,8,0.0,0,1,0,42.4,1,0,0,48,0,37,50,0,0,0,0,0,0,50,3,10,2,2,6,0,3,0,0,8,8,8.0
Harrison Smith,7641,S,MIN,1,0,0,66.7,0,0,18,0,0,49.4,48.0,76.6,54.1,60.0,73.0,1,2,0,0,20,0.0,0,0,0,95.1,2,0,0,3,1,19,26,14,0,0,14,0,6,12,5,2,2,0,1,0,3,3,0,27,8,13.5
John Jenkins,7863,DI,BLT,1,0,0,,0,0,3,0,0,,49.5,73.2,55.0,53.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,13,13,2,11,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,
Tony Jefferson,8361,S,LAC,1,1,0,0.0,0,0,27,0,0,83.0,82.3,72.4,66.0,57.5,28.8,0,0,0,0,,33.3,1,1,0,39.6,0,0,0,17,0,14,39,0,0,0,0,0,21,39,1,24,1,1,1,0,1,0,0,0,0,
Jadeveon Clowney,8636,ED,HST,1,1,0,,0,0,13,0,0,,61.3,77.3,61.1,58.8,29.9,1,0,0,0,,50.0,1,0,0,0.0,0,1,0,0,0,0,20,20,0,0,20,0,0,0,15,5,0,1,0,0,0,2,0,0,0,
Khalil Mack,8640,ED,LAC,1,0,0,,0,0,27,0,0,,62.1,79.4,59.4,61.8,25.3,1,1,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,51,51,0,0,49,2,0,0,31,20,0,1,1,1,0,2,0,0,0,
DeMarcus Lawrence,8669,ED,SEA,1,0,0,,0,0,29,0,0,53.5,60.1,79.3,51.6,76.6,73.1,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,5,42,41,0,0,38,3,0,1,24,13,0,3,3,0,0,2,0,0,0,
