player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Nick Folk,3794,K,ATL,1,0,2,1,50.0,2,1,50.0,2,45.4,0,0,,1,1,100.0,0,0,0,,4,2,50.0,0,0,
Cairo Santos,8932,K,CHI,1,0,0,0,,1,1,100.0,6,68.2,0,0,,8,8,100.0,0,0,0,,1,1,100.0,0,0,
Chris Boswell,8990,K,PIT,1,0,1,0,0.0,1,1,100.0,25,51.6,0,0,,2,2,100.0,0,0,0,,3,2,66.7,1,1,100.0
Jason Myers,10207,K,SEA,1,0,0,0,,0,0,,29,62.9,0,0,,1,1,100.0,0,1,1,100.0,2,2,100.0,1,1,100.0
Wil Lutz,11096,K,DEN,1,0,0,0,,0,0,,10,62.2,0,0,,1,1,100.0,0,1,1,100.0,1,1,100.0,0,0,
Ka'imi Fairbairn,11161,K,HST,1,0,1,1,100.0,0,0,,13,70.7,0,0,,4,4,100.0,0,0,0,,1,1,100.0,0,0,
Jake Elliott,11908,K,PHI,1,0,0,0,,0,0,,24,64.6,0,0,,3,3,100.0,0,1,1,100.0,1,1,100.0,0,0,
Harrison Butker,11988,K,KC,1,0,0,0,,0,0,,16,64.9,0,0,,4,4,100.0,0,0,0,,1,1,100.0,1,1,100.0
Daniel Carlson,28121,K,NO,1,0,1,0,0.0,0,0,,20,71.0,0,0,,3,3,100.0,0,0,0,,2,1,50.0,1,1,100.0
Jason Sanders,29578,K,NYJ,1,0,3,2,66.7,0,0,,22,62.8,0,0,,2,2,100.0,0,1,1,100.0,4,3,75.0,0,0,
Tyler Bass,33010,K,BUF,1,0,0,0,,1,1,100.0,4,68.3,0,0,,3,3,100.0,0,2,2,100.0,3,3,100.0,0,0,
Chase McLaughlin,33285,K,TB,1,0,1,1,100.0,0,0,,30,69.5,0,0,,3,3,100.0,0,1,1,100.0,2,2,100.0,0,0,
Joey Slye,39235,K,TEN,1,0,0,0,,1,1,100.0,31,63.9,0,0,,1,1,100.0,0,0,0,,1,1,100.0,0,0,
Eddy Pineiro,44140,K,SF,1,0,2,1,50.0,0,0,,28,55.1,0,0,,3,3,100.0,0,0,0,,3,2,66.7,1,1,100.0
Riley Patterson,57556,K,MIA,1,0,0,0,,2,1,50.0,17,50.0,0,0,,1,1,100.0,0,1,1,100.0,3,2,66.7,0,0,
Andre Szmyt,57624,K,CLV,1,0,0,0,,0,0,,8,61.9,0,0,,1,1,100.0,0,0,0,,1,1,100.0,1,1,100.0
Matt Gay,57643,K,LV,1,0,0,0,,1,1,100.0,23,67.9,0,0,,3,3,100.0,0,1,1,100.0,2,2,100.0,0,0,
Cameron Dicker,77069,K,LAC,1,0,0,0,,0,0,,27,62.3,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Chad Ryland,77083,K,ARZ,1,0,1,0,0.0,2,2,100.0,1,60.5,0,0,,2,2,100.0,0,1,1,100.0,5,4,80.0,1,1,100.0
Evan McPherson,82583,K,CIN,1,0,2,2,100.0,0,0,,7,69.8,0,0,,3,3,100.0,0,1,1,100.0,4,4,100.0,1,1,100.0
Will Reichard,98965,K,MIN,1,0,0,0,,0,0,,18,65.6,0,0,,4,4,100.0,0,1,1,100.0,1,1,100.0,0,0,
Ryan Fitzgerald,99867,K,CAR,1,0,0,0,,1,1,100.0,5,67.2,0,0,,5,4,80.0,0,0,0,,1,1,100.0,0,0,
Spencer Shrader,100974,K,IND,1,0,1,1,100.0,0,0,,14,53.1,0,0,,3,2,66.7,0,0,0,,1,1,100.0,0,0,
Jake Bates,121959,K,DET,1,0,0,0,,0,0,,11,64.6,0,0,,4,4,100.0,0,0,0,,1,1,100.0,1,1,100.0
Harrison Mevis,124212,K,LA,1,0,0,0,,0,0,,26,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Tyler Loop,131582,K,BLT,1,0,1,1,100.0,1,1,100.0,3,71.4,0,0,,5,5,100.0,0,0,0,,2,2,100.0,0,0,
Andres Borregales,143934,K,NE,1,0,1,1,100.0,0,0,,19,66.8,0,0,,1,1,100.0,0,0,0,,1,1,100.0,0,0,
Cam Little,146646,K,JAX,1,0,0,0,,2,2,100.0,15,69.3,0,0,,4,4,100.0,0,0,0,,2,2,100.0,0,0,
Brandon Aubrey,156112,K,DAL,1,0,0,0,,0,0,,9,54.5,0,0,,3,2,66.7,0,0,0,,0,0,,0,0,
Drew Stevens,156447,K,WAS,1,0,2,1,50.0,0,0,,32,58.4,0,0,,2,1,50.0,0,0,0,,2,1,50.0,0,0,
Dominic Zvada,156657,K,NYG,1,0,0,0,,0,0,,21,64.5,0,0,,4,4,100.0,0,0,0,,0,0,,0,0,
Trey Smack,157733,K,GB,1,0,1,1,100.0,1,1,100.0,12,60.0,0,0,,2,1,50.0,0,0,0,,3,3,100.0,1,1,100.0
