player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
David Edwards,35941,G,NO,1,0,20,67.0,1,1,62,100.0,100.0,98.4,0,2,0,67,67,63.7,0,1,26,100.0,100.0,98.1,1,0,28,28
Taliese Fuaga,131732,T,NO,1,0,20,34.3,0,5,62,100.0,100.0,94.4,0,6,1,67,67,32.7,0,3,26,100.0,100.0,90.4,4,1,28,28
Cesar Ruiz,59857,G,NO,1,0,20,61.1,0,2,62,100.0,100.0,98.4,0,2,0,67,67,58.3,0,2,26,100.0,100.0,96.2,2,0,28,28
Kelvin Banks Jr.,163839,T,NO,1,0,20,78.8,0,1,62,100.0,100.0,97.6,0,2,1,67,67,73.9,0,1,26,100.0,100.0,94.2,2,1,28,28
Erik McCoy,37347,C,NO,1,0,20,67.8,2,2,62,100.0,100.0,96.8,0,4,0,67,67,54.6,1,2,26,100.0,100.0,94.2,3,0,28,28
Ed Ingram,59819,G,HST,1,0,13,25.9,2,3,42,100.0,100.0,91.7,0,6,1,48,48,15.3,2,1,22,100.0,100.0,88.6,4,1,25,25
Evan Brown,38709,G,HST,1,0,13,74.5,0,0,42,100.0,100.0,100.0,0,0,0,48,48,66.3,0,0,22,100.0,100.0,100.0,0,0,25,25
Trent Brown,9677,T,HST,1,0,13,74.3,1,1,42,100.0,100.0,95.2,0,3,1,48,48,71.3,1,1,22,100.0,100.0,95.5,2,0,25,25
Keylan Rutledge,156597,C,HST,1,0,13,62.6,0,2,42,100.0,100.0,97.6,0,2,0,48,48,64.4,0,2,22,100.0,100.0,95.5,2,0,25,25
Aireontae Ersery,129649,T,HST,1,0,13,78.1,1,1,42,100.0,100.0,97.6,1,2,0,48,48,86.7,0,1,22,100.0,100.0,97.7,1,0,25,25
Mason McCormick,78326,G,PIT,1,0,25,59.8,0,4,43,100.0,100.0,95.3,0,4,0,47,47,68.8,0,2,20,100.0,100.0,95.0,2,0,23,23
Dylan Cook,91689,T,PIT,1,0,25,71.3,0,2,43,100.0,100.0,95.3,1,3,1,47,47,77.0,0,2,20,100.0,100.0,95.0,2,0,23,23
Donovan Jennings,86861,G,GB,1,0,12,40.0,0,2,46,100.0,100.0,97.8,0,2,0,46,46,41.8,0,1,16,100.0,100.0,96.9,1,0,16,16
Jacob Monk,98058,G,GB,1,0,12,48.2,2,1,46,100.0,100.0,94.6,0,4,1,46,46,84.7,0,0,16,100.0,100.0,100.0,0,0,16,16
Zach Bako-Bewele,55443,T,GB,1,0,12,58.7,1,1,46,100.0,100.0,95.7,0,3,1,46,46,64.6,0,1,16,100.0,100.0,96.9,1,0,16,16
Jordan Morgan,98652,T,GB,1,0,12,48.8,3,2,46,100.0,100.0,94.6,0,5,0,46,46,34.6,2,1,16,100.0,100.0,90.6,3,0,16,16
Spencer Anderson,81719,G,PIT,1,0,25,44.1,0,1,42,100.0,100.0,98.8,0,1,0,46,46,62.5,0,1,20,100.0,100.0,97.5,1,0,23,23
Zach Frazier,123419,C,PIT,1,0,25,76.9,0,1,42,100.0,100.0,98.8,0,1,0,46,46,75.9,0,0,20,100.0,100.0,100.0,0,0,23,23
Sean Rhyan,72009,C,GB,1,0,12,32.8,1,1,46,100.0,100.0,95.7,0,3,1,46,46,30.2,1,0,16,100.0,100.0,96.9,1,0,16,16
Rasheed Walker,81798,T,CAR,1,0,5,88.6,0,1,43,100.0,100.0,98.8,0,1,0,46,46,84.0,0,1,21,100.0,100.0,97.6,1,0,21,21
Damien Lewis,81532,G,CAR,1,0,5,80.7,1,0,42,100.0,100.0,98.8,0,1,0,45,45,72.4,1,0,21,100.0,100.0,97.6,1,0,21,21
Troy Fautanu,100521,T,PIT,1,0,25,47.1,1,2,41,100.0,100.0,96.3,0,3,0,45,45,33.3,0,2,20,100.0,100.0,95.0,2,0,23,23
Jared Wilson,146717,G,NE,1,0,19,70.5,0,1,42,100.0,100.0,98.8,0,1,0,44,44,55.3,0,1,19,100.0,100.0,97.4,1,0,19,19
Luke Fortner,42028,C,CAR,1,0,5,65.7,1,2,41,100.0,100.0,96.3,0,3,0,44,44,56.7,1,2,20,100.0,100.0,92.5,3,0,20,20
Alijah Vera-Tucker,57107,G,NE,1,0,19,54.1,0,4,42,100.0,100.0,95.2,1,4,0,44,44,24.8,0,4,19,100.0,100.0,89.5,4,0,19,19
Robert Hunt,46139,G,CAR,1,0,5,78.4,0,1,41,100.0,100.0,98.8,0,1,0,44,44,86.0,0,0,20,100.0,100.0,100.0,0,0,20,20
Mike Onwenu,27357,G,NE,1,0,19,88.9,0,0,42,100.0,100.0,100.0,0,0,0,44,44,86.1,0,0,19,100.0,100.0,100.0,0,0,19,19
Morgan Moses,8701,T,NE,1,0,19,82.3,0,0,42,100.0,100.0,100.0,0,0,0,44,44,79.3,0,0,19,100.0,100.0,100.0,0,0,19,19
Will Campbell,157106,T,NE,1,0,19,84.4,0,1,42,100.0,100.0,96.4,0,2,1,44,44,75.6,0,1,19,100.0,100.0,92.1,2,1,19,19
