player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,BLT,1,0,0,3,49.7,0,0,23,100.0,0.0,0,0,0.0,0,23,23,0,0,50.3,0,0,16,100.0,0.0,0,0.0,0,16,16,0
Von Miller,6154,ED,DAL,1,0,0,9,54.5,0,0,4,80.0,0.0,0,0,0.0,0,5,4,0,0,59.2,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Cameron Heyward,6183,DI,PIT,1,3,0,25,83.0,0,1,14,100.0,14.3,2,0,3.6,0,15,15,1,1,73.9,0,1,6,100.0,16.7,1,8.3,0,6,6,1
Demario Davis,7079,LB,NYJ,1,0,0,22,54.5,0,0,3,7.5,0.0,0,0,0.0,0,40,3,0,0,59.4,0,0,1,5.0,0.0,0,0.0,0,20,1,0
Harrison Smith,7641,S,MIN,1,0,0,18,54.1,1,2,5,20.8,0.0,0,0,30.0,0,24,5,3,0,55.3,1,1,3,30.0,0.0,0,33.3,0,10,3,2
John Jenkins,7863,DI,BLT,1,0,0,3,55.0,0,0,6,100.0,0.0,0,0,0.0,0,7,7,0,0,57.8,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Tony Jefferson,8361,S,LAC,1,0,0,27,66.0,0,0,0,6.7,,0,0,,0,15,1,0,0,,0,0,0,0.0,,0,,0,5,0,0
Jadeveon Clowney,8636,ED,HST,1,0,0,13,61.1,1,0,12,100.0,16.7,2,0,12.5,1,15,15,2,0,51.8,0,0,5,100.0,0.0,0,0.0,0,6,6,0
Khalil Mack,8640,ED,LAC,1,0,0,27,59.4,1,1,30,100.0,3.3,1,0,3.3,0,31,31,2,0,62.4,1,0,16,100.0,6.3,1,3.1,0,16,16,1
DeMarcus Lawrence,8669,ED,SEA,1,0,0,29,51.6,1,1,23,82.8,4.3,1,0,4.3,0,29,24,2,0,49.1,1,0,12,85.7,0.0,0,4.2,0,14,12,1
Kyle Van Noy,8675,ED,MIN,1,0,0,18,60.0,0,1,17,94.4,11.8,2,0,2.9,0,18,17,1,0,70.5,0,0,6,100.0,33.3,2,0.0,0,6,6,0
Shelby Harris,8869,DI,NYG,1,0,0,21,52.6,0,0,15,100.0,0.0,0,0,0.0,0,16,16,0,0,53.5,0,0,8,100.0,0.0,0,0.0,0,9,9,0
Dante Fowler Jr.,9436,ED,SEA,1,0,0,29,52.1,0,0,7,80.0,0.0,0,0,0.0,0,10,8,0,0,53.9,0,0,4,80.0,0.0,0,0.0,0,5,4,0
Leonard Williams,9439,DI,SEA,1,0,0,29,55.4,0,2,33,100.0,6.1,2,0,6.1,1,33,33,3,0,60.9,0,2,16,100.0,12.5,2,12.5,1,16,16,3
Arik Armstead,9450,DI,JAX,1,0,0,15,48.2,0,0,22,96.0,0.0,0,0,0.0,0,25,24,0,0,49.6,0,0,12,93.3,0.0,0,0.0,0,15,14,0
Bud Dupree,9455,ED,LAC,1,0,0,27,57.3,0,1,9,84.6,11.1,1,0,5.6,0,13,11,1,0,52.7,0,0,4,83.3,0.0,0,0.0,0,6,5,0
Mario Edwards Jr.,9468,DI,HST,1,0,0,13,72.9,0,0,9,100.0,0.0,0,1,11.1,1,13,13,1,0,65.5,0,0,3,100.0,0.0,0,0.0,0,4,4,0
Danielle Hunter,9521,ED,HST,1,1,0,13,73.9,0,2,25,100.0,24.0,6,0,4.0,0,28,28,2,1,55.7,0,0,11,100.0,0.0,0,0.0,0,12,12,0
Za'Darius Smith,9555,ED,ATL,1,0,0,2,65.1,0,0,12,93.3,16.7,2,0,16.7,2,15,14,2,0,61.7,0,0,9,91.7,11.1,1,11.1,1,12,11,1
Grady Jarrett,9570,DI,CHI,1,0,0,6,62.2,1,3,27,96.7,18.5,5,0,7.4,0,30,29,4,0,61.6,1,2,17,100.0,23.5,4,8.8,0,17,17,3
Rakeem Nunez-Roches,9650,DI,TB,1,0,0,30,55.6,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,58.5,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Alex Singleton,9994,LB,DEN,1,0,0,10,68.7,0,3,3,9.1,33.3,1,1,50.0,0,33,3,3,0,,0,0,0,0.0,,0,,0,11,0,0
Jalen Ramsey,10639,S,PIT,1,0,0,25,59.0,0,0,1,3.6,0.0,0,0,0.0,0,28,1,0,0,,0,0,0,0.0,,0,,0,14,0,0
DeForest Buckner,10641,DI,IND,1,0,0,14,90.2,0,5,25,100.0,24.0,6,0,14.0,1,28,28,6,0,72.3,0,2,8,100.0,25.0,2,12.5,0,10,10,2
Sheldon Rankins,10646,DI,HST,1,0,0,13,65.8,0,3,23,100.0,8.7,2,0,6.5,0,26,26,3,0,72.3,0,3,9,100.0,22.2,2,16.7,0,9,9,3
Kenny Clark,10661,DI,DAL,1,0,0,9,57.9,0,1,26,100.0,7.7,2,0,1.9,0,26,26,1,0,51.4,0,0,10,100.0,0.0,0,0.0,0,10,10,0
Chris Jones,10671,DI,KC,1,0,0,16,74.0,0,3,22,100.0,22.7,5,0,6.8,0,22,22,3,0,81.3,0,3,12,100.0,33.3,4,12.5,0,12,12,3
A'Shawn Robinson,10680,DI,TB,1,0,0,30,58.6,1,0,13,100.0,7.7,1,0,3.8,0,14,14,1,0,54.8,0,0,6,100.0,0.0,0,0.0,0,6,6,0
Jarran Reed,10683,DI,SEA,1,0,0,29,57.6,0,1,17,100.0,5.9,1,0,2.9,0,19,19,1,0,66.4,0,1,4,100.0,25.0,1,12.5,0,4,4,1
Kevin Byard,10698,S,NE,1,0,0,19,70.2,0,0,1,7.1,100.0,1,0,0.0,0,28,2,0,0,70.2,0,0,1,18.2,100.0,1,0.0,0,11,2,0
Maliek Collins,10701,DI,CLV,1,0,0,8,66.5,1,1,11,100.0,18.2,2,0,9.1,0,11,11,2,0,66.3,1,0,4,100.0,25.0,1,12.5,0,4,4,1
Jonathan Bullard,10706,DI,DAL,1,0,0,9,59.0,0,1,11,100.0,9.1,1,0,4.5,0,11,11,1,0,56.3,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Javon Hargrave,10723,DI,GB,1,0,0,12,51.1,0,0,17,100.0,0.0,0,0,0.0,0,20,20,0,0,51.7,0,0,8,100.0,0.0,0,0.0,0,11,11,0
Eric Murray,10740,S,JAX,1,0,0,15,60.0,0,0,1,4.3,0.0,0,0,0.0,0,23,1,0,0,,0,0,0,0.0,,0,,0,13,0,0
David Onyemata,10754,DI,NYJ,1,0,0,22,69.3,1,2,27,100.0,7.4,2,0,5.6,0,28,28,3,0,56.0,1,0,14,100.0,0.0,0,3.6,0,15,15,1
DJ Reader,10800,DI,NYG,1,0,0,21,58.9,0,0,16,100.0,6.3,1,0,0.0,0,17,17,0,0,60.9,0,0,10,100.0,10.0,1,0.0,0,11,11,0
Myles Garrett,11756,ED,LA,1,0,0,26,73.7,0,3,27,100.0,14.8,4,0,5.6,0,28,28,3,0,67.7,0,2,12,100.0,16.7,2,8.3,0,13,13,2
Solomon Thomas,11758,DI,TEN,1,0,0,31,66.2,0,1,4,100.0,25.0,1,0,12.5,0,4,4,1,0,62.4,0,1,1,100.0,100.0,1,50.0,0,1,1,1
Derek Barnett,11769,ED,CLV,1,0,0,8,67.8,0,2,8,88.9,25.0,2,0,12.5,0,9,8,2,0,75.3,0,2,4,100.0,50.0,2,25.0,0,4,4,2
Marlon Humphrey,11771,CB,BLT,1,0,0,3,57.7,0,0,1,3.0,0.0,0,0,0.0,0,33,1,0,0,57.7,0,0,1,5.9,0.0,0,0.0,0,17,1,0
Jonathan Allen,11772,DI,CIN,1,0,0,7,57.5,0,1,22,100.0,9.1,2,2,6.8,1,24,24,2,0,60.4,0,1,11,100.0,18.2,2,13.6,1,11,11,2
T.J. Watt,11785,ED,PIT,1,0,0,25,90.8,0,2,21,100.0,9.5,2,0,14.3,2,22,22,4,0,76.3,0,2,10,100.0,20.0,2,30.0,2,10,10,4
Budda Baker,11791,S,ARZ,1,0,0,1,71.9,0,0,3,7.7,0.0,0,0,33.3,1,39,3,1,0,,0,0,0,0.0,,0,,0,11,0,0
Dalvin Tomlinson,11810,DI,LAC,1,0,0,27,52.0,0,0,16,100.0,0.0,0,0,0.0,0,18,18,0,0,53.1,0,0,7,100.0,0.0,0,0.0,0,8,8,0
Alex Anzalone,11831,LB,TB,1,0,0,30,68.3,0,0,4,10.5,25.0,1,0,0.0,0,38,4,0,0,70.2,0,0,3,17.6,33.3,1,0.0,0,17,3,0
Jourdan Lewis,11846,CB,JAX,1,0,0,15,54.7,0,0,2,9.5,0.0,0,0,0.0,0,21,2,0,0,54.7,0,0,2,13.3,0.0,0,0.0,0,15,2,0
Trey Hendrickson,11858,ED,BLT,1,0,0,3,65.5,0,4,25,86.7,20.0,5,0,8.0,0,30,26,4,0,62.5,0,2,15,88.2,20.0,3,6.7,0,17,15,2
Samson Ebukam,11880,ED,ATL,1,0,0,2,57.6,1,2,23,81.3,8.7,2,0,6.5,0,32,26,3,0,63.1,1,1,12,87.5,16.7,2,8.3,0,16,14,2
Grover Stewart,11899,DI,IND,1,0,0,14,62.0,0,1,15,94.1,0.0,0,0,10.0,1,17,16,2,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Davon Godchaux,11934,DI,NO,1,0,0,20,54.7,0,0,10,100.0,0.0,0,0,0.0,0,10,10,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Chuck Clark,11941,S,DET,1,0,0,11,59.7,1,0,1,3.8,0.0,0,0,50.0,0,26,1,1,0,,0,0,0,0.0,,0,,0,9,0,0
Al-Quadin Muhammad,11951,ED,TB,1,0,0,30,81.5,2,0,11,85.7,27.3,3,0,9.1,0,14,12,2,0,86.1,2,0,6,85.7,33.3,2,16.7,0,7,6,2
D.J. Jones,11953,DI,DEN,1,0,0,10,52.9,0,0,15,100.0,0.0,0,0,0.0,0,15,15,0,0,55.5,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Adam Butler,12214,DI,LV,1,0,0,23,59.8,0,0,10,100.0,10.0,1,0,0.0,0,12,12,0,0,54.4,0,0,5,100.0,0.0,0,0.0,0,7,7,0
Nathan Shepherd,24614,DI,NO,1,0,0,20,53.9,1,1,30,100.0,0.0,0,0,3.3,0,30,30,2,0,57.8,1,1,14,100.0,0.0,0,7.1,0,14,14,2
Foyesade Oluokun,24904,LB,JAX,1,0,0,15,56.6,0,0,2,8.3,0.0,0,0,0.0,0,24,2,0,0,58.8,0,0,1,8.3,0.0,0,0.0,0,12,1,0
Anfernee Jennings,25449,ED,NO,1,0,0,20,55.4,0,0,5,55.6,0.0,0,0,0.0,0,9,5,0,0,,0,0,0,,,0,,0,0,0,0
Clelin Ferrell,25955,ED,MIA,1,0,0,17,66.8,0,0,3,100.0,33.3,1,0,0.0,0,3,3,0,0,69.1,0,0,2,100.0,50.0,1,0.0,0,2,2,0
Dexter Lawrence,25991,DI,CIN,1,0,0,7,71.1,1,2,22,100.0,18.2,4,0,6.8,0,25,25,3,0,80.0,1,2,11,100.0,36.4,4,13.6,0,11,11,3
Maxx Crosby,26316,ED,LV,1,0,0,23,88.9,1,5,30,100.0,33.3,10,0,16.7,2,33,33,8,0,90.3,0,4,21,100.0,42.9,9,19.0,2,24,24,6
Jeremiah Moon,26453,ED,CAR,1,0,0,5,54.0,0,0,6,100.0,0.0,0,0,0.0,0,6,6,0,0,57.0,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Isaiah Rodgers,27069,CB,MIN,1,0,0,18,55.8,0,0,2,4.3,0.0,0,0,0.0,0,46,2,0,0,,0,0,0,0.0,,0,,0,16,0,0
Montez Sweat,27271,ED,CHI,1,0,0,6,59.5,0,4,26,96.6,11.5,3,1,11.5,1,29,28,5,0,65.5,0,3,15,93.8,20.0,3,16.7,1,16,15,4
Devin Bush,27375,LB,CHI,1,0,0,6,50.3,1,1,8,20.0,0.0,0,0,12.5,0,45,9,2,0,52.9,0,0,4,19.0,0.0,0,0.0,0,21,4,0
Joshua Uche,27379,ED,MIA,1,0,0,17,60.5,0,1,15,80.0,13.3,2,0,3.3,0,20,16,1,0,57.0,0,1,10,83.3,10.0,1,5.0,0,12,10,1
DaVon Hamilton,28072,DI,JAX,1,0,0,15,55.0,1,0,7,100.0,0.0,0,0,7.1,0,7,7,1,0,58.1,1,0,2,100.0,0.0,0,25.0,0,2,2,1
Dre'Mont Jones,28075,ED,NE,1,0,0,19,80.6,3,2,23,95.8,26.1,6,0,15.2,1,24,23,6,0,77.6,2,0,9,90.0,44.4,4,22.2,1,10,9,3
Neville Gallimore,28094,DI,CHI,1,0,0,6,52.9,0,1,15,94.4,0.0,0,0,3.3,0,18,17,1,0,54.3,0,1,6,100.0,0.0,0,8.3,0,6,6,1
Andrew Van Ginkel,30267,ED,MIN,1,0,0,18,90.1,1,1,21,58.3,9.5,2,0,14.3,2,36,21,4,0,60.3,0,0,8,57.1,0.0,0,12.5,1,14,8,1
T.J. Edwards,30737,LB,CHI,1,0,0,6,49.8,0,0,9,19.6,0.0,0,0,0.0,0,46,9,0,0,52.1,0,0,4,19.0,0.0,0,0.0,0,21,4,0
Zayne Anderson,34622,S,MIA,1,0,0,17,54.3,0,0,1,8.3,0.0,0,0,0.0,0,24,2,0,0,,0,0,0,0.0,,0,,0,14,0,0
Zack Baun,34632,LB,PHI,1,0,0,24,76.0,0,0,6,14.6,16.7,1,0,0.0,0,41,6,0,0,78.5,0,0,5,20.0,20.0,1,0.0,0,25,5,0
Akeem Davis-Gaither,34788,LB,IND,1,0,0,14,67.7,0,1,3,10.3,33.3,1,0,16.7,0,29,3,1,0,69.4,0,1,1,14.3,100.0,1,50.0,0,7,1,1
Trevis Gipson,35241,ED,CAR,1,0,0,5,61.6,0,1,15,77.3,20.0,3,1,3.3,0,22,17,1,0,62.9,0,0,9,78.6,11.1,1,0.0,0,14,11,0
Blake Cashman,35413,LB,MIN,1,1,0,18,91.9,1,4,18,40.9,22.2,4,0,19.4,1,44,18,6,0,77.6,1,1,7,43.8,14.3,1,14.3,0,16,7,2
Shy Tuttle,37279,DI,WAS,1,0,0,32,54.4,0,0,8,100.0,0.0,0,0,0.0,0,9,9,0,0,55.9,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Camryn Bynum,38408,S,IND,1,0,0,14,54.2,0,0,3,9.1,0.0,0,0,0.0,0,33,3,0,0,55.6,0,0,2,18.2,0.0,0,0.0,0,11,2,0
Foley Fatukasi,38558,DI,LV,1,1,0,23,78.0,0,0,10,100.0,10.0,1,0,10.0,1,10,10,1,0,79.6,0,0,4,100.0,25.0,1,25.0,1,4,4,1
Eric Wilson,38587,LB,MIN,1,0,0,18,62.4,1,0,22,48.9,9.1,2,0,2.3,0,45,22,1,0,71.8,1,0,7,43.8,14.3,1,7.1,0,16,7,1
L'Jarius Sneed,40588,CB,KC,1,0,0,16,63.7,0,1,3,11.8,33.3,1,1,16.7,0,34,4,1,0,55.9,0,1,2,11.8,0.0,0,25.0,0,17,2,1
Alohi Gilman,41662,S,KC,1,0,0,16,67.1,0,1,1,2.9,100.0,1,0,50.0,0,35,1,1,0,67.1,0,1,1,5.6,100.0,1,50.0,0,18,1,1
Ed Oliver,42200,DI,BUF,1,0,0,4,61.2,1,1,38,100.0,7.9,3,0,2.6,0,44,44,2,0,60.3,1,0,18,100.0,11.1,2,2.8,0,21,21,1
Divine Deablo,42208,LB,ATL,1,0,0,2,70.8,0,1,2,4.3,50.0,1,0,25.0,0,47,2,1,0,59.6,0,0,1,4.3,0.0,0,0.0,0,23,1,0
Antoine Winfield Jr.,42475,S,TB,1,0,0,30,55.1,0,0,3,7.9,0.0,0,0,0.0,0,38,3,0,0,58.4,0,0,1,5.9,0.0,0,0.0,0,17,1,0
Justin Strnad,42659,LB,DEN,1,0,0,10,55.0,0,0,3,12.5,0.0,0,0,0.0,0,24,3,0,0,56.4,0,0,2,22.2,0.0,0,0.0,0,9,2,0
Chauncey Golston,42718,ED,NYG,1,0,0,21,67.2,1,3,17,95.2,29.4,5,0,11.8,0,21,20,4,0,75.9,1,2,11,100.0,36.4,4,13.6,0,13,13,3
Nick Bosa,42741,ED,SF,1,0,0,28,65.8,1,0,17,100.0,17.6,3,0,2.9,0,20,20,1,0,66.9,1,0,10,100.0,30.0,3,5.0,0,12,12,1
Osa Odighizuwa,42754,DI,SF,1,0,0,28,74.3,3,2,18,100.0,22.2,4,0,13.9,0,21,21,5,0,69.2,2,2,10,100.0,20.0,2,20.0,0,12,12,4
Kristian Fulton,42894,CB,KC,1,0,0,16,60.0,0,0,1,3.0,0.0,0,0,0.0,0,33,1,0,0,60.0,0,0,1,5.9,0.0,0,0.0,0,17,1,0
Rashan Gary,42905,ED,DAL,1,0,0,9,57.7,2,0,20,90.9,15.0,3,0,5.0,0,22,20,2,0,50.6,1,0,8,100.0,12.5,1,6.3,0,8,8,1
Khalid Kareem,42993,ED,SF,1,0,0,28,66.4,0,1,9,100.0,22.2,2,0,5.6,0,9,9,1,0,71.6,0,1,5,100.0,40.0,2,10.0,0,5,5,1
Charvarius Ward,43034,CB,IND,1,0,0,14,59.5,0,0,1,3.0,0.0,0,0,0.0,0,33,1,0,0,59.5,0,0,1,9.1,0.0,0,0.0,0,11,1,0
Brandon Jones,43049,S,DEN,1,0,0,10,58.8,0,0,1,3.0,0.0,0,0,0.0,0,33,1,0,0,,0,0,0,0.0,,0,,0,10,0,0
Devin White,43089,LB,DET,1,0,0,11,51.3,0,0,4,26.7,0.0,0,0,0.0,0,15,4,0,0,,0,0,0,0.0,,0,,0,1,0,0
Mack Wilson Sr.,43190,LB,ARZ,1,0,0,1,59.6,0,0,0,2.6,,0,0,,0,39,1,0,0,,0,0,0,0.0,,0,,0,11,0,0
Damar Hamlin,43291,S,BUF,1,0,0,4,58.2,0,0,1,4.3,0.0,0,1,0.0,0,23,1,0,0,58.2,0,0,1,5.6,0.0,0,0.0,0,18,1,0
Josh Metellus,43395,S,MIN,1,0,0,18,49.5,0,0,6,13.0,0.0,0,0,0.0,0,46,6,0,0,54.1,0,0,2,12.5,0.0,0,0.0,0,16,2,0
Alex Highsmith,43507,ED,PIT,1,0,0,25,73.5,0,0,19,100.0,21.1,4,0,10.5,2,20,20,2,0,67.3,0,0,10,100.0,20.0,2,20.0,2,10,10,2
