player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Tyler Shough,83537,QB,NO,1,75.5,49,56,9.4,2.67,2,6,10.0,62.5,35,0,22,5.4,63,2,-0.02,20,20,42.3,75.0,76.1,56.6,1,2,67,2,50.8,22.7,87.6,7.9,5,2,1,3,3,2,3.0,410,7.3
Jordan Love,40306,QB,GB,1,56.4,39,42,11.5,2.45,0,0,0.0,50.0,21,0,25,4.5,46,1,-0.04,16,12,22.4,50.9,53.0,60.0,1,1,46,1,41.3,16.0,88.1,8.7,4,0,0,2,2,3,6.5,387,9.2
Aaron Rodgers,2241,QB,PIT,1,74.3,35,40,10.1,2.84,1,2,4.8,60.0,24,0,17,7.7,42,2,-0.29,10,25,80.4,80.5,78.7,70.0,0,0,46,1,38.1,11.8,83.6,4.8,2,0,0,4,1,0,0.0,223,5.6
Jared Goff,10635,QB,DET,1,75.0,36,39,6.6,2.63,1,1,2.6,66.7,26,0,9,3.7,41,1,0.06,10,11,79.2,65.9,66.1,55.5,2,0,41,1,48.8,11.1,96.7,2.4,1,1,0,0,2,0,0.0,206,5.3
C.J. Stroud,129759,QB,HST,1,77.8,36,38,8.4,2.71,0,2,4.5,68.4,26,0,14,7.1,42,2,0.12,12,13,22.7,67.6,65.6,65.1,0,0,48,0,47.6,21.4,106.7,7.1,3,1,0,2,2,2,4.2,274,7.2
Jacoby Brissett,10725,QB,ARZ,1,82.9,35,37,8.2,2.46,0,1,2.5,73.0,27,0,10,6.9,39,2,0.29,16,1,80.3,86.1,81.5,75.1,1,0,42,0,59.0,10.0,103.1,2.6,1,1,0,1,1,1,2.4,277,7.5
Bryce Young,123943,QB,CAR,1,77.4,31,37,10.6,3.03,0,2,5.0,62.2,23,0,16,4.2,41,1,0.27,18,5,79.6,80.7,78.0,66.4,0,1,44,0,46.3,12.5,110.3,4.9,2,2,0,6,3,1,2.3,361,9.8
Joe Burrow,28022,QB,CIN,1,73.5,34,35,7.9,2.51,0,1,2.8,71.4,25,0,8,0.0,37,0,0.0,15,7,79.6,66.2,62.6,69.6,0,1,38,0,51.4,12.5,89.5,2.7,1,1,0,1,1,1,2.6,254,7.3
Dak Prescott,10769,QB,DAL,1,83.9,31,34,8.6,2.74,0,1,2.6,64.7,22,0,11,15.4,36,4,0.29,13,9,79.2,79.7,77.6,64.1,0,1,41,1,58.3,0.0,84.8,0.0,0,2,0,3,2,2,4.9,175,5.1
Jayden Daniels,97993,QB,WAS,1,72.4,29,34,8.9,3.48,0,1,2.8,52.9,18,0,16,14.3,38,3,0.16,11,32,79.6,73.5,70.5,79.3,0,0,41,2,39.5,6.3,85.9,2.6,1,3,0,5,2,0,0.0,164,4.8
Brock Purdy,77672,QB,SF,1,82.4,34,34,4.9,2.71,0,1,2.9,73.5,25,0,8,10.7,36,3,0.24,14,28,79.2,63.3,58.4,72.4,0,1,37,0,61.1,0.0,105.6,0.0,0,2,0,0,3,2,5.4,205,6.0
Drake Maye,143969,QB,NE,1,77.4,31,33,6.5,3.21,0,0,0.0,69.7,23,0,16,4.2,42,1,0.0,13,19,79.8,55.1,50.7,67.9,0,3,44,0,57.1,18.8,54.9,7.1,3,6,0,2,1,3,6.8,178,5.4
Cam Ward,133244,QB,TEN,1,70.4,27,32,5.3,3.06,0,0,0.0,59.4,19,0,16,0.0,39,0,-0.19,8,31,79.0,54.8,52.8,63.7,1,0,40,0,48.7,18.8,80.2,7.7,3,4,0,4,1,0,0.0,140,4.4
Daniel Jones,39395,QB,IND,1,71.4,28,31,6.6,2.74,0,0,0.0,61.3,19,0,14,5.0,34,1,-0.41,9,14,78.3,53.4,56.9,56.3,0,1,35,1,32.4,14.3,72.8,5.9,2,1,0,3,1,1,2.9,166,5.4
Kirk Cousins,7102,QB,LV,1,72.4,29,30,7.8,2.72,0,0,0.0,70.0,21,0,7,0.0,31,0,0.07,10,23,78.7,46.3,47.0,53.9,0,2,32,0,45.2,0.0,88.2,0.0,0,1,0,1,3,2,6.3,160,5.3
Jaxson Dart,146409,QB,NYG,1,82.1,28,29,8.8,2.64,1,0,0.0,79.3,23,0,10,0.0,34,0,0.64,15,21,29.5,71.9,65.8,78.1,0,0,34,1,70.6,20.0,134.2,5.9,2,3,0,0,3,2,5.9,230,7.9
Josh Allen,46601,QB,BUF,1,80.8,26,29,12.8,3.12,1,3,8.8,69.0,20,0,12,4.8,32,1,0.59,14,4,29.3,69.7,70.6,57.0,1,0,37,0,53.1,16.7,130.5,6.3,2,1,0,1,2,2,5.4,334,11.5
Caleb Williams,144622,QB,CHI,1,80.8,26,29,10.7,3.47,0,2,6.5,72.4,21,0,16,0.0,38,0,0.55,17,6,79.7,64.6,64.0,64.8,0,0,40,1,60.5,12.5,124.1,5.3,2,7,0,3,2,1,2.5,269,9.3
Bo Nix,97790,QB,DEN,1,80.0,25,28,4.2,3.29,2,0,0.0,60.7,17,0,17,15.0,33,3,-0.51,6,10,16.8,33.4,41.5,41.6,0,1,35,1,39.4,23.5,69.2,12.1,4,1,0,1,1,3,8.6,131,4.7
Baker Mayfield,46518,QB,TB,1,92.6,27,28,4.7,3.03,0,0,0.0,82.1,23,0,10,8.0,36,2,-0.27,13,30,16.2,50.2,55.1,49.0,0,0,39,1,52.8,40.0,98.8,11.1,4,4,0,1,0,3,7.7,216,7.7
Malik Willis,60341,QB,MIA,1,68.0,25,27,12.4,3.47,2,2,6.7,55.6,15,0,17,11.8,37,2,-0.15,9,17,28.8,55.4,62.0,50.8,0,1,40,2,40.5,29.4,66.9,13.5,5,5,0,0,0,2,5.0,220,8.1
Justin Herbert,28237,QB,LAC,1,65.4,26,27,11.4,2.83,1,0,0.0,63.0,17,0,15,0.0,35,0,-0.16,10,27,78.9,53.5,53.2,58.4,0,1,39,0,51.4,20.0,83.7,8.6,3,5,0,0,1,1,2.6,209,7.7
Patrick Mahomes,11765,QB,KC,1,70.8,24,27,4.6,2.48,1,0,0.0,55.6,15,0,10,11.8,33,2,0.01,9,16,78.6,62.3,56.2,70.7,0,1,34,0,48.5,20.0,86.0,6.1,2,4,0,2,2,0,0.0,184,6.8
Jalen Hurts,40291,QB,PHI,1,71.4,21,25,10.9,3.43,1,3,11.5,56.0,14,0,13,6.7,34,1,0.18,8,24,78.7,79.7,75.6,71.6,0,0,35,0,38.2,23.1,122.2,8.8,3,5,0,3,3,0,0.0,203,8.1
Lamar Jackson,46416,QB,BLT,1,75.0,24,25,10.9,3.31,0,1,3.6,68.0,17,0,14,5.6,30,1,0.48,13,3,27.9,83.1,75.9,81.0,0,0,33,0,63.3,14.3,124.2,6.7,2,3,1,0,1,1,3.0,324,13.0
Matthew Stafford,4924,QB,LA,1,62.5,24,25,9.1,2.72,0,0,0.0,60.0,15,0,10,0.0,25,0,-0.47,5,26,77.7,41.5,42.3,60.0,0,1,29,0,32.0,0.0,61.2,0.0,0,0,0,1,0,2,6.9,155,6.2
Geno Smith,7820,QB,NYJ,1,87.0,23,24,6.7,3.12,0,2,7.7,79.2,19,0,6,5.0,26,1,0.34,7,22,77.8,84.6,88.4,51.6,0,0,28,2,57.7,0.0,104.0,0.0,0,2,0,1,0,0,0.0,215,9.0
Trevor Lawrence,77632,QB,JAX,1,85.7,21,23,11.5,2.98,0,1,4.3,78.3,18,0,6,0.0,25,0,0.75,13,15,76.6,86.0,87.1,62.6,0,0,25,1,68.0,16.7,150.6,4.0,1,1,0,2,4,1,4.0,245,10.7
Drew Lock,39517,QB,SEA,1,72.7,22,22,6.2,2.81,0,2,8.7,72.7,16,0,13,0.0,24,0,0.31,8,29,76.6,84.1,82.5,68.3,0,0,25,1,50.0,7.7,113.3,4.2,1,1,0,0,1,1,4.0,187,8.5
Cooper Rush,12324,QB,ATL,1,70.6,17,22,4.5,2.63,3,0,0.0,54.5,12,0,8,0.0,26,0,-0.64,4,2,77.0,43.7,42.8,,1,2,28,0,34.6,50.0,51.9,15.4,4,0,0,1,1,1,3.6,143,6.5
Deshaun Watson,11767,QB,CLV,1,76.2,21,22,9.5,3.43,0,1,4.3,72.7,16,0,15,0.0,31,0,-0.21,11,8,27.6,37.0,33.7,67.9,1,1,33,2,48.4,33.3,97.7,16.1,5,4,0,0,1,3,9.1,205,9.3
Carson Wentz,10636,QB,MIN,1,66.7,18,19,8.7,2.63,1,1,4.5,63.2,12,0,8,0.0,23,0,0.16,7,18,77.9,63.4,62.3,61.1,0,0,27,0,39.1,37.5,123.5,13.0,3,1,0,0,3,1,3.7,133,7.0
Kyler Murray,38334,QB,MIN,1,75.0,4,5,6.8,3.27,0,0,0.0,60.0,3,0,4,0.0,7,0,-0.24,1,18,69.6,35.2,39.6,51.1,0,1,7,0,28.6,0.0,27.5,0.0,0,2,0,1,0,1,14.3,18,3.6
Stetson Bennett,60387,QB,LA,1,66.7,3,3,7.3,3.08,0,0,0.0,66.7,2,0,3,0.0,4,0,0.26,2,26,66.9,58.6,50.1,64.4,0,0,4,0,75.0,0.0,75.7,0.0,0,1,0,0,0,0,0.0,13,4.3
Sam Darnold,29048,QB,SEA,1,50.0,2,2,7.5,2.97,0,0,0.0,50.0,1,0,1,0.0,3,0,-0.63,1,29,65.5,62.3,61.8,,0,0,3,0,33.3,100.0,70.8,33.3,1,0,0,0,0,0,0.0,13,6.5
Kenny Pickett,60515,QB,CAR,1,0.0,1,1,3.0,3.65,0,0,0.0,0.0,0,0,1,,2,0,0.68,1,5,63.6,68.9,60.0,63.3,0,0,2,0,50.0,0.0,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0
Cameron Johnston,12255,P,PIT,1,,0,1,,4.2,0,0,0.0,0.0,0,0,1,,1,0,-1.73,0,25,60.4,60.0,60.0,,0,0,1,0,0.0,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
