player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Amon-Ra St. Brown,84470,WR,DET,1,14,0,11,0,-3.0,0,100.0,,0,0,0.0,0,-0.69,0,0,84.5,61.1,0,4,0.0,0,3,0.0,2,100.0,3,79.2,2,66.7,0,4,10,5.0,2.0,1.33,4.0,0,85.7,,0,0,0.0,0,-0.11,2,0,81.7,69.0,0,9,0.0,0,18,38.9,6,100.0,18,86.3,7,38.9,0,33,22,3.7,5.5,1.83
Chris Olave,84355,WR,NO,1,13,0,20,0,,0,,,0,0,,0,-0.67,0,0,,51.2,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,21.8,0,80.0,66.7,2,3,20.0,1,-0.25,4,0,54.3,84.0,0,42,0.0,0,23,52.6,4,82.6,19,118.8,5,26.3,0,80,8,2.0,20.0,4.21
Matthew Golden,156165,WR,GB,1,12,0,12,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,3.0,1,100.0,,0,0,0.0,0,2.95,0,0,35.3,65.6,0,5,0.0,0,2,50.0,1,100.0,2,87.5,1,50.0,0,5,2,2.0,5.0,2.5
Trey McBride,75916,TE,ARZ,1,12,0,1,0,-3.0,2,100.0,,0,0,0.0,0,0.91,1,0,78.7,99.5,0,7,0.0,0,1,100.0,1,100.0,1,95.8,1,100.0,0,7,10,10.0,7.0,7.0,6.7,1,83.3,66.7,2,3,0.0,0,0.39,3,0,81.1,80.5,0,17,0.0,0,27,64.0,5,92.6,25,137.5,6,24.0,1,45,15,3.0,9.0,1.8
Jaxon Smith-Njigba,129758,WR,SEA,1,11,0,29,0,-3.0,0,100.0,,0,0,0.0,0,-0.51,0,0,78.7,60.2,0,5,0.0,0,2,0.0,1,100.0,2,87.5,1,50.0,0,5,8,8.0,5.0,2.5,17.0,0,0.0,,0,0,,0,-0.48,0,0,74.6,77.9,0,0,0.0,0,9,12.5,0,88.9,8,39.6,1,12.5,0,0,0,,,0.0
Nico Collins,61441,WR,HST,1,10,0,13,0,,0,,,0,0,,0,-0.2,0,0,,50.7,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,9.0,0,100.0,100.0,1,1,0.0,0,0.63,0,0,63.5,80.4,0,9,0.0,0,4,50.0,1,100.0,4,104.2,1,25.0,0,9,0,0.0,9.0,2.25
Puka Nacua,100632,WR,LA,1,9,0,26,0,-1.0,0,100.0,,0,0,0.0,0,-0.17,0,0,78.7,64.3,0,5,0.0,0,1,0.0,1,100.0,1,87.5,1,100.0,0,5,6,6.0,5.0,5.0,4.0,0,0.0,,0,0,,0,0.21,0,0,75.6,73.2,0,0,0.0,0,3,50.0,0,66.7,2,39.6,1,50.0,0,0,0,,,0.0
Jalen Coker,143068,WR,CAR,1,9,0,5,0,,0,,,0,0,,0,-0.86,0,0,,49.7,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,12.7,1,66.7,100.0,1,1,0.0,0,0.44,2,0,78.0,80.3,1,14,0.0,0,17,50.0,2,94.1,16,55.6,3,18.8,0,27,12,6.0,13.5,1.69
Malik Nabers,146759,WR,NYG,1,9,0,21,0,,0,,,0,0,,0,-1.42,0,0,,52.5,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,10.0,1,50.0,,0,0,0.0,0,1.35,1,0,79.4,80.3,0,13,0.0,0,4,75.0,1,100.0,4,70.8,2,50.0,0,13,8,8.0,13.0,3.25
Jameson Williams,101701,WR,DET,1,9,0,11,0,,0,,,0,0,,0,-0.69,0,0,,49.9,0,0,0.0,0,3,0.0,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,25.5,0,50.0,100.0,1,1,50.0,1,0.61,1,0,28.0,55.4,0,10,0.0,0,9,55.6,1,100.0,9,64.6,2,22.2,0,10,0,0.0,10.0,1.11
