player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Amon-Ra St. Brown,84470,WR,DET,1,5.2,1,71.4,50.0,1,2,0,0.0,0,0.06,4,11,0,78.0,71.1,65.2,,65.6,0.0,0,0,19,0.0,0,39,0,48.7,10,100.0,39,46.2,18,121.1,14,2,53.8,21,67,27,2.7,6.7,1.72
Chris Olave,84355,WR,NO,1,18.4,0,76.9,50.0,2,4,0,9.1,1,-0.09,7,20,0,58.5,71.1,82.6,,81.5,0.0,0,0,47,0.0,0,59,0,49.1,10,93.2,55,39.0,23,118.3,13,0,61.0,36,182,30,3.0,18.2,3.31
Matthew Golden,156165,WR,GB,1,12.2,2,50.0,,0,0,0,14.3,1,0.04,4,12,0,49.2,68.8,72.6,,69.7,0.0,0,0,42,0.0,0,40,0,40.0,6,100.0,40,5.0,2,76.7,12,0,95.0,38,95,34,5.7,15.8,2.38
Trey McBride,75916,TE,ARZ,1,6.9,3,75.0,50.0,2,4,0,0.0,0,0.36,6,1,0,77.3,70.6,81.6,69.8,81.8,21.1,8,0,27,2.6,1,38,0,62.9,9,89.5,34,71.1,27,125.3,12,1,5.3,2,95,35,3.9,10.6,2.79
Jaxon Smith-Njigba,129758,WR,SEA,1,7.1,2,72.7,50.0,1,2,0,0.0,0,0.2,5,29,0,76.5,70.1,91.2,,91.8,0.0,0,0,45,0.0,0,27,0,46.2,8,96.3,26,33.3,9,139.2,11,1,59.3,16,122,64,8.0,15.3,4.69
Nico Collins,61441,WR,HST,1,12.7,1,70.0,100.0,5,5,0,12.5,1,0.08,3,13,0,54.9,70.8,70.9,,71.7,0.0,0,0,25,0.0,0,42,0,45.9,7,88.1,37,9.5,4,125.0,10,1,90.5,38,75,9,1.3,10.7,2.03
Puka Nacua,100632,WR,LA,1,12.0,2,55.6,100.0,2,2,0,0.0,0,-0.43,2,26,0,73.4,68.0,76.0,,75.6,4.2,1,1,41,0.0,0,24,0,25.0,5,83.3,20,12.5,3,43.1,9,0,83.3,20,74,39,7.8,14.8,3.7
Jalen Coker,143068,WR,CAR,1,14.0,4,88.9,100.0,1,1,0,0.0,0,0.3,6,5,0,76.5,70.1,89.3,,88.9,0.0,0,1,51,0.0,0,42,1,47.5,8,95.2,40,40.5,17,118.8,9,2,59.5,25,138,35,4.4,17.3,3.45
Malik Nabers,146759,WR,NYG,1,11.0,2,66.7,0.0,0,1,0,0.0,0,0.62,3,21,0,74.6,68.8,74.6,,73.0,0.0,0,0,16,0.0,0,24,0,75.0,6,100.0,24,16.7,4,89.6,9,0,83.3,20,69,12,2.0,11.5,2.88
Jameson Williams,101701,WR,DET,1,14.2,0,44.4,50.0,1,2,0,20.0,1,0.08,2,11,0,41.6,67.0,54.7,,59.0,0.0,0,0,22,0.0,0,39,0,51.3,4,100.0,39,23.1,9,60.0,9,0,76.9,30,45,2,0.5,11.3,1.15
D.K. Metcalf,47864,WR,PIT,1,19.0,0,44.4,40.0,2,5,1,20.0,1,-0.29,2,25,0,45.8,68.0,49.8,,49.8,0.0,0,0,14,0.0,0,46,2,38.1,4,91.3,42,19.6,9,57.6,9,0,80.4,37,40,5,1.3,10.0,0.95
Devaughn Vele,100637,WR,NO,1,7.8,0,77.8,0.0,0,1,0,12.5,1,-0.04,3,20,0,52.5,69.5,66.3,66.3,65.7,0.0,0,0,31,1.6,1,63,0,50.8,7,92.1,58,50.8,32,135.6,9,1,49.2,31,69,17,2.4,9.9,1.19
Stefon Diggs,9579,WR,WAS,1,9.4,0,44.4,0.0,0,1,0,33.3,2,0.06,4,32,0,28.6,67.0,61.0,,63.9,0.0,0,0,17,0.0,0,28,1,36.0,4,89.3,25,60.7,17,101.6,9,1,35.7,10,55,14,3.5,13.8,2.2
Kalif Raymond,11028,WR,CHI,1,7.0,0,88.9,0.0,0,1,0,0.0,0,0.88,5,6,0,76.5,71.3,90.2,,86.8,0.0,0,0,28,0.0,0,23,0,63.6,8,95.7,22,47.8,11,105.6,9,0,52.2,12,84,23,2.9,10.5,3.82
Justin Jefferson,61398,WR,MIN,1,9.8,0,88.9,100.0,1,1,0,0.0,0,0.07,5,18,0,77.3,70.6,90.3,,89.9,0.0,0,0,39,0.0,0,34,0,36.7,8,88.2,30,20.6,7,148.8,9,2,79.4,27,92,28,3.5,11.5,3.07
Bijan Robinson,123126,HB,ATL,1,-3.2,6,88.9,,0,0,0,0.0,0,-0.65,2,2,1,76.5,21.2,76.4,73.0,84.1,0.0,0,1,24,4.3,1,23,0,36.4,8,91.3,21,4.3,1,105.8,9,1,17.4,4,90,114,14.3,11.3,4.29
