player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,DI,BLT,1,1,7.0,0,0,3,,53.2,76.3,49.7,61.7,68.9,0.0,0,0,6,6,16.7,1,1
Von Miller,6154,ED,DAL,1,0,,0,0,9,60.0,57.8,73.8,54.5,60.3,,,0,0,6,6,0.0,0,0
Cameron Heyward,6183,DI,PIT,1,1,1.5,0,0,25,,81.5,74.8,83.0,66.9,71.0,0.0,0,0,17,17,11.8,2,2
Demario Davis,7079,LB,NYJ,1,1,2.0,0,0,22,64.9,65.5,75.0,54.5,63.8,80.4,0.0,0,0,10,10,20.0,2,2
Harrison Smith,7641,S,MIN,1,0,,0,0,18,49.4,48.0,76.6,54.1,60.0,73.0,,0,0,2,2,0.0,0,0
John Jenkins,7863,DI,BLT,1,0,,0,0,3,,49.5,73.2,55.0,53.1,,,0,0,6,6,0.0,0,0
Tony Jefferson,8361,S,LAC,1,1,,0,0,27,83.0,82.3,72.4,66.0,57.5,28.8,50.0,1,0,24,24,0.0,0,0
Jadeveon Clowney,8636,ED,HST,1,1,,0,0,13,,61.3,77.3,61.1,58.8,29.9,50.0,1,0,5,5,0.0,0,0
Khalil Mack,8640,ED,LAC,1,0,-1.0,0,0,27,,62.1,79.4,59.4,61.8,25.3,50.0,1,0,20,20,5.0,1,1
DeMarcus Lawrence,8669,ED,SEA,1,0,2.3,0,0,29,53.5,60.1,79.3,51.6,76.6,73.1,0.0,0,0,13,13,23.1,3,3
Kyle Van Noy,8675,ED,MIN,1,0,6.0,0,0,18,60.0,69.5,75.7,60.0,70.6,70.5,0.0,0,0,7,7,0.0,0,1
Shelby Harris,8869,DI,NYG,1,0,,0,0,21,,34.5,75.8,52.6,35.7,,,0,0,9,10,0.0,0,0
Dante Fowler Jr.,9436,ED,SEA,1,0,,0,0,29,74.4,49.8,74.4,52.1,42.7,,,0,0,6,6,0.0,0,0
Leonard Williams,9439,DI,SEA,1,2,2.5,0,0,29,62.7,72.6,78.3,55.4,75.3,29.6,20.0,1,0,14,16,0.0,0,2
Arik Armstead,9450,DI,JAX,1,1,4.0,0,0,15,55.7,29.4,75.9,48.2,37.4,69.2,0.0,0,0,4,4,25.0,1,1
Bud Dupree,9455,ED,LAC,1,1,,0,0,27,60.5,60.0,74.7,57.3,60.7,70.5,0.0,0,0,10,10,0.0,0,0
Mario Edwards Jr.,9468,DI,HST,1,0,,0,0,13,,55.7,0.0,72.9,57.5,66.8,,0,1,5,5,0.0,0,0
Danielle Hunter,9521,ED,HST,1,1,,0,0,13,,79.3,80.9,73.9,68.7,69.2,0.0,0,0,16,16,0.0,0,0
Za'Darius Smith,9555,ED,ATL,1,0,-3.0,0,0,2,60.0,83.9,76.0,65.1,64.8,73.0,0.0,0,0,1,1,100.0,1,1
Grady Jarrett,9570,DI,CHI,1,1,3.5,0,0,6,59.5,65.0,77.1,62.2,65.2,37.3,0.0,0,0,12,14,16.7,2,2
Rakeem Nunez-Roches,9650,DI,TB,1,0,6.5,0,0,30,,59.5,74.4,55.6,60.8,69.9,0.0,0,0,11,11,0.0,0,2
Alex Singleton,9994,LB,DEN,1,8,7.0,0,0,10,40.9,47.4,0.0,68.7,64.6,35.5,15.4,2,1,34,35,0.0,0,3
Jalen Ramsey,10639,S,PIT,1,1,10.0,0,0,25,69.5,66.6,75.9,59.0,58.3,47.7,0.0,0,0,31,32,0.0,0,2
DeForest Buckner,10641,DI,IND,1,0,3.0,0,0,14,,61.1,78.1,90.2,32.2,29.7,0.0,0,0,22,23,4.5,1,1
Sheldon Rankins,10646,DI,HST,1,3,,0,0,13,60.9,75.8,77.3,65.8,65.3,70.9,0.0,0,0,14,14,0.0,0,0
Kenny Clark,10661,DI,DAL,1,0,2.5,0,0,9,,56.5,78.4,57.9,55.8,69.1,0.0,0,0,23,24,4.3,1,2
Chris Jones,10671,DI,KC,1,0,2.0,0,0,16,,74.0,76.5,74.0,58.1,66.8,0.0,0,0,3,4,33.3,1,1
A'Shawn Robinson,10680,DI,TB,1,1,3.8,0,0,30,61.7,78.3,76.4,58.6,73.7,44.8,16.7,1,0,18,18,22.2,4,4
Jarran Reed,10683,DI,SEA,1,0,7.0,0,0,29,,53.5,76.7,57.6,53.1,67.3,0.0,0,0,14,15,0.0,0,1
Kevin Byard,10698,S,NE,1,3,8.0,0,0,19,56.8,59.9,74.4,70.2,61.4,82.7,0.0,0,0,21,22,0.0,0,1
Maliek Collins,10701,DI,CLV,1,0,,0,0,8,,43.9,75.9,66.5,38.2,21.9,100.0,2,0,10,11,0.0,0,0
Jonathan Bullard,10706,DI,DAL,1,0,6.0,0,0,9,,33.8,76.3,59.0,31.1,69.6,0.0,0,0,18,18,0.0,0,1
Javon Hargrave,10723,DI,GB,1,0,2.0,0,0,12,,61.4,75.6,51.1,69.2,67.4,0.0,0,0,10,10,10.0,1,1
Eric Murray,10740,S,JAX,1,0,5.0,0,0,15,50.3,46.7,76.8,60.0,56.5,24.6,0.0,0,0,10,10,0.0,0,1
Miles Killebrew,10745,S,TB,1,0,,0,0,30,,60.0,70.1,,60.0,,,0,0,2,2,0.0,0,0
David Onyemata,10754,DI,NYJ,1,0,,0,0,22,,61.0,76.8,69.3,45.7,,,0,0,7,7,0.0,0,0
DJ Reader,10800,DI,NYG,1,1,1.0,0,0,21,,73.1,76.3,58.9,74.5,68.3,0.0,0,0,9,10,0.0,0,1
Myles Garrett,11756,ED,LA,1,0,,0,0,26,,64.7,76.8,73.7,43.2,,,0,0,12,12,0.0,0,0
Solomon Thomas,11758,DI,TEN,1,1,,0,0,31,,60.9,74.4,66.2,57.5,67.3,0.0,0,0,16,16,0.0,0,0
Derek Barnett,11769,ED,CLV,1,0,,0,0,8,60.0,76.3,77.8,67.8,69.8,,,0,0,8,8,0.0,0,0
Malik Hooker,11770,S,DAL,1,0,,0,0,9,47.7,45.1,68.7,,60.0,75.2,,0,0,6,6,0.0,0,0
Marlon Humphrey,11771,CB,BLT,1,0,,0,0,3,92.8,91.0,78.1,57.7,29.5,79.1,,0,0,15,15,0.0,0,0
Jonathan Allen,11772,DI,CIN,1,1,1.0,0,0,7,60.0,39.6,0.0,57.5,58.6,38.2,0.0,0,2,7,8,14.3,1,1
T.J. Watt,11785,ED,PIT,1,0,-0.5,0,0,25,,92.3,78.9,90.8,81.4,73.9,0.0,0,0,16,16,12.5,2,2
Budda Baker,11791,S,ARZ,1,0,6.0,0,0,1,59.7,64.1,77.4,71.9,64.5,83.6,0.0,0,0,16,16,0.0,0,1
Dalvin Tomlinson,11810,DI,LAC,1,2,0.0,0,0,27,,64.2,77.0,52.0,68.0,29.9,25.0,1,0,22,22,4.5,1,1
