player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jahmyr Gibbs,122474,HB,DET,1,29,7,3,34.6,54,0,156,0,2,7,82,74.8,7,14,11,1,14,32.1,72.8,76.0,,78.6,52.4,74.4,60.0,21,0,30,5,17,34,0,0,5,34,2,156,82,2.83,5.4,1.76,15
Derrick Henry,10679,HB,BLT,1,24,3,2,37.5,54,0,144,0,0,3,104,52.0,4,7,3,0,8,78.5,71.7,73.9,,78.6,74.3,68.2,60.0,32,0,19,1,5,26,0,0,1,25,3,144,104,4.33,6.0,3.8,16
Kenneth Walker III,97199,HB,KC,1,23,14,2,50.9,88,0,173,2,0,14,179,419.1,4,8,16,0,13,78.3,86.8,75.6,,73.1,41.1,90.5,60.0,60,0,18,3,19,26,0,0,6,26,1,173,179,7.78,7.5,0.95,10
Ashton Jeanty,157196,HB,LV,1,23,3,1,14.7,15,0,102,0,0,3,79,35.5,3,7,23,0,9,78.7,71.0,78.9,,54.9,66.4,69.9,60.0,15,0,45,6,19,26,0,0,6,29,0,102,79,3.43,4.4,2.37,13
Breece Hall,97636,HB,NYJ,1,22,4,0,0.0,0,0,102,0,2,4,50,56.8,3,7,22,0,11,78.2,67.4,75.2,,79.7,67.8,64.8,60.0,13,0,16,2,8,25,0,0,2,24,1,102,50,2.27,4.6,2.0,11
Bijan Robinson,123126,HB,ATL,1,21,4,2,42.2,35,0,83,0,6,4,63,103.4,2,7,2,2,8,21.2,76.4,76.3,,73.0,84.1,68.4,60.0,20,0,90,8,21,23,0,0,9,29,0,83,63,3.0,4.0,4.29,12
David Montgomery,45719,HB,HST,1,20,3,1,30.0,18,0,60,0,0,3,39,25.4,1,4,13,0,9,77.6,72.6,0.0,,78.4,76.6,71.8,,18,1,19,3,14,20,0,0,3,23,2,60,39,1.95,3.0,1.36,11
Jonathan Taylor,57488,HB,IND,1,19,3,2,39.8,39,0,98,0,1,3,54,51.7,5,7,14,1,6,26.0,67.7,76.9,,68.0,36.2,76.7,,21,0,23,3,20,19,0,0,4,22,2,98,54,2.84,5.2,1.15,13
Cam Skattebo,147787,HB,NYG,1,18,4,0,0.0,0,0,81,0,0,4,63,77.8,2,5,21,1,11,25.3,67.1,75.4,,77.6,52.9,67.4,60.0,13,0,0,0,13,27,0,0,0,18,1,81,63,3.5,4.5,0.0,7
Rhamondre Stevenson,98689,HB,NE,1,18,3,0,0.0,0,0,51,0,0,3,50,36.2,1,2,19,0,11,77.9,63.8,77.2,,57.0,64.4,63.2,60.0,12,0,44,5,29,21,0,0,6,23,0,51,50,2.78,2.8,1.52,4
