player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Zyon McCollum,66769,CB,TB,1,3,,3.0,30,0,39.6,0,1,0,0,0,0.0
Jack Cochrane,63345,LB,KC,1,1,,1.0,16,0,39.6,0,1,0,0,0,0.0
K'Lavon Chaisson,57945,ED,WAS,1,1,,1.0,32,0,39.6,0,1,0,0,0,0.0
Rasul Douglas,11854,CB,WAS,1,1,,1.0,32,0,39.6,0,1,0,0,0,0.0
Carlton Davis III,49335,CB,NE,1,2,,2.0,19,0,39.6,0,1,0,0,0,0.0
Drake Thomas,97525,LB,SEA,1,6,,6.0,29,0,39.6,0,1,0,0,0,0.0
Deommodore Lenoir,55686,CB,SF,1,3,,3.0,28,0,39.6,0,1,0,0,0,0.0
A.J. Terrell,55586,CB,ATL,1,1,,1.0,2,0,39.6,0,1,0,0,0,0.0
Christian Gonzalez,131679,CB,NE,1,2,,1.0,19,0,39.6,0,2,0,0,0,0.0
Andrew Van Ginkel,30267,ED,MIN,1,3,,3.0,18,0,39.6,0,1,0,0,0,0.0
Patrick Queen,57941,LB,PIT,1,3,,3.0,25,0,39.6,0,1,0,0,0,0.0
Camryn Bynum,38408,S,IND,1,4,,4.0,14,0,39.6,0,1,0,0,0,0.0
Jaylon Johnson,56259,CB,CHI,1,2,,2.0,6,0,39.6,0,1,0,0,0,0.0
Alohi Gilman,41662,S,KC,1,4,,4.0,16,0,39.6,0,1,0,0,0,0.0
Genesis Smith,171868,S,LAC,1,2,,2.0,27,0,39.6,0,1,0,0,0,0.0
Talanoa Hufanga,83903,S,DEN,1,3,,3.0,10,0,39.6,0,1,0,0,0,0.0
Byron Murphy Jr.,44027,CB,MIN,1,19,,9.5,18,0,39.6,0,2,0,0,0,0.0
Brandon Stephens,45644,CB,NYJ,1,1,,1.0,22,0,39.6,0,1,0,0,0,0.0
Mike Sainristil,97180,CB,WAS,1,11,,11.0,32,0,39.6,0,1,0,0,0,0.0
Jalen Thompson,49116,S,DAL,1,2,,2.0,9,0,39.6,0,1,0,0,0,0.0
Caleb Downs,172375,S,DAL,1,23,23.0,23.0,9,0,87.5,1,1,0,5,2,0.22
Tarheeb Still,129537,CB,LAC,1,23,23.0,23.0,27,0,112.5,1,1,0,11,5,0.48
Taron Johnson,49511,CB,LV,1,22,22.0,11.0,23,0,95.8,1,2,0,30,14,1.36
Upton Stout,121906,CB,SF,1,20,20.0,6.7,28,0,42.4,1,3,0,3,0,0.15
Avieon Terrell,170031,CB,ATL,1,20,20.0,10.0,2,0,56.3,1,2,0,4,10,0.2
Dee Alford,110542,CB,BUF,1,33,16.5,8.3,4,0,67.7,2,4,0,23,18,0.7
Denzel Burke,145070,CB,ARZ,1,15,15.0,15.0,1,0,116.7,1,1,0,12,1,0.8
Jaycee Horn,83375,CB,CAR,1,14,14.0,14.0,5,0,118.8,1,1,0,28,-1,2.0
Jarvis Brownlee Jr.,99734,CB,NYJ,1,26,13.0,6.5,22,0,56.3,2,4,0,8,4,0.31
Sydney Brown,83241,S,ATL,1,13,13.0,13.0,2,0,79.2,1,1,0,0,6,0.0
Keionte Scott,163644,CB,TB,1,25,12.5,12.5,30,0,118.8,2,2,0,34,16,1.36
Tre'von Moehrig,77847,S,CAR,1,11,11.0,11.0,5,0,95.8,1,1,0,7,11,0.64
Jalen Ramsey,10639,S,PIT,1,10,10.0,5.0,25,0,58.3,1,2,0,7,12,0.7
