player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Von Miller,6154,ED,WAS,1,0,,,4.3,,,0,0,0,,32,60.0,50.0,0.0,52.6,69.9,69.9,0,,,0,0,1,0.0,0,1,23,0,0,0,0,0,0,0.0,
Cameron Jordan,6176,ED,NO,1,0,,,9.7,,,0,0,0,,20,74.0,80.8,78.7,62.8,78.2,28.9,0,,100.0,2,0,0,0.0,0,3,31,1,0,0,0,0,0,0.0,
Bobby Wagner,7050,LB,WAS,1,2,4.5,50.0,86.3,41.0,20.5,0,0,0,0.0,32,65.5,74.8,0.0,57.8,90.3,82.3,0,5,0.0,0,0,1,56.3,1,44,51,1,1,2,0,5,4,0.1,5.0
Lavonte David,7060,LB,TB,1,0,2.0,100.0,90.2,14.3,14.3,0,0,0,0.0,30,67.3,72.3,75.5,51.9,75.3,58.0,0,13,20.0,1,0,0,90.3,3,46,51,2,4,3,0,17,11,0.4,5.7
Demario Davis,7079,LB,NO,1,0,-2.5,100.0,83.3,8.0,8.0,0,0,0,0.0,20,75.0,90.7,78.2,69.4,91.0,65.4,0,5,20.0,1,0,1,118.8,4,35,42,3,4,4,1,12,22,0.4,3.0
Darius Slay,7817,CB,PIT,1,0,19.0,100.0,100.0,12.5,12.5,0,0,0,0.0,25,61.7,54.2,77.8,,38.6,31.1,0,33,0.0,0,0,0,158.3,2,26,26,0,1,2,1,41,3,1.6,20.5
Kyle Van Noy,8675,ED,BLT,1,0,,,7.1,,,0,0,0,,3,63.6,63.6,78.4,59.5,63.2,72.4,0,,0.0,0,0,0,0.0,0,3,42,0,1,0,0,0,0,0.0,
Dante Fowler Jr.,9436,ED,DAL,1,0,,,5.0,,,0,0,0,,9,60.0,55.8,77.2,64.9,44.6,,0,,,0,0,0,0.0,0,1,20,0,0,0,0,0,0,0.0,
Leonard Williams,9439,DI,SEA,1,1,,,2.9,,,0,0,0,,29,60.8,70.2,7.1,60.3,78.5,49.3,0,,50.0,1,0,1,0.0,0,1,35,0,0,0,0,0,0,0.0,
Bud Dupree,9455,ED,LAC,1,0,7.0,100.0,9.1,2.0,2.0,0,0,0,0.0,27,48.6,52.3,74.9,62.1,60.0,,0,12,,0,0,0,116.7,1,2,22,0,0,1,0,12,5,6.0,12.0
Denzel Perryman,9481,LB,LAC,1,0,,,100.0,,,0,0,0,,27,62.8,60.3,72.5,,57.1,74.9,0,,,0,0,0,0.0,0,4,4,0,0,0,0,0,0,0.0,
Quandre Diggs,9633,S,TEN,1,0,2.7,66.7,95.8,10.0,6.7,0,0,0,0.0,31,60.4,53.7,80.4,59.1,52.3,43.7,0,6,0.0,0,0,0,72.9,2,23,24,1,3,3,0,11,3,0.6,5.5
Alex Singleton,9994,LB,DEN,1,0,8.3,50.0,94.4,16.0,8.0,0,0,1,25.0,10,53.9,49.1,76.9,57.1,50.0,41.7,0,29,0.0,0,0,0,79.2,2,34,36,0,1,4,0,34,31,1.1,17.0
Joey Bosa,10637,ED,BUF,1,0,,,5.3,,,0,0,0,,4,60.1,58.2,80.0,50.3,64.9,30.0,0,,50.0,1,0,0,0.0,0,1,19,1,1,0,0,0,0,0.0,
Jalen Ramsey,10639,S,PIT,1,0,10.5,50.0,92.3,23.0,11.5,0,0,2,100.0,25,87.5,79.4,77.1,56.0,56.1,77.8,0,6,0.0,0,2,1,56.3,1,24,26,1,1,2,0,6,1,0.3,6.0
DeForest Buckner,10641,DI,IND,1,0,,,4.3,,,0,0,0,,14,60.0,68.4,76.2,64.2,64.8,68.7,0,,,0,0,0,0.0,0,1,23,0,0,0,0,0,0,0.0,
Leonard Floyd,10643,ED,ATL,1,0,,,15.4,,,0,0,0,,2,63.5,58.5,77.5,52.1,64.8,,0,,,0,0,0,0.0,0,4,26,0,0,0,0,0,0,0.0,
Emmanuel Ogbah,10666,ED,JAX,1,0,,,14.3,,,0,0,0,,15,60.5,63.8,77.5,51.7,69.8,67.4,0,,,0,0,0,0.0,0,2,14,0,0,0,0,0,0,0.0,
Xavien Howard,10672,CB,IND,1,0,2.0,0.0,100.0,,11.0,0,0,0,0.0,14,80.7,80.0,76.0,,61.3,,0,,,0,0,0,39.6,0,22,22,0,0,2,0,0,0,0.0,
Austin Johnson,10677,DI,JAX,1,0,,,16.7,,,0,0,0,,15,60.0,51.1,73.9,69.9,49.1,,0,,,0,0,0,0.0,0,1,6,0,0,0,0,0,0,0.0,
Jarran Reed,10683,DI,SEA,1,0,,,5.6,,,0,0,0,,29,60.0,52.2,77.0,62.8,49.0,71.8,0,,,0,0,0,0.0,0,1,18,0,0,0,0,0,0,0.0,
Deion Jones,10686,LB,TB,1,0,,,100.0,,,0,0,0,,30,60.0,62.7,64.4,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Kevin Byard,10698,S,CHI,1,0,5.0,100.0,87.1,11.5,11.5,0,0,0,0.0,6,57.8,58.4,78.7,52.7,63.0,63.7,0,13,0.0,0,0,0,147.9,2,27,31,1,2,2,1,20,12,0.9,10.0
