player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Geno Stone,55967,S,CIN,1,1,,1.0,7,0,39.6,0,1,0,0,0,0.0
Henry To'oTo'o,98982,LB,HST,1,2,,1.0,13,0,39.6,0,2,0,0,0,0.0
Derrick Barnes,58120,LB,DET,1,2,,2.0,11,0,39.6,0,1,0,0,0,0.0
Will Harris,51336,S,WAS,1,8,,8.0,32,0,39.6,0,1,0,0,0,0.0
Xavien Howard,10672,CB,IND,1,2,,2.0,14,0,39.6,0,1,0,0,0,0.0
Darnell Savage,34247,S,JAX,1,1,,1.0,15,0,39.6,0,1,0,0,0,0.0
Julian Blackmon,49434,S,NO,1,5,,5.0,20,0,39.6,0,1,0,0,0,0.0
Paulson Adebo,52280,CB,NYG,1,2,,2.0,21,0,39.6,0,1,0,0,0,0.0
Greg Newsome II,83341,CB,CLV,1,2,,2.0,8,0,39.6,0,1,0,0,0,0.0
Marshon Lattimore,11766,CB,WAS,1,4,,4.0,32,0,39.6,0,1,0,0,0,0.0
Jevon Holland,83873,S,NYG,1,7,,2.3,21,0,39.6,0,3,0,0,0,0.0
Ventrell Miller,57809,LB,JAX,1,2,,2.0,15,0,39.6,0,1,0,0,0,0.0
Teddye Buchanan,142172,LB,BLT,1,2,,2.0,3,0,39.6,0,1,0,0,0,0.0
Isaiah Pola-Mao,60781,S,LV,1,2,,2.0,23,0,39.6,0,1,0,0,0,0.0
Austin Ajiake,83826,LB,IND,1,3,,3.0,14,0,39.6,0,1,0,0,0,0.0
Jahdae Barron,123105,CB,DEN,1,7,,7.0,10,0,39.6,0,1,0,0,0,0.0
Trent McDuffie,72191,CB,KC,1,9,,4.5,16,0,39.6,0,2,0,0,0,0.0
Mike Sainristil,97180,CB,WAS,1,29,29.0,14.5,32,0,56.3,1,2,0,4,8,0.14
Cooper DeJean,144867,CB,PHI,1,28,28.0,9.3,24,0,42.4,1,3,0,0,3,0.0
Billy Bowman Jr.,144638,CB,ATL,1,26,26.0,13.0,2,0,64.6,1,2,0,10,1,0.38
Quentin Lake,56245,S,LA,1,22,22.0,7.3,26,0,50.7,1,3,0,15,2,0.68
Alontae Taylor,83469,CB,NO,1,19,19.0,19.0,20,0,91.7,1,1,0,6,8,0.32
Jalen Pitre,57737,S,HST,1,19,19.0,9.5,13,0,83.3,1,2,0,19,2,1.0
DaRon Bland,56158,CB,DAL,1,19,19.0,19.0,9,0,100.0,1,1,0,8,12,0.42
Nick McCloud,49535,CB,CHI,1,14,14.0,7.0,6,0,56.3,1,2,0,2,0,0.14
Jalen Ramsey,10639,S,PIT,1,13,13.0,13.0,25,0,91.7,1,1,0,6,1,0.46
Marlon Humphrey,11771,CB,BLT,1,39,13.0,7.8,3,0,92.1,3,5,0,48,10,1.23
Kenny Moore II,51596,CB,IND,1,24,12.0,12.0,14,0,152.1,2,2,1,22,33,0.92
Taron Johnson,49511,CB,BUF,1,12,12.0,12.0,4,0,104.2,1,1,0,9,8,0.75
Derwin James Jr.,51368,S,LAC,1,24,12.0,8.0,27,0,70.1,2,3,0,3,8,0.13
Jacob Parrish,157777,CB,TB,1,34,11.3,11.3,30,0,102.8,3,3,0,26,20,0.76
Marcus Jones,55717,CB,NE,1,22,11.0,5.5,19,0,79.2,2,4,0,34,14,1.55
Ja'Quan McMillian,100931,CB,DEN,1,22,11.0,7.3,10,0,70.1,2,3,0,9,8,0.41
Jourdan Lewis,11846,CB,JAX,1,32,10.7,6.4,15,1,47.5,3,5,0,42,14,1.31
Josh Newton,84268,CB,CIN,1,10,10.0,5.0,7,0,56.3,1,2,0,6,0,0.6
Michael Carter II,60644,CB,NYJ,1,19,9.5,6.3,22,0,70.1,2,3,0,3,6,0.16
