team,man_rate,zone_rate,middle_closed_rate,middle_open_rate
Browns,43.4,52.9,63.0,35.9
Broncos,32.1,63.1,48.8,48.5
Lions,32.0,63.0,57.5,40.4
Steelers,31.1,64.5,56.1,41.3
Jets,30.9,62.5,48.3,48.6
Ravens,30.7,62.7,58.4,36.8
Giants,29.7,63.6,58.3,37.5
Bears,29.1,66.0,49.0,46.1
Patriots,28.1,67.1,51.8,45.2
Colts,26.7,65.7,48.7,45.4
Bengals,26.6,67.7,55.0,41.2
Eagles,24.5,69.1,52.0,44.8
Bills,23.9,70.4,42.5,53.4
Commanders,23.4,70.3,45.3,49.5
Dolphins,22.5,71.7,45.2,51.6
Buccaneers,22.4,73.0,50.4,47.3
Cowboys,21.1,72.2,53.2,43.1
Texans,20.1,74.7,53.0,42.6
Chiefs,19.8,74.1,42.1,53.8
Falcons,18.7,76.8,59.9,36.4
Titans,18.0,75.0,46.5,48.5
Jaguars,17.6,78.6,45.9,51.5
49ers,17.5,76.1,57.5,38.4
Packers,17.0,78.4,47.9,49.3
Vikings,15.8,77.1,30.3,64.2
Saints,15.5,77.9,61.0,35.8
Seahawks,15.2,80.4,44.3,52.4
Cardinals,15.1,74.7,41.8,51.5
Rams,15.0,79.8,49.9,46.1
Raiders,14.6,78.6,54.1,41.9
Chargers,12.9,81.3,41.6,53.9
Panthers,11.3,83.1,54.0,41.7
